Country Name,Country Code,national_courage,national_courage_unweighted,oecd_edu_population_to_primary,oecd_edu_population_to_tertiary,oecd_edu_population_to_secondary,oecd_gdp,oecd_gdp_per_cap,un_edu_primary_complete,un_edu_primary_enroll,un_edu_secondary_enroll,un_edu_tertiary_enroll,un_gdp_per_cap,un_urban_ratio,wb_edu_literacy_adult,wb_edu_literacy_youth,wb_edu_primary_complete,wb_edu_primary_enroll,wb_edu_secondary_enroll,wb_edu_tertiary_enroll,wb_gdp_per_cap,wb_gdp,wb_gdp_per_cap_ppp,wb_gdp_ppp,wb_urban_density,wb_urban_largest_city_ratio,wb_urban_big_city_ratio,wb_urban_population_ratio,ipums_edu_tertiary_attain,ipums_edu_adult_literacy,ipums_urbanisation,ipums_idv,wvs_idv,global_terrorism_index,hofstede_idv,hofstede_mas,global_innovation_index,hofstede_pwd,hofstede_una,hofstede_lto,hofstede_idg,uz_tightloose,eriksson_tightloose,allik_big_five_openness,allik_big_five_conscientiousness,allik_big_five_extraversion,allik_big_five_agreeableness,allik_big_five_neuroticism,global_giving_index_rank,GLOBE_future_orientation_societal_practices,GLOBE_future_orientation_societal_values,GLOBE_humane_orientation_societal_practices,GLOBE_humane_orientation_societal_values,GLOBE_performance_orientation_societal_practices,GLOBE_performance_orientation_societal_values,rosenberg_self_esteem
Argentina,ARG,0.6334441485086673,0.6361710402999062,33.458462,24.765341,41.776196,1092845.898,23856.680324,94.56793,99.02244,128.423,79.9867,10761.0816269643,,99.0038681,99.50552368,101.3452072,99.184,90.79605,99.1662674,487227000000.0,10636.1202,20769.0323781598,942431459963.083,16.58089261,36.11373386,42.75880325,92.229,0.0359035264023388,0.883610451306413,1.0,0.15095059391854,-0.213734191891897,1.024,46.0,56.0,28.33,49.0,86.0,20.0,62.0,75.0,1.56,,,,,,21.0,3.08,5.78,3.99,5.58,3.65,6.35,31.24
Australia,AUS,0.6762270823823151,0.6504675268817205,15.46888,49.767868,34.763252,1595112.956,61974.774982,,97.35563,114.85434,86.55455,66915.8592008469,,,,,96.38096,92.28431,114.189888,1552670000000.0,60443.10916,53316.8854335814,1369884973053.42,3.335312311,22.81495852,61.91719513,86.362,,,,,0.623019000797312,2.148,90.0,61.0,48.35,38.0,51.0,21.0,71.0,,1.9,53.9,57.0,57.9,54.0,41.0,4.0,4.09,5.15,4.28,5.58,4.36,5.89,31.07
Austria,AUT,0.6638086415043505,0.6271584821428571,14.060361,34.604504,51.335136,622665.496,68774.881689,99.49617,94.45453,99.47815,79.99864,53840.3932953502,,,,99.66526031,88.61718,87.00131,87.21138763,480368000000.0,53637.70571,55685.9702933361,496544223813.718,108.0570044,36.81121051,21.71677183,58.995,0.125144534376946,1.0,1.0,1.6903926700055902e-15,,1.016,55.0,79.0,50.13,11.0,70.0,60.0,63.0,75.8,2.1,59.1,46.7,48.4,48.2,52.9,33.0,4.46,5.11,3.72,5.76,4.44,6.1,31.78
Bangladesh,BGD,0.6696847092703183,0.7028565891472868,,,,,,66.20096,89.96452,76.12434,13.4408,2449.90651676298,,74.9088974,94.46177673,121.9175262,,66.54968,25.10159492,416265000000.0,2457.92488,5995.40742859276,987379950248.558,1286.171553,32.96227816,15.86823093,38.946,0.0233292886741913,0.436891870235124,0.235147324801392,-1.23250284499936,0.602328633441914,4.909,20.0,55.0,20.39,80.0,60.0,47.0,20.0,6.6,,,,,,,,,,,,,,27.8
Belarus,BLR,0.5747927300955868,0.6130284810126583,,,,,,98.32384,93.74106,104.49307,88.85703,7121.00468882456,0.7747567400351474,99.87400055,99.87283325,93.63146973,94.92861,95.63948,82.23885345,68205380707.0,7302.257794,20237.5511291865,189827258189.315,46.21121293,27.31597454,21.8281955,79.91,0.159837077264873,1.0,0.744219534271373,1.18228009817362,,0.0,25.0,20.0,31.27,95.0,95.0,81.0,15.0,60.5,,,,,,,,,,,,,,
Belgium,BEL,0.6242638352891519,0.621343879472693,18.473303,44.873066,36.653629,773801.715,66176.491484,92.19031,98.78049,180.38173,73.3188,51165.510222267,,,,,98.76482,94.94691,80.88874817,594104000000.0,51247.01435,53070.2148197652,612655349801.141,381.0635403,18.42418633,27.11389644,98.117,,,,,,3.043,75.0,52.0,49.13,65.0,94.0,82.0,57.0,119.8,,51.8,46.6,47.7,50.0,53.0,,,,,,,,29.66
Bosnia and Herzegovina,BIH,0.4376282539321746,0.6655592105263158,,,,,,86.51722,97.52653,91.50272,47.57777,7143.28396260018,,98.09999847,99.72000122,85.42336273,,,39.23395157,23365361635.0,7143.310548,15598.4303394866,51175564234.2429,64.81263672,21.25741651,,49.425,,,,,,0.677,22.0,48.0,28.99,90.0,87.0,70.0,44.0,51.9,1.63,,,,,,42.0,,,,,,,
Brazil,BRA,0.6486644345132319,0.6353600594648167,41.5784,20.678915,37.742687,3213097.741,15173.607426,80.62466,90.35398,108.5702,46.44658,7507.16024556456,,94.30000305,99.40000153,,96.29925,81.72855,54.57279968,1608980000000.0,7507.160971,14834.1937022808,3153147446348.34,25.50762538,11.88259508,42.37016625,87.317,0.0560377188504159,0.807471695846722,0.764647587014625,0.0595972939672916,-0.267252429149533,2.443,38.0,49.0,31.94,60.0,76.0,44.0,59.0,,1.69,,,,,,18.0,3.81,5.69,3.66,5.68,4.04,6.13,30.34
Brunei Darussalam,BRN,0.6282772005866739,0.6694722891566266,,,,,,96.36919,98.80453,107.82018,31.72534,31448.9136081385,0.7488160745441648,97.58999634,99.76999664,104.9582825,93.14673,82.64549,31.99329948,14006569576.0,31449.07656,,,83.81878558,,,78.554,,,,,,,,,29.82,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,0.561319536656382,0.6775006802721089,,,,,,97.84393,94.92968,93.14579,70.78563,12207.2577149813,0.7332399050189536,98.41999817,98.05999756,87.87634277,86.4454,89.05757,75.40579987,84056312734.0,12221.49661,24564.4376812432,170330179348.305,63.87265107,24.56223259,18.67343691,76.025,,,,,,0.172,30.0,40.0,39.98,70.0,85.0,69.0,16.0,60.4,,46.6,59.5,50.4,53.6,41.4,54.0,,,,,,,
Canada,CAN,0.6697671947100114,0.649219219936029,6.9325643,61.985279,31.082157,2221280.61,57058.469082,98.59447,99.45674,99.88171,58.88359,52112.0614958113,,,,,99.8825,99.80968,79.516922,1988340000000.0,51987.93905,46572.1374328364,1771473892248.83,4.242576785,20.02802515,45.98645959,81.653,0.213907574732317,1.0,0.808303148509334,1.16367688232796,0.591414412716574,3.171,80.0,52.0,52.26,39.0,48.0,36.0,68.0,84.6,1.83,51.6,49.2,51.7,51.9,50.5,8.0,4.44,5.35,4.49,5.64,4.49,6.15,30.22
Chile,CHL,0.568368429660618,0.6671272141706924,28.026119,31.439775,40.534103,552981.397,28100.985702,99.53105,93.03748,103.92402,86.6307,16265.0964340701,0.880899661613821,97.04000092,99.09999847,101.4751129,94.74067,88.65187,91.66934967,317059000000.0,16265.09598,25089.0312965357,479607165872.117,25.95761178,39.7912378,34.9434705,87.817,0.0333386658134698,0.810814269716845,0.866773316269397,0.527804615934027,-0.0280882395755981,4.031,23.0,28.0,33.86,63.0,86.0,31.0,68.0,86.8,1.68,,,,,,71.0,,,,,,,33.12
China,CHN,0.6675768704476341,0.6602928348909658,63.374126,18.535316,18.090559,30090699.886,,81.10148,90.18812,100.38884,39.39039,,0.6472108169333145,97.15000153,99.80999756,,,,63.60195923,17734100000000.0,12556.33312,17189.281794248,24255795539863.4,149.7235526,3.148247331,29.76998435,62.512,0.0100932864352347,0.852270989447928,0.233093745220982,1.6903926700055902e-15,0.451240656821561,3.587,20.0,66.0,53.28,80.0,30.0,87.0,24.0,35.3,2.05,48.3,50.3,44.5,47.8,53.1,49.0,3.75,4.73,4.36,5.32,4.45,5.67,
Colombia,COL,0.668629136232484,0.6721186027619822,39.789829,25.207756,35.002415,869840.596,17417.234054,83.49704,89.83309,106.8973,51.291,6104.13670930389,0.763206577148994,95.63632965,99.01181793,103.7517471,92.91999,77.47078,54.23928833,314464000000.0,6104.136709,14868.4698189141,756550625053.309,45.90415683,26.51980053,44.12065192,81.74,0.0373262739907346,0.755155526141628,0.580463269358041,-0.458407200913375,0.454169421731348,6.1,13.0,64.0,30.84,67.0,80.0,13.0,83.0,,1.48,,,,,,51.0,3.27,5.68,3.72,5.61,3.94,6.42,
Costa Rica,CRI,0.6352884604689131,0.6774151291512915,57.373444,24.640232,17.986324,127686.494,,90.3673,96.13191,133.30969,53.03828,12472.443327393,0.724941235574222,98.04000092,99.52999878,104.6601639,97.33255,82.44799,57.67481995,64282438667.0,12472.44373,22243.8019575334,113312462965.098,100.334998,33.84954376,27.56198781,81.425,0.12604063573383,0.866769517377889,0.72506840542586,-0.060564568505126,,1.066,15.0,21.0,33.51,35.0,86.0,,,,,,,,,,43.0,3.6,5.2,4.39,4.99,4.12,5.9,
Croatia,HRV,0.627332544991233,0.661180811808118,,,,,,99.43954,88.69765,102.42473,69.54415,16983.4473172554,,99.44999695,99.76000214,95.74845123,88.0407,92.39267,68.09648132,68955083280.0,17685.32528,28780.316739861,116493512461.601,72.33166548,30.3334614,,57.878,,,,,,0.0,33.0,40.0,37.27,73.0,80.0,58.0,33.0,55.0,,,,,,,82.0,,,,,,,31.94
Czechia,CZE,0.5759821195764543,0.6205116976604679,5.5797949,26.537458,67.882744,534055.096,49956.512049,,,,,26808.5398580416,,,,100.5519028,89.3503,90.51857,68.06181335,281778000000.0,26821.24523,,,138.5759288,16.830068,12.49026725,74.214,,,,,-0.466309858719747,0.315,59.0,57.0,48.34,57.0,74.0,70.0,29.0,59.6,1.63,52.3,47.5,47.4,50.7,54.2,,3.63,2.95,4.17,3.39,4.11,2.35,
Denmark,DNK,0.6660025540781449,0.6434520263249047,17.887573,41.881645,40.230782,441729.033,74793.266721,99.48016,98.06953,116.60542,81.51647,68036.7174499952,,,,98.53518677,98.53748,90.92146,82.8392868,398303000000.0,68007.75667,60229.9147703017,351224965911.196,145.7851,26.28895114,23.19736959,88.24,,,,,,1.484,74.0,16.0,57.53,18.0,23.0,35.0,70.0,65.5,,46.5,47.5,52.8,52.0,46.5,24.0,4.44,4.33,4.44,5.45,4.22,5.61,
Ecuador,ECU,0.6240168970554109,0.67825,,,,,,88.90804,94.66526,116.1984,40.48086,5965.13287054416,0.5740599509325004,94.48358917,99.00505066,100.6137466,90.94167,84.67039,52.58781052,106166000000.0,5965.132871,10890.4566364911,192140979865.012,70.81895233,26.56476297,27.77607063,64.361,0.0529457014774928,0.8285630918592,0.628663890288867,-0.400852563046439,0.406856173918815,2.606,8.0,63.0,24.11,78.0,67.0,,,,1.82,,,,,,52.0,3.74,5.94,4.65,5.26,4.2,6.32,
Egypt,EGY,0.6675277290730739,0.7008273137697517,,,,,,,,,,,,73.08999634,91.51000214,104.6092987,97.03257,82.77635,38.90494919,404143000000.0,3698.834981,,,107.9563353,45.53034354,24.44015989,42.862,0.0748703800599344,0.555510631213433,0.431717642581934,-1.02355148486934,-1.06327653661526,6.419,37.0,55.0,24.23,80.0,55.0,42.0,0.0,3.9,,,,,,,116.0,3.86,5.8,4.73,5.17,4.27,5.9,
Estonia,EST,0.5710788337230548,0.6261043046357615,10.475689,41.226608,48.297703,63555.067,47721.323033,96.58193,97.25776,109.96161,72.92471,27990.6210290954,,99.87000275,99.98999786,97.8786087,93.68129,94.36474,74.231987,37191166152.0,27943.70122,37645.2213607112,50048531249.417,31.09992982,48.57522628,,69.415,,,,,,0.057,60.0,30.0,48.28,40.0,60.0,82.0,16.0,55.4,1.62,52.6,49.6,49.9,50.8,49.7,64.0,,,,,,,32.63
