Country Name,Future Orientation Societal Practices,Future Orientation Societal Values,Humane Orientation Societal Practices,Humane Orientation Societal Values,Performance Orientation Societal Practices,Performance Orientation Societal Values
Albania,3.86,5.42,4.64,5.34,4.81,5.63
Argentina,3.08,5.78,3.99,5.58,3.65,6.35
Australia,4.09,5.15,4.28,5.58,4.36,5.89
Austria,4.46,5.11,3.72,5.76,4.44,6.10
Bolivia,3.61,5.63,4.05,5.07,3.61,6.05
Brazil,3.81,5.69,3.66,5.68,4.04,6.13
Canada,4.44,5.35,4.49,5.64,4.49,6.15
China,3.75,4.73,4.36,5.32,4.45,5.67
Colombia,3.27,5.68,3.72,5.61,3.94,6.42
Costa Rica,3.60,5.20,4.39,4.99,4.12,5.90
Czechia,3.63,2.95,4.17,3.39,4.11,2.35
Denmark,4.44,4.33,4.44,5.45,4.22,5.61
Ecuador,3.74,5.94,4.65,5.26,4.20,6.32
Egypt,3.86,5.80,4.73,5.17,4.27,5.90
El Salvador,3.80,5.98,3.71,5.46,3.72,6.58
Finland,4.24,5.07,3.96,5.81,3.81,6.11
France,3.48,4.96,3.40,5.67,4.11,5.65
Georgia,3.41,5.55,4.18,5.60,3.88,5.69
Germany,4.11,5.04,3.29,5.45,4.17,6.05
Greece,3.40,5.19,3.34,5.23,3.20,5.81
Guatemala,3.24,5.91,3.89,5.26,3.81,6.14
Hong Kong,4.03,5.50,3.90,5.32,4.80,5.64
Hungary,3.21,5.70,3.35,5.48,3.43,5.96
India,4.19,5.60,4.57,5.28,4.25,6.05
Indonesia,3.86,5.70,4.69,5.16,4.41,5.73
Iran,3.70,5.84,4.23,5.61,4.58,6.08
Ireland,3.98,5.22,4.96,5.47,4.36,5.98
Israel,3.85,5.25,4.10,5.62,4.08,5.75
Italy,3.25,5.91,3.63,5.58,3.58,6.07
Japan,4.29,5.25,4.30,5.41,4.22,5.17
Kazakhstan,3.57,5.05,3.99,5.62,3.57,5.41
Kuwait,3.26,5.74,4.52,5.06,3.95,6.03
Malaysia,4.58,5.89,4.87,5.51,4.34,6.04
Mexico,3.87,5.86,3.98,5.10,4.10,6.16
Morocco,3.26,5.85,4.19,5.51,3.99,5.76
Namibia,3.49,6.12,3.96,5.40,3.67,6.40
Netherlands,4.61,5.07,3.86,5.20,4.32,5.49
New Zealand,3.47,5.54,4.32,4.49,4.72,5.90
Nigeria,4.09,6.04,4.10,6.09,3.92,6.27
Philippines,4.15,5.93,5.12,5.36,4.47,6.31
Poland,3.11,5.20,3.61,5.30,3.89,6.12
Portugal,3.71,5.43,3.91,5.31,3.60,6.40
Qatar,3.78,5.92,4.42,5.30,3.45,5.96
Russia,2.88,5.48,3.94,5.59,3.39,5.54
Singapore,5.07,5.51,3.49,5.79,4.90,5.72
Slovenia,3.59,5.42,3.79,5.25,3.66,6.41
South Africa,4.39,5.43,3.91,5.36,4.39,5.57
South Korea,3.97,5.69,3.81,5.60,4.55,5.25
Spain,3.51,5.63,3.32,5.69,4.01,5.80
Sweden,4.39,4.89,4.10,5.65,3.72,5.80
Switzerland,4.50,4.79,3.77,5.58,4.59,5.90
Taiwan,3.96,5.20,4.11,5.26,4.56,5.74
Thailand,3.43,6.20,4.81,5.01,3.93,5.74
Turkey,3.74,5.83,3.94,5.52,3.83,5.39
United Kingdom,4.28,5.06,3.72,5.43,4.08,5.90
United States,4.15,5.31,4.17,5.53,4.49,6.14
Venezuela,3.35,5.79,4.25,5.31,3.32,6.35
Zambia,3.62,5.90,5.23,5.53,4.16,6.24
Zimbabwe,3.77,6.07,4.45,5.19,4.24,6.45
