"","Country","X.EDU.IPUMS.Ter.Attain.Rate","X.EDU.IPUMS.Literacy","X.URB.IPUMS"
"1","Argentina",0.0359035264023388,0.883610451306413,1
"2","Austria",0.125144534376946,1,1
"3","Bangladesh",0.0233292886741913,0.436891870235124,0.235147324801392
"4","Belarus",0.159837077264873,1,0.744219534271373
"5","Brazil",0.0560377188504159,0.807471695846722,0.764647587014625
"6","Canada",0.213907574732317,1,0.808303148509334
"7","Chile",0.0333386658134698,0.810814269716845,0.866773316269397
"8","China",0.0100932864352347,0.852270989447928,0.233093745220982
"9","Colombia",0.0373262739907346,0.755155526141628,0.580463269358041
"10","Costa Rica",0.12604063573383,0.866769517377889,0.72506840542586
"11","Ecuador",0.0529457014774928,0.8285630918592,0.628663890288867
"12","Egypt",0.0748703800599344,0.555510631213433,0.431717642581934
"13","El Salvador",0.0249003984063745,0.736146323795726,0.632349390317518
"14","Finland",0.143884892086331,1,1
"15","France",0.213642213642214,1,0.82248575105718
"16","Germany",0.0392081736909323,1,1
"17","Greece",0.114703139571029,0.852541187441716,1
"18","Hungary",0.149220206814714,1,1
"19","Indonesia",0.0301845480137629,0.821786049421332,0.492258367219268
"20","Iran",0.0914514641457228,0.762479824763661,0.715615632925986
"21","Ireland",0.205309410472354,1,0.620468692786525
"22","Israel",0.15834756117974,1,1
"23","Italy",0.092958694372003,1,1
"24","Jamaica",0.0130817137670954,1,0.478202359715833
"25","Kenya",0.00859437373784812,1,0.307612830507679
"26","Liberia",0.00849116918404859,0.391372972109007,0.46625509470151
"27","Malaysia",0.0572122282308796,0.669484604348306,0.657587462752456
"28","Mexico",0.0459439871615675,0.786431640523891,0.552078480095253
"29","Morocco",0.0222420315693351,0.547723616123842,0.600817497934513
"30","Netherlands",1,1,1
"31","Pakistan",0.0186419715845676,0.355313565201653,0.333504268347863
"32","Panama",0.09235037653587,0.755591416114603,0.648859068002944
"33","Peru",0.0649106583539659,0.826566834710497,0.755869104793724
"34","Philippines",0.0929111572988989,0.830915844867996,1
"35","Poland",0.118949861823924,1,1
"36","Portugal",0.117422194764074,0.89327361186192,0.630936751872731
"37","Puerto Rico",0.162040970452185,1,1
"38","Romania",0.124676202275031,0.881480647220032,0.539437624357097
"39","Russia",0.195746004588405,0.866508535210172,0.73779989889956
"40","South Africa",0.0284592448262628,1,0.578248162253122
"41","Spain",0.0879351265822785,1,1
"42","Switzerland",0.0623000274248103,1,1
"43","Thailand",0.0353439502709244,0.841626096762659,0.308716340732184
"44","Trinidad and Tobago",0.0370898194840313,1,1
"45","Turkey",0.0482868568958063,0.774238002594034,1
"46","Ukraine",0.123979532049529,0.942111636264208,0.189250419905472
"47","United Kingdom",1,1,1
"48","United States",0.22761390256729,1,1
"49","Uruguay",0.0423607635661686,0.820619146350182,1
"50","Venezuela",0.00123004668586285,0.81085236644209,0.883844455005451
"51","Vietnam",0.0378092057196535,0.823400480116898,0.254827262289949
