Country,Weighted Average,Unweighted Average
Argentina,0.6334441485086673,0.6361710402999062
Australia,0.6762270823823151,0.6504675268817205
Austria,0.6638086415043505,0.6271584821428571
Bangladesh,0.6696847092703183,0.7028565891472868
Belarus,0.5747927300955868,0.6130284810126583
Belgium,0.6242638352891519,0.621343879472693
Bosnia and Herzegovina,0.43762825393217464,0.6655592105263158
Brazil,0.6486644345132319,0.6353600594648167
Brunei Darussalam,0.6282772005866739,0.6694722891566266
Bulgaria,0.561319536656382,0.6775006802721089
Canada,0.6697671947100114,0.649219219936029
Chile,0.568368429660618,0.6671272141706924
China,0.6675768704476341,0.6602928348909658
Colombia,0.668629136232484,0.6721186027619822
Costa Rica,0.6352884604689131,0.6774151291512915
Croatia,0.627332544991233,0.661180811808118
Czechia,0.5759821195764543,0.6205116976604679
Denmark,0.6660025540781449,0.6434520263249047
Ecuador,0.6240168970554109,0.67825
Egypt,0.6675277290730739,0.7008273137697517
Estonia,0.5710788337230548,0.6261043046357615
Finland,0.6764189344059028,0.6112163311596258
France,0.6646451914087406,0.6317322324966974
Germany,0.6452604171227466,0.6212874149659864
Greece,0.6737085721324543,0.6639852607709751
Hong Kong,0.6443617142531719,0.6461311720698254
Hungary,0.5740490559403304,0.6280558659217877
Iceland,0.6689567632923734,0.6586515463917526
India,0.7172559362878351,0.7147335126611631
Indonesia,0.6480116836511158,0.653123287671233
Iran,0.6581002979748882,0.6755215946843853
Ireland,0.6754384493739813,0.6572893492456654
Israel,0.6640029048867222,0.65404638671875
Italy,0.6502985583024459,0.62564662027833
Japan,0.5105005031144358,0.6273891170431212
Kenya,0.6786471419640165,0.6708045602605863
Kuwait,0.5651762420466195,0.7049356568364611
Latvia,0.530246290270258,0.6213884892086331
Lebanon,0.60701295366907,0.6984352226720647
Lithuania,0.6031067663056466,0.6281305882352941
Malaysia,0.6844941187039513,0.6633775547224574
Malta,0.6269244297107909,0.6519667590027701
Mexico,0.6778522381985053,0.6872319391634981
Morocco,0.6381362306427408,0.6894772036474164
Netherlands,0.6650697173220235,0.6351754879259015
New Zealand,0.6614439255781868,0.6457594151528577
Norway,0.6311265442660547,0.6360906110283159
Pakistan,0.6782680401758494,0.7057467532467532
Panama,0.5172378653045691,0.6653947368421053
Peru,0.6715022514605089,0.6817496318114875
Philippines,0.6965368843806716,0.6934087497464332
Poland,0.5684295806575945,0.6121846053489889
Portugal,0.628393122993372,0.6555453390906782
Puerto Rico,0.618134573287492,0.676831215970962
Qatar,0.7112778690664199,0.6821090425531915
Romania,0.5828476435271245,0.6643937799043063
Russia,0.6217172138161124,0.6255214880244607
Samoa,0.6400208604559781,0.6417098121085595
Saudi Arabia,0.6222166783409901,0.6674786666666667
Serbia,0.5118790186487143,0.6717937701396348
Singapore,0.6645684085001524,0.6567349469151385
Slovakia,0.5460496507723388,0.6246094986807388
Slovenia,0.6539891095162619,0.6625497382198953
South Africa,0.7082437915077162,0.6923439699671515
South Korea,0.6759042563414297,0.6316857142857143
Spain,0.683683578155794,0.638253149790014
Sri Lanka,0.5602230792041442,0.7234754098360655
Sweden,0.5977780814349407,0.631847628267183
Switzerland,0.6615082523516688,0.6457424412094065
Taiwan,0.6053039504479027,0.6568101265822784
Thailand,0.6315345642317105,0.6419101297096974
Trinidad and Tobago,0.6748155861438458,0.660883495145631
Turkey,0.6009783820369166,0.6329991589571068
Ukraine,0.6274492541867874,0.626905602455871
United Arab Emirates,0.7056866857179642,0.6916279349789284
United Kingdom,0.6662068942555661,0.6473964021042122
United States,0.6853822018234603,0.6696550903691043
Uruguay,0.4856176076784441,0.6164617563739376
Venezuela,0.6707088259302072,0.6497150997150998
Vietnam,0.6600826290918602,0.6394026845637584
