"","CountryNames","CourageAvgUnsampled","CourageVarUnsampled","CourageAvgSampled01","CourageVarSampled01","CourageAvgSampled02","CourageVarSampled02","CourageAvgSampled03","CourageVarSampled03","CourageAvgSampled04","CourageVarSampled04","CourageAvgSampled05","CourageVarSampled05","CourageAvgSampled06","CourageVarSampled06","CourageAvgSampled07","CourageVarSampled07","CourageAvgSampled08","CourageVarSampled08","CourageAvgSampled09","CourageVarSampled09","CourageAvgSampled10","CourageVarSampled10","GTI2018","GTI2019","GTI2020","Hofstede2010_IDV","Hofstede2010_MAS","GII2017","GII2018","GII2019","GII2020","GII2021","BCGIII2009","BloombergInnovation2015","CreativityIndex2015","OECD_Edu_Primary","OECD_Edu_Primary_SE","OECD_Edu_Secondary","OECD_Edu_Secondary_SE","OECD_Edu_Tertiary","OECD_Edu_Tertiary_SE","OECD_GDP_2017","OECD_GDP_2018","OECD_GDP_2019","OECD_GDP_2020","OECD_GDP_2021","OECD_Unemployment_2017","OECD_Unemployment_2018","OECD_Unemployment_2019","OECD_Unemployment_2020","OECD_Unemployment_2021","UN_Edu_Primary_ComplRate_2017","UN_Edu_Primary_ComplRate_2018","UN_Edu_Primary_ComplRate_2019","UN_Edu_Primary_EnrolRate_2017","UN_Edu_Primary_EnrolRate_2018","UN_Edu_Primary_EnrolRate_2019","UN_Edu_Secondary_EnrolRate_2017","UN_Edu_Secondary_EnrolRate_2018","UN_Edu_Secondary_EnrolRate_2019","UN_Edu_Tertiary_EnrolRate_2017","UN_Edu_Tertiary_EnrolRate_2018","UN_Edu_Tertiary_EnrolRate_2019","UN_GDP_2017","UN_GDP_2018","UN_GDP_2019","UN_GDP_Growth_2017","UN_GDP_Growth_2018","UN_GDP_Growth_2019","UN_GDP_percap_2017","UN_GDP_percap_2018","UN_GDP_percap_2019","UN_GDP_percap_growth_2017","UN_GDP_percap_growth_2018","UN_GDP_percap_growth_2019","UN_GDP_PPP_percap_2017","UN_GDP_PPP_percap_2018","UN_GDP_PPP_percap_2019","UN_GNI_Atl_2017","UN_GNI_Atl_2018","UN_GNI_Atl_2019","UN_GNI_Atl_percap_2017","UN_GNI_Atl_percap_2018","UN_GNI_Atl_percap_2019","UN_GNI_PPP_2017","UN_GNI_PPP_2018","UN_GNI_PPP_2019","UN_GNI_PPP_percap_2017","UN_GNI_PPP_percap_2018","UN_GNI_PPP_percap_2019","UN_Metro_Population_2017","UN_Metro_Population_2018","UN_Metro_Population_2019","UN_NetIncome_2017","UN_NetIncome_2018","UN_NetIncome_2019","UN_Patent_NonResident_2017","UN_Patent_NonResident_2018","UN_Patent_NonResident_2019","UN_Patent_Resident_2017","UN_Patent_Resident_2018","UN_Patent_Resident_2019","UN_Researcher_Density_2017","UN_Researcher_Density_2018","UN_RnD_2017","UN_RnD_2018","UN_RnD_2019","UN_TradeMark_NonResident_2017","UN_TradeMark_NonResident_2018","UN_TradeMark_NonResident_2019","UN_TradeMark_Resident_2017","UN_TradeMark_Resident_2018","UN_TradeMark_Resident_2019","UN_Unemployment_2017","UN_Unemployment_2018","UN_Unemployment_2019","UN_Urbanisation_2017","UN_Urbanisation_2018","UN_Urbanisation_2019","WB_Educ_Spending","WB_GDP_curent","WB_GDP_growth","WB_GDP_percap","WB_Gross_Primary_Enrollment","WB_Gross_Secndry_Enrollment","WB_Gross_UpprSec_Enrollment","WB_Immigrants","WB_Internet_Users","WB_Labour_Participation","WB_Patent_Rate","WB_RnD_Spending","WB_Service_Industry_Contribution","WB_UrbanPop_growth","WB_UrbanPop_percnt"
"1","Argentina",0.63628144,0.033804191,0.63844,0.035587123,0.633806667,0.03273215,0.62325,0.033079613,0.626866667,0.0346394,0.652023333,0.034608096,0.653716667,0.029004538,0.63139,0.031981095,0.632153333,0.035292411,0.64372,0.035340691,0.63398,0.030566682,1.68,1.68,1.024,46,56,32,30.65,31.95,28.33,29.8,-0.97,28.22,0.681,NA,NA,NA,NA,NA,NA,649609177860.402,632606330260.472,619790142032.578,558460240937.544,602914460231.398,NA,NA,NA,NA,NA,99.96276093,98.70625305,98.54724121,109.7414627,109.6591721,109.5162964,108.7335968,107.6472778,108.2308426,89.95851898,91.6006012,95.44790649,6.43629e+11,5.2482e+11,4.51932e+11,2.818502978,-2.617396463,-2.025934237,14613.04182,11795.15939,10056.63794,1.757648183,-3.601609757,-2.994387889,23597.11775,23293.39863,22999.27505,5.78844e+11,5.53257e+11,5.05637e+11,13140,12430,11250,1.01288e+12,9.99564e+11,9.92632e+11,23000,22460,22090,43.1279998,43.00810244,42.90402894,4.806461967,4.53681447,5.115008889,3050,3242,3260,393,425,442,1210.45658,1211.42035,0.55712,0.4936,NA,15053,16220,15304,59669,55492,49081,8.35,9.22,9.84,91.749,91.87,91.991,4.9,449664,-2.2,10041,109.65,107.65,86.45,5,74.3,61.2,10.75,0.5,63.9,1.2,91.9
"2","Australia",0.651429619,0.033899964,0.650686667,0.031864142,0.654886667,0.031459893,0.643336667,0.030121609,0.653396667,0.031722876,0.644916667,0.029588277,0.64613,0.033042976,0.657766667,0.037025919,0.656756667,0.031790727,0.65063,0.033117799,0.646553333,0.032282308,2.827,2.645,2.148,90,61,51.83,51.98,50.34,48.35,48.3,1.02,75.56,0.97,25,0.7,35,0.7,39,0.6,1299327696500.85,1336780896756.61,1362695641737.52,1329260290278.62,1379888902329.68,5.5911257633,5.2982890499,5.1577187892,6.455607505,5.0617051566,NA,NA,NA,100.3389816,100.1605911,99.72714996,150.3114777,132.7728882,140.6460419,113.1421585,107.8080521,115.9520416,1.32688e+12,1.42853e+12,1.39195e+12,2.295926947,2.87097248,2.113149425,53934.25018,57180.7794,54875.28596,0.587161103,1.302840712,0.571102988,48398.5497,50100.22467,52030.64391,1.26662e+12,1.32591e+12,1.39285e+12,51480,53070,54910,1.15838e+12,1.21247e+12,1.27756e+12,47090,48530,50370,60.66312466,60.89161823,60.89586172,6.57242132,5.951665613,6.348111288,26403,27200,27121,2503,2757,2637,NA,NA,1.87466,NA,NA,28265,30852,29457,46344,48283,44189,5.59,5.3,5.16,85.904,86.012,86.124,5.1,1380208,-0.3,54763,100.15,132.65,178,30.1,86.5,65.4,273.5,0.2,70.5,1.6,86
"3","Austria",0.627697339,0.035281461,0.607226667,0.031719079,0.63648,0.032929254,0.622646667,0.033703126,0.62842,0.033744472,0.646393333,0.03602036,0.632566667,0.033747852,0.639556667,0.037133231,0.631736667,0.029875733,0.623713333,0.037226259,0.630923333,0.031996606,1.852,1.655,1.016,55,79,53.1,51.32,50.94,50.13,50.9,1.15,72.32,0.788,19,0.4,62,0.4,19,0.2,398678747134.115,408441249647.844,414436829760.176,386143679386.516,401867891742.785,5.4992402986,4.8478773325,4.4863113222,5.3625311103,4.9577209552,99.45317841,99.81300354,99.40850067,103.1131516,103.3168488,103.1049271,100.4552078,99.95783997,100.1937027,85.05713654,86.68834686,86.47553253,4.1623e+11,4.54946e+11,4.45012e+11,2.258572433,2.501595119,1.49121085,47312.00623,51461.43322,50114.40111,1.550724086,2.003552524,1.04090812,54172.98679,57059.53894,58641.29812,3.95824e+11,4.32763e+11,4.52529e+11,44990,48950,50960,4.72122e+11,4.99498e+11,5.18847e+11,53670,56500,58430,21.35199668,21.49813342,21.56931594,12.88402459,13.36214079,14.53319978,232,168,208,2073,2039,2066,5387.92896,5733.07565,3.04885,3.17491,3.2105,3136,3249,3167,5059,5384,5689,5.5,4.85,4.49,58.094,58.297,58.515,5.4,445075,1.4,49701,103.3,99.9,97.95,19.3,87.8,60.6,32.25,0.4,70.2,0.7,58.3
"4","Bangladesh",0.702328205,0.03893561,0.712106667,0.040519193,0.718146667,0.03484858,0.686203333,0.041056296,0.703503333,0.037326759,0.688886667,0.04046289,0.697026667,0.040354735,0.712766667,0.037066574,0.693133333,0.039014832,0.707936667,0.038917705,0.707016667,0.041749033,5.697,5.208,4.909,20,55,23.72,23.06,23.31,20.39,20.2,NA,NA,0.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114.9886627,116.4663391,NA,69.66316986,72.69059753,72.55812836,18.15146065,20.5650692,24.01688957,2.49711e+11,2.74039e+11,3.02571e+11,7.284174423,7.86375358,8.152684149,1563.767819,1698.132081,1855.740094,6.136478312,6.733298633,7.045288761,4160.703325,4547.480016,4954.761848,2.4275e+11,2.82036e+11,3.15421e+11,1520,1750,1930,6.92953e+11,7.67323e+11,8.43954e+11,4340,4750,5180,14.78841202,15.11616239,15.45463137,24.39182174,22.2936195,24.36864208,241,299,345,61,69,68,NA,NA,NA,NA,NA,3843,4120,4392,9247,7960,8043,4.37,4.29,4.22,35.858,36.632,37.405,1.3,301051,8.2,1846,NA,72.7,58.85,1.3,12.9,59,NA,NA,55.5,3.5,36.6
"5","Belarus",0.613028481,0.037270542,0.611003333,0.037853094,0.615163333,0.038235595,0.613783333,0.037535709,0.61332,0.037974125,0.615166667,0.037406775,0.614336667,0.036269502,0.609703333,0.037229768,0.618683333,0.036074592,0.611003333,0.037156699,0.612206667,0.036203549,0,0,0,NA,NA,29.98,29.35,32.07,31.27,32.6,NA,NA,0.598,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.6810074,104.6179123,NA,101.9657898,100.5002136,NA,103.5134583,102.4395294,NA,88.45143127,87.42909241,93.39631653,54726595249,60031262269,64409647194,2.5321835,3.149197594,1.4,5785.670673,6360.062473,6837.717826,2.644807522,3.369991519,1.604818192,18356.10077,19430.27877,20094.52581,50355259255,54056894140,59972960904,5320,5730,6370,1.67108e+11,1.76769e+11,1.83672e+11,17670,18730,19500,20.98189352,21.23866578,21.40901072,11.15202751,12.3692755,10.59150236,90,94,95,434,453,298,NA,NA,0.58411,0.60443,NA,5638,5946,5970,1954,1872,2023,5.65,4.76,4.71,78.134,78.595,79.044,4.8,63081,1.2,6674,100.5,102.4,115.35,11.3,82.8,63.7,7.75,0.4,56.2,0.7,78.6
"6","Belgium",0.621628881,0.030843929,0.630356667,0.032300792,0.63656,0.030048033,0.628263333,0.031992757,0.624553333,0.028039499,0.621386667,0.02891896,0.618606667,0.034381718,0.619433333,0.031965444,0.605573333,0.033743623,0.621263333,0.030352134,0.619526667,0.027322297,4.06,3.636,3.043,75,52,48.85,50.5,50.18,49.13,49.2,0.86,67.42,0.817,NA,NA,NA,NA,NA,NA,475730903716.205,484384308336.824,494797238563.637,466793489918.293,495201322711.628,7.1252621029,5.9749859565,5.3580537019,5.5526181779,6.2913273026,NA,NA,NA,103.905571,103.3507004,102.6195068,158.5418549,155.9610748,156.0806122,79.66172791,78.90116882,80.13816833,5.01523e+11,5.43008e+11,5.35289e+11,1.619580278,1.819203664,2.149559681,44089.31009,47519.5531,46591.49161,1.228866236,1.356791445,1.598970017,50442.27054,52623.55967,54918.1662,4.83061e+11,5.25762e+11,5.516e+11,42470,46010,48010,5.79049e+11,6.06655e+11,6.37016e+11,50900,53090,55450,26.90854052,26.96862201,27.00496476,11.60935277,11.25735666,11.5997042,216,218,257,1001,892,876,4729.55358,5023.26301,2.66124,2.76578,NA,4240,4276,4175,20179,19296,19071,7.09,5.95,5.36,97.961,98.001,98.041,6.4,533097,1.7,46198,103.35,156.2,150,17.3,90.3,53.4,631.5,3.1,77.9,0.7,98
"7","Bosnia and Herzegovina",0.665559211,0.040644307,0.667583333,0.040412712,0.66434,0.040308533,0.66638,0.040256076,0.666286667,0.040006272,0.66508,0.041013572,0.667396667,0.0396262,0.664436667,0.040905779,0.665453333,0.040529941,0.666283333,0.040987916,0.66721,0.040356815,1.339,1.388,0.677,NA,NA,30.23,31.09,31.41,28.99,29.6,NA,NA,0.253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.0358963,85.42336273,NA,NA,NA,NA,NA,NA,NA,47.82963181,43.4591217,40.19034958,18079075771,20177409351,20201323260,3.171434875,3.740071092,2.831002603,5394.268944,6070.349081,6119.762345,4.240509741,4.601625193,3.545337395,13753.83162,14916.78501,15847.13404,17158705388,19106770139,20405633481,5120,5750,6180,45709606783,49287340356,52279645567,13640,14830,15840,NA,NA,NA,NA,NA,NA,12,12,14,87,84,45,485.42082,471.2501,0.20048,0.19485,NA,3383,3424,3202,289,361,374,20.53,18.4,15.69,47.876,48.245,48.626,NA,20164,2.7,6109,NA,NA,82.3,1.1,69.9,46.1,581,0.2,64.9,-0.3,48.2
"8","Brazil",0.635466054,0.035555614,0.654153333,0.033774231,0.64231,0.032242308,0.65369,0.035652522,0.654426667,0.037842767,0.649326667,0.034218053,0.633056667,0.03698808,0.63869,0.035058596,0.623953333,0.030458934,0.63192,0.034502141,0.637316667,0.04064007,1.388,2.53,2.443,38,49,33.1,33.44,33.82,31.94,34.2,-0.59,33.8,0.667,NA,NA,NA,NA,NA,NA,1789521236294.94,1819429291785.67,1845036851228.07,1764517338774.62,1852488960107.25,12.7368506497,12.2542814023,11.8637334813,13.4711247223,13.8249843945,NA,NA,NA,115.9717789,114.476532,111.9657822,101.3137894,105.0091095,103.9523773,51.57070923,53.25735092,55.13629913,2.06351e+12,1.91693e+12,1.87782e+12,1.322869054,1.783666761,1.411152985,9928.675897,9151.381732,8897.552966,0.50833798,0.988960033,0.651853446,14524.61354,15020.43822,15388.23492,1.8085e+12,1.92005e+12,1.95724e+12,8700,9170,9270,2.96227e+12,3.05883e+12,3.16069e+12,14250,14600,14980,41.67433044,41.94619575,42.10456125,9.614633541,7.555938264,7.379462561,20178,19877,19932,5480,4980,5464,NA,NA,1.09392,1.16038,NA,26911,28356,28393,159192,176063,218764,12.82,12.33,11.93,86.309,86.569,86.824,6.3,1847796,1.1,8755,114.45,105.05,98.2,0.5,73.9,63.7,61,0.1,73.9,1.2,86.6
"9","Brunei Darussalam",0.668659472,0.023062201,0.665183333,0.02399114,0.678046667,0.024392045,0.66527,0.023911101,0.665543333,0.023565493,0.666753333,0.021561404,0.671556667,0.024438756,0.668046667,0.022419095,0.661656667,0.023410066,0.65972,0.023709413,0.67519,0.023596455,NA,NA,NA,NA,NA,32.89,32.84,32.35,29.82,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.4272232,107.9787216,100.0980072,104.8577118,103.151619,100.0995026,92.93731689,93.48278046,92.09571838,33.56496048,31.21179962,31.47384071,12128104859,13567351175,13469422959,1.328602552,0.052237791,3.869109865,28571.60829,31628.47626,31085.96193,0.209044442,-0.992460953,2.829690022,60994.53156,61839.11757,64724.13243,12650894476,12605129537,13965649019,29800,29390,32230,27428959649,26690441429,28796535329,64620,62220,66460,NA,NA,NA,35.25578268,29.72569154,31.16375074,99,97,134,8,24,7,NA,NA,NA,0.27763,NA,1530,1837,1820,121,141,180,9.32,8.7,6.92,77.312,77.629,77.942,4.4,13469,3.9,31086,100.1,92.15,85.9,25.6,95,64.4,155.75,0.6,37.5,1.9,77.6
"10","Bulgaria",0.677187584,0.034867963,0.68609,0.033273333,0.689996667,0.02993603,0.67524,0.036480464,0.66389,0.036358386,0.69081,0.034952496,0.683493333,0.034265134,0.68056,0.034206742,0.676273333,0.032782293,0.669156667,0.034107564,0.66045,0.034400255,0.315,0.372,0.172,30,40,42.84,42.65,40.35,39.98,42.4,-0.13,44.83,0.505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.81646729,86.6185379,84.97651672,89.33377075,87.44220734,85.94416046,98.18347168,96.82090759,92.39259338,71.03066254,71.52152252,73.37917328,59199447421,66363422450,68915416142,2.76217096,2.684576131,4.037592082,8366.293221,9446.700772,9879.268533,3.515538335,3.428724777,4.772502064,21469.93915,22957.40013,24707.0626,53879918047,59916014386,66240537216,7610,8530,9500,1.485e+11,1.56053e+11,1.67483e+11,20990,22210,24010,17.90346932,18.11261635,18.30534332,12.07236518,10.6218988,12.54145186,23,18,7,202,180,186,2125.18395,2342.86988,0.74308,0.75565,NA,1839,1846,1666,4150,3969,3721,6.16,5.21,4.23,74.669,75.008,75.347,4.1,67926,3.4,9703,87.45,96.8,121.3,2.7,67.9,55.2,2066.5,2.2,70.8,-0.2,75
