Country Name,Uncertainty Avoidance Societal Practices,Future Orientation Societal Practices,Power Distance Societal Practices,Institutional Collectivism Societal Practices,Humane Orientation Societal Practices,Performance Orientation Societal Practices,In-group Collectivism Societal Practices,Gender Egalitarianism Societal Practices,Assertiveness Societal Practices 
United Kingdom,4.65,4.28,5.15,4.27,3.72,4.08,4.08,3.67,4.15
Costa Rica,3.82,3.60,4.74,3.93,4.39,4.12,5.32,3.56,3.75
Italy,3.79,3.25,5.43,3.68,3.63,3.58,4.94,3.24,4.07
India,4.15,4.19,5.47,4.38,4.57,4.25,5.92,2.90,3.73
Namibia,4.20,3.49,5.29,4.13,3.96,3.67,4.52,3.88,3.91
Czechia,4.44,3.63,3.59,3.60,4.17,4.11,3.18,3.79,3.69
Venezuela,3.44,3.35,5.40,3.96,4.25,3.32,5.53,3.62,4.33
Taiwan,4.34,3.96,5.18,4.59,4.11,4.56,5.59,3.18,3.92
Singapore,5.31,5.07,4.99,4.90,3.49,4.90,5.64,3.70,4.17
Hong Kong,4.32,4.03,4.96,4.13,3.90,4.80,5.32,3.47,4.67
Ecuador,3.68,3.74,5.60,3.90,4.65,4.20,5.81,3.07,4.09
Iran,3.67,3.70,5.43,3.88,4.23,4.58,6.03,2.99,4.04
Mexico,4.18,3.87,5.22,4.06,3.98,4.10,5.71,3.64,4.45
El Salvador,3.62,3.80,5.68,3.71,3.71,3.72,5.35,3.16,4.62
Israel,4.01,3.85,4.73,4.46,4.10,4.08,4.70,3.19,4.23
Hungary,3.12,3.21,5.56,3.53,3.35,3.43,5.25,4.08,4.79
Russia,2.88,2.88,5.52,4.50,3.94,3.39,5.63,4.07,3.68
Zambia,4.10,3.62,5.31,4.61,5.23,4.16,5.84,2.86,4.07
Indonesia,4.17,3.86,5.18,4.54,4.69,4.41,5.68,3.26,3.86
Kazakhstan,3.66,3.57,5.31,4.29,3.99,3.57,5.26,3.84,4.46
Zimbabwe,4.15,3.77,5.67,4.12,4.45,4.24,5.57,3.04,4.06
Qatar,3.99,3.78,4.73,4.50,4.42,3.45,4.71,3.63,4.11
South Korea,3.55,3.97,5.61,5.20,3.81,4.55,5.54,2.50,4.40
Morocco,3.65,3.26,5.80,3.87,4.19,3.99,5.87,2.84,4.52
Portugal,3.91,3.71,5.44,3.92,3.91,3.60,5.51,3.66,3.65
China,4.94,3.75,5.04,4.77,4.36,4.45,5.80,3.05,3.76
Japan,4.07,4.29,5.11,5.19,4.30,4.22,4.63,3.19,3.59
Colombia,3.57,3.27,5.56,3.81,3.72,3.94,5.73,3.67,4.20
Albania,4.57,3.86,4.62,4.54,4.64,4.81,5.74,3.71,4.89
Turkey,3.63,3.74,5.57,4.03,3.94,3.83,5.88,2.89,4.53
Finland,5.02,4.24,4.89,4.63,3.96,3.81,4.07,3.35,3.81
Poland,3.62,3.11,5.10,4.53,3.61,3.89,5.52,4.02,4.06
Egypt,4.06,3.86,4.92,4.50,4.73,4.27,5.64,2.81,3.91
Spain,3.97,3.51,5.52,3.85,3.32,4.01,5.45,3.01,4.42
South Africa,4.59,4.64,4.11,4.39,4.34,4.66,5.09,3.66,4.36
Guatemala,3.30,3.24,5.60,3.70,3.89,3.81,5.63,3.02,3.89
Ireland,4.30,3.98,5.15,4.63,4.96,4.36,5.14,3.21,3.92
Bolivia,3.35,3.61,4.51,4.04,4.05,3.61,5.47,3.55,3.79
Austria,5.16,4.46,4.95,4.30,3.72,4.44,4.85,3.09,4.62
Switzerland,5.37,4.73,4.90,4.06,3.60,4.94,3.97,2.97,4.51
Netherlands,4.70,4.61,4.11,4.46,3.86,4.32,3.70,3.50,4.32
France,4.43,3.48,5.28,3.93,3.40,4.11,4.37,3.64,4.13
Switzerland,4.98,4.27,4.86,4.22,3.93,4.25,3.85,3.42,3.47
Australia,4.39,4.09,4.74,4.29,4.28,4.36,4.17,3.40,4.28
Greece,3.39,3.40,5.40,3.25,3.34,3.20,5.27,3.48,4.58
Sweden,5.32,4.39,4.85,5.22,4.10,3.72,3.66,3.84,3.38
South Africa,4.09,4.13,5.16,4.62,3.49,4.11,4.50,3.27,4.60
Canada,4.58,4.44,4.82,4.38,4.49,4.49,4.26,3.70,4.05
Brazil,3.60,3.81,5.33,3.83,3.66,4.04,5.18,3.31,4.20
Kuwait,4.21,3.26,5.12,4.49,4.52,3.95,5.80,2.58,3.63
Philippines,3.89,4.15,5.44,4.65,5.12,4.47,6.36,3.64,4.01
Argentina,3.65,3.08,5.64,3.66,3.99,3.65,5.51,3.49,4.22
Nigeria,4.29,4.09,5.80,4.14,4.10,3.92,5.55,3.01,4.79
New Zealand,4.75,3.47,4.89,4.81,4.32,4.72,3.67,3.22,3.42
Slovenia,3.78,3.59,5.33,4.13,3.79,3.66,5.43,3.96,4.00
Malaysia,4.78,4.58,5.17,4.61,4.87,4.34,5.51,3.51,3.87
Germany,5.16,3.95,5.54,3.56,3.40,4.09,4.52,3.06,4.73
Germany,5.22,4.27,5.25,3.79,3.18,4.25,4.02,3.10,4.55
Denmark,5.22,4.44,3.89,4.80,4.44,4.22,3.53,3.93,3.80
Georgia,3.50,3.41,5.22,4.03,4.18,3.88,6.19,3.55,4.18
Thailand,3.93,3.43,5.63,4.03,4.81,3.93,5.70,3.35,3.64
United States,4.15,4.15,4.88,4.20,4.17,4.49,4.25,3.34,4.55
