CODE,N1,N2,N3,N4,N5,N6,E1,E2,E3,E4,E5,E6,O1,O2,O3,O4,O5,A1,A2,A3,A4,A5,A6,C1,C2,C3,C4,C5,C6,N,E,O,A,C
AUT,52.50,51.6,50.7,51.8,50.7,53.4,48.9,52.2,48.5,49.2,44.1,53,58.1,58,55.8,54.1,54,46,43,45.6,46.3,46.4,53.8,47.2,47.4,46.7,49.4,43.7,47.6,52.9,48.4,59.1,48.2,46.7
BEL(F),52.40,50.6,54.9,50.8,51,53,43.3,52.7,46.7,48.8,47.9,50.5,52.8,52.8,50.2,49.3,48.6,47.7,48.9,44.7,46.4,53.6,53.8,43.8,47.2,48.7,48.5,46.1,49.1,53,47.7,51.8,50,46.6
CAN,50.40,49.4,50.5,50.8,50.7,48.9,50.4,50.2,49.7,51.3,51.3,52.5,52,51.6,51.9,49.5,50.4,51.6,52.4,53.7,50.1,48.9,52.5,50.7,49.3,49.8,47.5,48.3,50.8,50.5,51.7,51.6,51.9,49.2
CHN,49.70,54.1,54,54.9,47.2,56.3,45.7,53.2,46.4,49.3,46.8,45.3,45.8,53.6,44.7,43.1,47.6,50,48.4,41.7,40.9,47.2,54.2,44,47.7,50.5,49.7,47.2,57.2,53.1,44.5,48.3,47.8,50.3
CRO,50.50,52.2,52.1,51.8,46.7,50.5,43,49.6,45.3,51.7,44.7,48,48.9,53.2,47.7,44.5,49.7,45.5,46.2,47.6,47,48.5,50.6,47.6,50.2,51.5,54.6,48.5,51.8,52.8,45.1,49,47.5,53.2
CZE,51.10,51.3,51.9,49,52,59.9,50.5,48.3,47.9,47.8,42.4,52.3,52.4,52,51.6,53.7,49.8,41,51.7,48.3,48.1,51,50.1,40.3,47.7,50.1,49.7,45.2,49.8,54.2,47.4,52.3,50.7,47.5
DNK,46.40,44.9,49.2,48.4,49.8,47.6,49.5,55.9,48,56.8,47.1,52.2,47.6,46.8,47.4,51.5,46.4,54.2,52.7,48.6,50.6,51.2,51.5,48.2,48.7,50.6,48.5,49.4,48.5,46.5,52.8,46.5,52,47.5
EST,49.00,45.7,49.9,48.7,50.1,44.8,49.1,48,51.5,52,50.3,51.3,54.4,53.4,53.9,49.3,50.1,52.1,46.8,45,46.9,55.3,56.6,44.6,50.3,52.4,50.2,49.6,50.6,49.7,49.9,52.6,50.8,49.6
FRA,55.10,51.2,54.6,52.1,51.9,53.7,48.1,49.2,46.7,50.5,45.4,49,54.1,52.7,50.9,53.8,52.7,43,50.1,48.9,49.8,55.4,54.7,42.1,48.3,49.2,48.2,44.7,48,55.4,47.3,54.1,52.1,47.4
DEU,51.60,50.8,51.3,52.4,50.7,54.1,47.2,51.1,48.4,49.9,41.5,51.4,54.7,56.9,54.3,54.9,50.9,46.2,44.8,44.7,48.1,46.7,54.1,45.3,48.7,46.7,48.2,44.6,47,52.8,47.3,56.7,49.1,46.7
HKG,53.10,48.4,52.8,55.2,46,59.2,45,43.7,43.9,45.5,36.5,40.1,45.6,52.1,43.6,47,46.6,48.6,55.4,40.7,57.4,48.1,52.4,40.3,48.6,48.6,48.7,48.7,53.4,53.3,37.6,49.2,54.6,49.2
HUN,49.80,50.6,53.7,51.1,50.4,53.9,46.2,50.2,47.4,51,48.6,49.1,53.3,56.4,53.4,48.9,52.6,45.6,47,48.4,47.2,49.3,47,42.5,51.8,51.2,50.3,45.8,49.5,53.8,47.1,53.7,47.9,50
IND(M),48.90,44.9,49.3,48.1,39.1,47.2,44.7,47.1,43.1,46.8,37,50.5,40.8,57.9,47.4,48.9,53.2,54.7,56.7,47.1,54.2,47.7,56.2,47.7,55.5,54,55,48.8,55.1,49.1,40.7,51.4,56.7,55.7
IND(T),47.90,50.7,55.2,50.9,40.8,53.8,45.9,50,41.8,48.8,48.4,44.4,34.6,54,40.9,44.5,50.9,51.6,54.5,47.1,53.9,52.2,60.5,43.8,52.7,52.2,53.6,49,56.6,52.3,43.5,44,55.9,54
