COUNTRY,Rank,SCORE
Afghanistan,117,21%
Albania,96,34%
Algeria,107,30%
Argentina,21,47%
Armenia,110,29%
Australia,4,55%
Austria,33,45%
Benin,98,32%
Bolivia,45,43%
Bosnia and Herzegovina,42,44%
Brazil,18,47%
Bulgaria,54,41%
Burkina Faso,65,39%
Cambodia,119,19%
Cameroon,77,37%
Canada,8,51%
Chile,71,38%
China,49,42%
Colombia,51,42%
Congo Brazzaville,72,38%
Costa Rica,43,44%
Croatia,82,37%
Cyprus,60,40%
Czech Republic,13,48%
Denmark,24,46%
Dominican Republic,38,44%
Ecuador,52,42%
Egypt,116,23%
El Salvador,86,36%
Estonia,64,40%
Finland,74,37%
France,100,32%
Gabon,95,34%
Georgia,104,31%
Germany,55,41%
Ghana,46,43%
Greece,102,32%
Guinea,19,47%
Honduras,26,46%
Hong Kong,81,37%
Hungary,62,40%
Iceland,23,46%
India,57,40%
Indonesia,1,68%
Iran,48,43%
Iraq,75,37%
Ireland,11,49%
Israel,78,37%
Italy,109,29%
Jamaica,28,46%
Japan,118,20%
Jordan,101,32%
Kazakhstan,93,34%
Kenya,2,61%
Kosovo,44.00,43.0%
Kyrgyzstan,41,44%
Laos,113,27%
Latvia,111,29%
Lebanon,115,24%
Lithuania,83,37%
Malawi,67,39%
Mali,73,38%
Malta,35,45%
Mauritius,79,37%
Mexico,37,44%
Moldova,90,34%
Mongolia,25,46%
Morocco,103,31%
Mozambique,94,34%
Myanmar,6,52%
Namibia,89,35%
Nepal,56,40%
Netherlands,29,46%
New Zealand,5,54%
Nicaragua,58,40%
Nigeria,14,48%
North Macedonia,34,45%
Norway,32,45%
Pakistan,108,29%
Panama,84,36%
Paraguay,39,44%
Peru,68,39%
Philippines,20,47%
Poland,16,47%
Portugal,114,26%
Romania,106,30%
Russian Federation,30,46%
Saudi Arabia,85,36%
Senegal,61,40%
Serbia,27,46%
Sierra Leone,7,51%
Singapore,31,45%
Slovakia,53,41%
Slovenia,69,39%
South Africa,87,35%
South Korea,88,35%
Spain,99,32%
Sri Lanka,40,44%
Sweden,50,42%
Switzerland,76,37%
Taiwan,91,34%
Tajikistan,66,39%
Tanzania,97,33%
Thailand,12,48%
Togo,92,34%
Tunisia,112,28%
Turkey,63,40%
Uganda,22,46%
Ukraine,10,49%
United Arab Emirates,15,47%
United Kingdom,17,47%
United States of America,3,59%
Uruguay,59,40%
Uzbekistan,70,38%
Venezuela,36,45%
Vietnam,47,43%
Zambia,9,50%
Zimbabwe,105,31%
