"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","1993","Male","Not applicable","Percent","87.78536"
"Afghanistan","1993","Female","Not applicable","Percent","87.788"
"Afghanistan","1993","All genders","Not applicable","Percent","87.786"
"Afghanistan","1985","Female","Not applicable","Percent","46.58431"
"Afghanistan","1985","All genders","Not applicable","Percent","54.18312"
"Afghanistan","1985","Male","Not applicable","Percent","57.92424"
"Afghanistan","1984","Female","Not applicable","Percent","53.13833"
"Afghanistan","1984","Male","Not applicable","Percent","60.66229"
"Afghanistan","1984","All genders","Not applicable","Percent","58.25526"
"Afghanistan","1982","All genders","Not applicable","Percent","61.13878"
"Afghanistan","1981","Female","Not applicable","Percent","46.44293"
"Afghanistan","1981","All genders","Not applicable","Percent","44.56233"
"Afghanistan","1981","Male","Not applicable","Percent","44.13801"
"Afghanistan","1980","Female","Not applicable","Percent","40.52057"
"Afghanistan","1980","Male","Not applicable","Percent","46.58125"
"Afghanistan","1980","All genders","Not applicable","Percent","45.439"
"Afghanistan","1978","Female","Not applicable","Percent","43.98597"
"Afghanistan","1978","All genders","Not applicable","Percent","50.01172"
"Afghanistan","1978","Male","Not applicable","Percent","51.33806"
"Afghanistan","1977","Female","Not applicable","Percent","40.30793"
"Afghanistan","1977","Male","Not applicable","Percent","49.04855"
"Afghanistan","1977","All genders","Not applicable","Percent","47.49157"
"Albania","2013","All genders","Not applicable","Percent","98.71253"
"Albania","2013","Male","Not applicable","Percent","98.32625"
"Albania","2013","Female","Not applicable","Percent","99.14606"
"Albania","2012","All genders","Not applicable","Percent","98.66704"
"Albania","2012","Female","Not applicable","Percent","99.83727"
"Albania","2012","Male","Not applicable","Percent","97.61909"
"Albania","2011","All genders","Not applicable","Percent","98.78337"
"Albania","2011","Male","Not applicable","Percent","98.46882"
"Albania","2011","Female","Not applicable","Percent","99.14433"
"Albania","2010","All genders","Not applicable","Percent","97.86436"
"Albania","2010","Female","Not applicable","Percent","97.8856"
"Albania","2010","Male","Not applicable","Percent","97.8378"
"Albania","2009","All genders","Not applicable","Percent","95.22871"
"Albania","2009","Male","Not applicable","Percent","95.06567"
"Albania","2009","Female","Not applicable","Percent","95.44256"
"Albania","2008","All genders","Not applicable","Percent","93.7624"
"Albania","2008","Female","Not applicable","Percent","94.38825"
"Albania","2008","Male","Not applicable","Percent","93.1897"
"Albania","2007","All genders","Not applicable","Percent","93.43748"
"Albania","2007","Male","Not applicable","Percent","93.50496"
"Albania","2007","Female","Not applicable","Percent","93.36426"
"Albania","2006","All genders","Not applicable","Percent","93.93368"
"Albania","2006","Female","Not applicable","Percent","95.35825"
"Albania","2006","Male","Not applicable","Percent","92.63141"
"Albania","2003","All genders","Not applicable","Percent","89.92898"
"Albania","2003","Male","Not applicable","Percent","88.72503"
"Albania","2003","Female","Not applicable","Percent","91.23175"
"Albania","2000","All genders","Not applicable","Percent","89.61138"
"Albania","2000","Female","Not applicable","Percent","93.43219"
"Albania","2000","Male","Not applicable","Percent","86.11458"
"Algeria","2013","Female","Not applicable","Percent","94.49519"
"Algeria","2013","All genders","Not applicable","Percent","93.413"
"Algeria","2013","Male","Not applicable","Percent","92.38773"
"Algeria","2012","All genders","Not applicable","Percent","96.20979"
"Algeria","2012","Male","Not applicable","Percent","94.84868"
"Algeria","2012","Female","Not applicable","Percent","97.67105"
"Algeria","2011","All genders","Not applicable","Percent","92.76752"
"Algeria","2011","Female","Not applicable","Percent","94.55278"
"Algeria","2011","Male","Not applicable","Percent","91.11802"
"Algeria","2010","All genders","Not applicable","Percent","94.55256"
"Algeria","2010","Male","Not applicable","Percent","94.01055"
"Algeria","2010","Female","Not applicable","Percent","95.13255"
"Algeria","2009","All genders","Not applicable","Percent","95.03897"
"Algeria","2009","Female","Not applicable","Percent","97.10444"
"Algeria","2009","Male","Not applicable","Percent","93.15516"
"Algeria","2007","All genders","Not applicable","Percent","92.95233"
"Algeria","2007","Male","Not applicable","Percent","91.34348"
"Algeria","2007","Female","Not applicable","Percent","94.69239"
"Algeria","2006","All genders","Not applicable","Percent","92.01125"
"Algeria","2006","Female","Not applicable","Percent","94.68234"
"Algeria","2006","Male","Not applicable","Percent","89.5405"
"Algeria","2005","All genders","Not applicable","Percent","90.91964"
"Algeria","2005","Male","Not applicable","Percent","89.76314"
"Algeria","2005","Female","Not applicable","Percent","92.17047"
"Algeria","2004","All genders","Not applicable","Percent","93.20313"
"Algeria","2004","Female","Not applicable","Percent","95.12966"
"Algeria","2004","Male","Not applicable","Percent","91.43611"
"Algeria","2003","Female","Not applicable","Percent","95.42182"
"Algeria","2003","Male","Not applicable","Percent","91.64278"
"Algeria","2003","All genders","Not applicable","Percent","93.46224"
"Algeria","2002","Female","Not applicable","Percent","95.56889"
"Algeria","2002","All genders","Not applicable","Percent","94.51694"
"Algeria","2002","Male","Not applicable","Percent","93.54145"
"Algeria","2001","Female","Not applicable","Percent","95.56688"
"Algeria","2001","Male","Not applicable","Percent","91.56763"
"Algeria","2001","All genders","Not applicable","Percent","93.48474"
"Algeria","2000","Female","Not applicable","Percent","95.4299"
"Algeria","2000","All genders","Not applicable","Percent","94.56373"
"Algeria","2000","Male","Not applicable","Percent","93.75427"
"Algeria","1999","Female","Not applicable","Percent","93.144"
"Algeria","1999","Male","Not applicable","Percent","89.88703"
"Algeria","1999","All genders","Not applicable","Percent","91.45581"
"Algeria","1998","Female","Not applicable","Percent","92.92777"
"Algeria","1998","All genders","Not applicable","Percent","92.03946"
"Algeria","1998","Male","Not applicable","Percent","91.21778"
"Algeria","1997","Female","Not applicable","Percent","86.78423"
"Algeria","1997","Male","Not applicable","Percent","87.60287"
"Algeria","1997","All genders","Not applicable","Percent","87.21031"
"Algeria","1996","Female","Not applicable","Percent","83.22571"
"Algeria","1996","All genders","Not applicable","Percent","84.75324"
"Algeria","1996","Male","Not applicable","Percent","86.14686"
"Algeria","1995","Female","Not applicable","Percent","81.37382"
"Algeria","1995","Male","Not applicable","Percent","85.6975"
"Algeria","1995","All genders","Not applicable","Percent","83.63676"
"Algeria","1992","Female","Not applicable","Percent","72.4061"
"Algeria","1992","All genders","Not applicable","Percent","75.05415"
"Algeria","1992","Male","Not applicable","Percent","77.39338"
"Algeria","1991","Male","Not applicable","Percent","74.80177"
"Algeria","1991","Female","Not applicable","Percent","70.52777"
"Algeria","1991","All genders","Not applicable","Percent","72.81256"
"Algeria","1990","All genders","Not applicable","Percent","75.61424"
"Algeria","1990","Female","Not applicable","Percent","71.80848"
"Algeria","1990","Male","Not applicable","Percent","78.89071"
"Algeria","1989","All genders","Not applicable","Percent","76.77715"
"Algeria","1989","Male","Not applicable","Percent","80.44785"
"Algeria","1989","Female","Not applicable","Percent","72.50654"
"Algeria","1988","All genders","Not applicable","Percent","70.7741"
"Algeria","1988","Female","Not applicable","Percent","67.10477"
"Algeria","1988","Male","Not applicable","Percent","73.87272"
"Algeria","1987","All genders","Not applicable","Percent","68.7979"
"Algeria","1987","Male","Not applicable","Percent","72.01451"
"Algeria","1987","Female","Not applicable","Percent","64.96838"
"Algeria","1986","All genders","Not applicable","Percent","68.3792"
"Algeria","1986","Female","Not applicable","Percent","63.75991"
"Algeria","1986","Male","Not applicable","Percent","72.23248"
"Algeria","1982","All genders","Not applicable","Percent","67.95261"
"Algeria","1982","Male","Not applicable","Percent","70.63129"
"Algeria","1982","Female","Not applicable","Percent","64.54395"
"Algeria","1981","All genders","Not applicable","Percent","66.40314"
"Algeria","1981","Female","Not applicable","Percent","60.75336"
"Algeria","1981","Male","Not applicable","Percent","70.7772"
"Algeria","1980","All genders","Not applicable","Percent","60.91828"
"Algeria","1980","Male","Not applicable","Percent","64.26251"
"Algeria","1980","Female","Not applicable","Percent","56.56725"
"Algeria","1979","All genders","Not applicable","Percent","61.34229"
"Algeria","1979","Female","Not applicable","Percent","56.08801"
"Algeria","1979","Male","Not applicable","Percent","65.29607"
"Algeria","1978","All genders","Not applicable","Percent","61.46116"
"Algeria","1978","Male","Not applicable","Percent","66.51325"
"Algeria","1978","Female","Not applicable","Percent","54.83799"
"Algeria","1977","All genders","Not applicable","Percent","57.57156"
"Algeria","1977","Male","Not applicable","Percent","62.32547"
"Algeria","1977","Female","Not applicable","Percent","51.2669"
"Algeria","1976","All genders","Not applicable","Percent","56.27069"
"Algeria","1976","Male","Not applicable","Percent","61.06947"
"Algeria","1976","Female","Not applicable","Percent","49.77423"
"Algeria","1975","All genders","Not applicable","Percent","54.2124"
"Algeria","1975","Male","Not applicable","Percent","59.1461"
"Algeria","1975","Female","Not applicable","Percent","47.41399"
"Andorra","2013","Male","Not applicable","Percent","70.97962"
"Andorra","2013","Female","Not applicable","Percent","70.34795"
"Andorra","2013","All genders","Not applicable","Percent","70.65059"
"Angola","2009","Male","Not applicable","Percent","36.55027"
"Angola","2009","Female","Not applicable","Percent","26.86385"
"Angola","2009","All genders","Not applicable","Percent","31.87285"
"Angola","2008","Female","Not applicable","Percent","25.73058"
"Angola","2008","All genders","Not applicable","Percent","27.59042"
"Angola","2008","Male","Not applicable","Percent","29.20809"
"Angola","1991","All genders","Not applicable","Percent","46.2538"
"Angola","1982","All genders","Not applicable","Percent","27.84808"
"Angola","1981","All genders","Not applicable","Percent","28.36522"
"Anguilla","2008","All genders","Not applicable","Percent","86.25077"
"Antigua and Barbuda","2007","All genders","Not applicable","Percent","91.32207"
"Argentina","2012","Male","Not applicable","Percent","94.94988"
"Argentina","2012","All genders","Not applicable","Percent","94.56793"
"Argentina","2012","Female","Not applicable","Percent","94.17206"
"Argentina","2011","All genders","Not applicable","Percent","96.27779"
"Argentina","2011","Female","Not applicable","Percent","95.10088"
"Argentina","2011","Male","Not applicable","Percent","97.42997"
"Argentina","2010","All genders","Not applicable","Percent","93.12641"
"Argentina","2010","Male","Not applicable","Percent","93.11933"
"Argentina","2010","Female","Not applicable","Percent","93.13486"
"Argentina","2009","All genders","Not applicable","Percent","95.28445"
"Argentina","2009","Female","Not applicable","Percent","93.81257"
"Argentina","2009","Male","Not applicable","Percent","96.73082"
"Argentina","2008","All genders","Not applicable","Percent","93.77038"
"Argentina","2008","Male","Not applicable","Percent","94.60348"
"Argentina","2008","Female","Not applicable","Percent","92.92048"
"Argentina","2007","All genders","Not applicable","Percent","97.40509"
"Argentina","2007","Female","Not applicable","Percent","96.06041"
"Argentina","2007","Male","Not applicable","Percent","98.73394"
"Argentina","2006","All genders","Not applicable","Percent","94.83917"
"Argentina","2006","Male","Not applicable","Percent","95.28165"
"Argentina","2006","Female","Not applicable","Percent","94.38802"
"Argentina","2005","All genders","Not applicable","Percent","94.49914"
"Argentina","2005","Female","Not applicable","Percent","93.10749"
"Argentina","2005","Male","Not applicable","Percent","95.88082"
"Argentina","2004","All genders","Not applicable","Percent","86.80684"
"Argentina","2004","Female","Not applicable","Percent","85.67637"
"Argentina","2004","Male","Not applicable","Percent","87.93008"
"Argentina","2003","All genders","Not applicable","Percent","95.08827"
"Argentina","2003","Female","Not applicable","Percent","92.84921"
"Argentina","2003","Male","Not applicable","Percent","97.34566"
"Argentina","2002","All genders","Not applicable","Percent","80.7821"
"Argentina","2002","Female","Not applicable","Percent","79.28654"
"Argentina","2002","Male","Not applicable","Percent","82.28617"
"Argentina","2001","All genders","Not applicable","Percent","89.83465"
"Argentina","2001","Female","Not applicable","Percent","89.04531"
"Argentina","2001","Male","Not applicable","Percent","90.62271"
"Argentina","2000","All genders","Not applicable","Percent","90.78639"
"Argentina","2000","Female","Not applicable","Percent","90.39652"
"Argentina","2000","Male","Not applicable","Percent","91.17385"
"Argentina","1999","All genders","Not applicable","Percent","94.99295"
"Argentina","1999","Female","Not applicable","Percent","92.61097"
"Argentina","1999","Male","Not applicable","Percent","97.40884"
"Argentina","1998","All genders","Not applicable","Percent","87.84476"
"Argentina","1998","Female","Not applicable","Percent","88.11603"
"Argentina","1998","Male","Not applicable","Percent","87.58204"
"Argentina","1997","All genders","Not applicable","Percent","76.94988"
"Argentina","1997","Female","Not applicable","Percent","78.47539"
"Argentina","1997","Male","Not applicable","Percent","75.46011"
"Argentina","1994","All genders","Not applicable","Percent","83.35332"
"Argentina","1976","Female","Not applicable","Percent","64.9661"
"Argentina","1976","All genders","Not applicable","Percent","61.99458"
"Argentina","1976","Male","Not applicable","Percent","59.14482"
"Argentina","1975","All genders","Not applicable","Percent","63.92338"
"Argentina","1975","Female","Not applicable","Percent","66.95764"
"Argentina","1975","Male","Not applicable","Percent","61.00778"
"Armenia","2013","Male","Not applicable","Percent","90.03804"
"Armenia","2013","All genders","Not applicable","Percent","90.2065"
"Armenia","2013","Female","Not applicable","Percent","90.39834"
