Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP (current US$),2983798883,3092178771,3202234637,3368970253,2610038938,3126019399
Africa Eastern and Southern,AFE,GDP (current US$),8.89859E+11,1.03048E+12,1.0167E+12,1.00905E+12,9.34179E+11,1.08945E+12
Afghanistan,AFG,GDP (current US$),18019558182,18896352022,18418848300,18904490263,20143442151,14786861638
Africa Western and Central,AFW,GDP (current US$),6.90545E+11,6.83748E+11,7.6636E+11,7.94719E+11,7.848E+11,8.40187E+11
Angola,AGO,GDP (current US$),49840491178,68972769396,77792944472,69309110146,53619073505,67404287260
Albania,ALB,GDP (current US$),11861199831,13019689337,15156432310,15401830754,15131866271,18255787479
Andorra,AND,GDP (current US$),2896679212,3000180750,3218316013,3155065488,2891022273,3330281524
Arab World,ARB,GDP (current US$),2.51649E+12,2.59809E+12,2.80043E+12,2.81836E+12,2.49118E+12,2.86299E+12
United Arab Emirates,ARE,GDP (current US$),3.69255E+11,3.90517E+11,4.27049E+11,4.1799E+11,3.49473E+11,4.15022E+11
Argentina,ARG,GDP (current US$),5.57531E+11,6.43629E+11,5.2482E+11,4.47755E+11,3.8554E+11,4.87227E+11
Armenia,ARM,GDP (current US$),10546135160,11527458566,12457941907,13619291361,12641697523,13861409969
American Samoa,ASM,GDP (current US$),671000000,612000000,639000000,647000000,716000000,709000000
Antigua and Barbuda,ATG,GDP (current US$),1436585185,1467977778,1605944444,1687533333,1370281481,1471125926
Australia,AUS,GDP (current US$),1.20654E+12,1.32652E+12,1.42829E+12,1.39223E+12,1.3269E+12,1.55267E+12
Austria,AUT,GDP (current US$),3.95837E+11,4.17261E+11,4.54991E+11,4.44621E+11,4.35225E+11,4.80368E+11
Azerbaijan,AZE,GDP (current US$),37867518957,40865558912,47112941176,48174235294,42693000000,54622176471
Burundi,BDI,GDP (current US$),2639321161,2712324134,2660123598,2576518846,2649671999,2779813489
Belgium,BEL,GDP (current US$),4.76063E+11,5.02765E+11,5.43299E+11,5.35831E+11,5.25212E+11,5.94104E+11
Benin,BEN,GDP (current US$),11821065852,12701655846,14262408080,14391686309,15651545209,17144918952
Burkina Faso,BFA,GDP (current US$),12833363370,14106956830,15890065020,16178162030,17933606353,19737615114
