Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,GDP per capita (current US$),28421.38649,28451.27374,29326.70806,30220.59452,31650.76054,24487.86356,29342.10086
Africa Eastern and Southern,AFE,GDP per capita (current US$),1538.552268,1443.692371,1628.586788,1564.73434,1512.270553,1363.540741,1549.77273
Afghanistan,AFG,GDP per capita (current US$),592.4765375,520.252064,530.1498308,502.0567706,500.5226641,516.8665522,368.7546142
Africa Western and Central,AFW,GDP per capita (current US$),1876.623483,1645.023767,1585.91193,1731.311792,1749.303317,1683.436391,1757.030626
Angola,AGO,GDP per capita (current US$),3100.830685,1709.515534,2283.214233,2487.500996,2142.238757,1603.993477,1953.533757
Albania,ALB,GDP per capita (current US$),3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,5332.160475,6492.872012
Andorra,AND,GDP per capita (current US$),38885.37601,39932.16449,40632.48439,42903.44358,41327.50203,37207.49386,42137.32727
Arab World,ARB,GDP per capita (current US$),6245.787785,6062.681557,6132.428354,6474.29534,6384.066321,5545.455246,6271.319001
United Arab Emirates,ARE,GDP per capita (current US$),41525.1389,41054.53957,43063.96748,46722.26872,45376.17084,37629.17417,44315.55418
Argentina,ARG,GDP per capita (current US$),13789.06042,12790.24247,14613.04182,11795.15939,9963.672506,8496.424142,10636.1202
Armenia,ARM,GDP per capita (current US$),3666.141876,3679.951972,4041.995021,4391.923697,4828.505178,4505.867364,4966.513471
American Samoa,ASM,GDP per capita (current US$),13101.54182,13300.82461,12372.88478,13195.9359,13672.57666,15501.52634,15743.31076
Antigua and Barbuda,ATG,GDP per capita (current US$),14861.88271,15862.65166,16110.55628,17527.16963,18319.45605,14787.63578,15781.3957
Australia,AUS,GDP per capita (current US$),56710.44572,49875.56514,53936.14025,57207.87151,54941.43418,51720.37076,60443.10916
Austria,AUT,GDP per capita (current US$),44195.81759,45307.58786,47429.15846,51466.55656,50070.40335,48809.22688,53637.70571
Azerbaijan,AZE,GDP per capita (current US$),5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,4229.910649,5387.997975
Burundi,BDI,GDP per capita (current US$),289.3596333,242.0656705,243.1358094,231.4464765,216.9729681,216.8267413,221.4776762
Belgium,BEL,GDP per capita (current US$),41008.29672,42012.62272,44198.48239,47544.98115,46638.68131,45517.79493,51247.01435
Benin,BEN,GDP per capita (current US$),1041.652523,1049.820303,1095.274459,1194.438214,1170.965533,1237.949295,1319.154995
Burkina Faso,BFA,GDP per capita (current US$),632.1266837,665.7863455,711.1846047,779.2027097,772.1668949,833.2443426,893.0771558
Bangladesh,BGD,GDP per capita (current US$),1236.00506,1659.961605,1815.609426,1963.411855,2122.078851,2233.305524,2457.92488
