"Reference Area","Time Period","Sex","Age group","Units of measurement","Observation Value"
"Afghanistan","2014","All genders","Not applicable","Percent","66.15321"
"Afghanistan","2014","Female","Not applicable","Percent","48.61942"
"Afghanistan","2014","Male","Not applicable","Percent","82.73375"
"Afghanistan","2013","All genders","Not applicable","Percent","65.8567"
"Afghanistan","2013","Male","Not applicable","Percent","83.00512"
"Afghanistan","2013","Female","Not applicable","Percent","47.74138"
"Afghanistan","2012","All genders","Not applicable","Percent","67.1625"
"Afghanistan","2012","Female","Not applicable","Percent","48.68259"
"Afghanistan","2012","Male","Not applicable","Percent","84.6657"
"Afghanistan","2011","All genders","Not applicable","Percent","67.23949"
"Afghanistan","2011","Male","Not applicable","Percent","85.03613"
"Afghanistan","2011","Female","Not applicable","Percent","48.43533"
"Afghanistan","2010","All genders","Not applicable","Percent","71.2244"
"Afghanistan","2010","Female","Not applicable","Percent","49.13492"
"Afghanistan","2010","Male","Not applicable","Percent","92.08985"
"Afghanistan","2009","All genders","Not applicable","Percent","64.56905"
"Afghanistan","2009","Male","Not applicable","Percent","84.63317"
"Afghanistan","2009","Female","Not applicable","Percent","43.31881"
"Afghanistan","2008","All genders","Not applicable","Percent","56.40139"
"Afghanistan","2008","Female","Not applicable","Percent","34.91495"
"Afghanistan","2008","Male","Not applicable","Percent","76.6688"
"Afghanistan","2007","All genders","Not applicable","Percent","41.28187"
"Afghanistan","2007","Male","Not applicable","Percent","58.62152"
"Afghanistan","2007","Female","Not applicable","Percent","22.87572"
"Afghanistan","2006","All genders","Not applicable","Percent","41.65963"
"Afghanistan","2006","Female","Not applicable","Percent","23.57882"
"Afghanistan","2006","Male","Not applicable","Percent","58.67268"
"Afghanistan","2005","All genders","Not applicable","Percent","26.78381"
"Afghanistan","2005","Male","Not applicable","Percent","39.22866"
"Afghanistan","2005","Female","Not applicable","Percent","13.5477"
"Afghanistan","2004","All genders","Not applicable","Percent","25.21639"
"Afghanistan","2004","Female","Not applicable","Percent","7.89482"
"Afghanistan","2004","Male","Not applicable","Percent","41.41523"
"Afghanistan","2003","All genders","Not applicable","Percent","18.136"
"Afghanistan","2003","Male","Not applicable","Percent","26.8307"
"Afghanistan","2003","Female","Not applicable","Percent","8.7935"
"Afghanistan","2001","All genders","Not applicable","Percent","13.79019"
"Afghanistan","2001","Female","Not applicable","Percent","0"
"Afghanistan","2001","Male","Not applicable","Percent","26.52171"
"Albania","2014","Female","Not applicable","Percent","96.58019"
"Albania","2014","Male","Not applicable","Percent","100.543"
"Albania","2014","All genders","Not applicable","Percent","98.62413"
"Albania","2013","Male","Not applicable","Percent","99.68701"
"Albania","2013","All genders","Not applicable","Percent","98.23531"
"Albania","2013","Female","Not applicable","Percent","96.69326"
"Albania","2012","Male","Not applicable","Percent","96.43781"
"Albania","2012","Female","Not applicable","Percent","94.4893"
"Albania","2012","All genders","Not applicable","Percent","95.49298"
"Albania","2011","Male","Not applicable","Percent","95.14914"
"Albania","2011","All genders","Not applicable","Percent","94.66083"
"Albania","2011","Female","Not applicable","Percent","94.14108"
"Albania","2010","Female","Not applicable","Percent","96.31735"
"Albania","2010","Male","Not applicable","Percent","95.58294"
"Albania","2010","All genders","Not applicable","Percent","95.9372"
"Albania","2009","All genders","Not applicable","Percent","95.23613"
"Albania","2009","Male","Not applicable","Percent","94.40887"
"Albania","2009","Female","Not applicable","Percent","96.12665"
"Albania","2008","Female","Not applicable","Percent","97.27109"
"Albania","2008","Male","Not applicable","Percent","96.61789"
"Albania","2008","All genders","Not applicable","Percent","96.93302"
"Albania","2007","All genders","Not applicable","Percent","96.0631"
"Albania","2007","Male","Not applicable","Percent","96.04246"
"Albania","2007","Female","Not applicable","Percent","96.08517"
"Albania","2006","Female","Not applicable","Percent","94.5431"
"Albania","2006","Male","Not applicable","Percent","95.03872"
"Albania","2006","All genders","Not applicable","Percent","94.79829"
"Albania","2005","All genders","Not applicable","Percent","95.26675"
"Albania","2005","Male","Not applicable","Percent","95.6225"
"Albania","2005","Female","Not applicable","Percent","94.89121"
"Albania","2004","Female","Not applicable","Percent","92.89755"
"Albania","2004","Male","Not applicable","Percent","94.35148"
"Albania","2004","All genders","Not applicable","Percent","93.64297"
"Albania","2003","All genders","Not applicable","Percent","97.0272"
"Albania","2003","Male","Not applicable","Percent","97.56452"
"Albania","2003","Female","Not applicable","Percent","96.46315"
"Albania","2002","Female","Not applicable","Percent","93.45102"
"Albania","2002","Male","Not applicable","Percent","96.54066"
"Albania","2002","All genders","Not applicable","Percent","95.03018"
"Albania","2001","All genders","Not applicable","Percent","97.53941"
"Albania","2001","Male","Not applicable","Percent","98.72143"
"Albania","2001","Female","Not applicable","Percent","96.31413"
"Albania","2000","Female","Not applicable","Percent","94.70735"
"Albania","2000","Male","Not applicable","Percent","97.24719"
"Albania","2000","All genders","Not applicable","Percent","95.99726"
"Albania","1999","Female","Not applicable","Percent","96.00067"
"Albania","1999","All genders","Not applicable","Percent","97.55461"
"Albania","1999","Male","Not applicable","Percent","99.07133"
"Albania","1998","Female","Not applicable","Percent","96.47704"
"Albania","1998","All genders","Not applicable","Percent","98.42392"
"Albania","1998","Male","Not applicable","Percent","100.33266"
"Algeria","2011","Male","Not applicable","Percent","137.20982"
"Algeria","2011","Female","Not applicable","Percent","126.60212"
"Algeria","2011","All genders","Not applicable","Percent","132.01042"
"Algeria","2010","All genders","Not applicable","Percent","129.62773"
"Algeria","2010","Female","Not applicable","Percent","123.83824"
"Algeria","2010","Male","Not applicable","Percent","135.19634"
"Algeria","2009","Male","Not applicable","Percent","135.8442"
"Algeria","2009","Female","Not applicable","Percent","123.53003"
"Algeria","2009","All genders","Not applicable","Percent","129.80584"
"Algeria","2008","All genders","Not applicable","Percent","101.17318"
"Algeria","2008","Female","Not applicable","Percent","96.47561"
"Algeria","2008","Male","Not applicable","Percent","105.69486"
"Algeria","2007","Male","Not applicable","Percent","92.18376"
"Algeria","2007","Female","Not applicable","Percent","88.27564"
"Algeria","2007","All genders","Not applicable","Percent","90.26815"
"Algeria","2006","All genders","Not applicable","Percent","107.17848"
"Algeria","2006","Female","Not applicable","Percent","103.31664"
"Algeria","2006","Male","Not applicable","Percent","110.88518"
"Algeria","2005","Male","Not applicable","Percent","109.13046"
"Algeria","2005","Female","Not applicable","Percent","103.22602"
"Algeria","2005","All genders","Not applicable","Percent","106.23976"
"Algeria","2004","All genders","Not applicable","Percent","103.2293"
"Algeria","2004","Female","Not applicable","Percent","100.14369"
"Algeria","2004","Male","Not applicable","Percent","106.18701"
"Algeria","2003","Male","Not applicable","Percent","101.83202"
"Algeria","2003","Female","Not applicable","Percent","96.33067"
"Algeria","2003","All genders","Not applicable","Percent","99.14006"
"Algeria","2002","Male","Not applicable","Percent","100.61611"
"Algeria","2002","All genders","Not applicable","Percent","97.08264"
"Algeria","2002","Female","Not applicable","Percent","93.39573"
"Algeria","2001","Male","Not applicable","Percent","96.74009"
"Algeria","2001","Female","Not applicable","Percent","89.51447"
"Algeria","2001","All genders","Not applicable","Percent","93.20222"
"Algeria","2000","Male","Not applicable","Percent","91.55511"
"Algeria","2000","All genders","Not applicable","Percent","87.69306"
"Algeria","2000","Female","Not applicable","Percent","83.66954"
"Algeria","1999","Male","Not applicable","Percent","92.63696"
"Algeria","1999","Female","Not applicable","Percent","82.42232"
"Algeria","1999","All genders","Not applicable","Percent","87.63227"
"Algeria","1997","Male","Not applicable","Percent","82.33694"
"Algeria","1997","All genders","Not applicable","Percent","77.1777"
"Algeria","1997","Female","Not applicable","Percent","71.81261"
"Algeria","1996","Male","Not applicable","Percent","82.07188"
"Algeria","1996","All genders","Not applicable","Percent","75.25762"
