"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Åland Islands","2021","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2022","30236.5","1"
"Åland Islands","2021","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2022","282","1"
"Åland Islands","2021","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2022","1480.5","1"
"Åland Islands","2021","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2022","275.5","1"
"Åland Islands","2021","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2022","1198.5","1"
"Åland Islands","2021","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2022","290.5","1"
"Åland Islands","2021","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2022","304","1"
"Åland Islands","2021","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2022","328.5","1"
"Åland Islands","2021","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2022","338","1"
"Åland Islands","2021","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2022","1742.5","1"
"Åland Islands","2021","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2022","348.5","1"
"Åland Islands","2021","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2022","353","1"
"Åland Islands","2021","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2022","353","1"
"Åland Islands","2021","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2022","350","1"
"Åland Islands","2021","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2022","357","1"
"Åland Islands","2021","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2022","1756.5","1"
"Åland Islands","2021","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2022","341.5","1"
"Åland Islands","2021","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2022","343.5","1"
"Åland Islands","2021","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2022","358.5","1"
"Åland Islands","2021","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2022","356","1"
"Åland Islands","2021","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2022","340","1"
"Åland Islands","2021","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2022","1572","1"
"Åland Islands","2021","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2022","331.5","1"
"Åland Islands","2021","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2022","328.5","1"
"Åland Islands","2021","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2022","311","1"
"Åland Islands","2021","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2022","261","1"
"Åland Islands","2021","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2022","243","1"
"Åland Islands","2021","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2022","1232","1"
"Åland Islands","2021","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2022","243","1"
"Åland Islands","2021","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2022","252","1"
"Åland Islands","2021","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2022","245.5","1"
"Åland Islands","2021","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2022","248.5","1"
"Åland Islands","2021","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2022","284","1"
"Åland Islands","2021","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2022","1597","1"
"Åland Islands","2021","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2022","295","1"
"Åland Islands","2021","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2022","314","1"
"Åland Islands","2021","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2022","340.5","1"
"Åland Islands","2021","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2022","363.5","1"
"Åland Islands","2021","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2022","390","1"
"Åland Islands","2021","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2022","1948.5","1"
"Åland Islands","2021","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2022","399.5","1"
"Åland Islands","2021","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2022","400","1"
"Åland Islands","2021","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2022","392","1"
"Åland Islands","2021","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2022","367","1"
"Åland Islands","2021","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2022","367.5","1"
"Åland Islands","2021","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2022","1923","1"
"Åland Islands","2021","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2022","376.5","1"
"Åland Islands","2021","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2022","377","1"
"Åland Islands","2021","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2022","398","1"
"Åland Islands","2021","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2022","404","1"
"Åland Islands","2021","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2022","402.5","1"
"Åland Islands","2021","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2022","1895","1"
"Åland Islands","2021","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2022","387","1"
"Åland Islands","2021","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2022","361.5","1"
"Åland Islands","2021","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2022","358.5","1"
"Åland Islands","2021","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2022","385.5","1"
"Åland Islands","2021","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2022","400.5","1"
"Åland Islands","2021","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2022","1967","1"
"Åland Islands","2021","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2022","386.5","1"
"Åland Islands","2021","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2022","390","1"
"Åland Islands","2021","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2022","390","1"
"Åland Islands","2021","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2022","400","1"
"Åland Islands","2021","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2022","401.5","1"
"Åland Islands","2021","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2022","2090.5","1"
"Åland Islands","2021","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2022","384.5","1"
"Åland Islands","2021","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2022","404.5","1"
"Åland Islands","2021","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2022","450.5","1"
"Åland Islands","2021","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2022","449.5","1"
"Åland Islands","2021","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2022","448.5","1"
"Åland Islands","2021","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2022","2090.5","1"
"Åland Islands","2021","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2022","443.5","1"
"Åland Islands","2021","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2022","407","1"
"Åland Islands","2021","Total","Both Sexes","58","Estimate - de jure","Final figure, complete","2022","401.5","1"
"Åland Islands","2021","Total","Both Sexes","59","Estimate - de jure","Final figure, complete","2022","390","1"
"Åland Islands","2021","Total","Both Sexes","60","Estimate - de jure","Final figure, complete","2022","388","1"
"Åland Islands","2021","Total","Both Sexes","60 - 64","Estimate - de jure","Final figure, complete","2022","1926","1"
"Åland Islands","2021","Total","Both Sexes","61","Estimate - de jure","Final figure, complete","2022","400","1"
"Åland Islands","2021","Total","Both Sexes","62","Estimate - de jure","Final figure, complete","2022","390","1"
"Åland Islands","2021","Total","Both Sexes","63","Estimate - de jure","Final figure, complete","2022","377","1"
"Åland Islands","2021","Total","Both Sexes","64","Estimate - de jure","Final figure, complete","2022","371","1"
"Åland Islands","2021","Total","Both Sexes","65","Estimate - de jure","Final figure, complete","2022","368","1"
"Åland Islands","2021","Total","Both Sexes","65 - 69","Estimate - de jure","Final figure, complete","2022","1977","1"
"Åland Islands","2021","Total","Both Sexes","66","Estimate - de jure","Final figure, complete","2022","386","1"
"Åland Islands","2021","Total","Both Sexes","67","Estimate - de jure","Final figure, complete","2022","421","1"
"Åland Islands","2021","Total","Both Sexes","68","Estimate - de jure","Final figure, complete","2022","419","1"
"Åland Islands","2021","Total","Both Sexes","69","Estimate - de jure","Final figure, complete","2022","383","1"
"Åland Islands","2021","Total","Both Sexes","70","Estimate - de jure","Final figure, complete","2022","353","1"
"Åland Islands","2021","Total","Both Sexes","70 - 74","Estimate - de jure","Final figure, complete","2022","1864","1"
"Åland Islands","2021","Total","Both Sexes","71","Estimate - de jure","Final figure, complete","2022","361.5","1"
"Åland Islands","2021","Total","Both Sexes","72","Estimate - de jure","Final figure, complete","2022","385","1"
"Åland Islands","2021","Total","Both Sexes","73","Estimate - de jure","Final figure, complete","2022","385","1"
"Åland Islands","2021","Total","Both Sexes","74","Estimate - de jure","Final figure, complete","2022","379.5","1"
