Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Urban population (% of total population),43.108,43.192,43.293,43.411,43.546,43.697,43.866
Aruba,ABW,Urban population,44943,45297,45648,45999,46351,46574,46734
Aruba,ABW,Urban population growth (annual %),0.793025568,0.784578493,0.771898934,0.765986265,0.762320963,0.479957876,0.342950565
Aruba,ABW,"Mortality caused by road traffic injury (per 100,000 population)",,,,,,,
Aruba,ABW,Pump price for gasoline (US$ per liter),,,,,,,
Aruba,ABW,Pump price for diesel fuel (US$ per liter),,,,,,,
Aruba,ABW,Population in urban agglomerations of more than 1 million (% of total population),,,,,,,
Aruba,ABW,Population in urban agglomerations of more than 1 million,,,,,,,
Aruba,ABW,Population in the largest city (% of urban population),,,,,,,
Aruba,ABW,Population in largest city,,,,,,,
Aruba,ABW,Population living in slums (% of urban population),,,,,,,
Aruba,ABW,Urban population living in areas where elevation is below 5 meters (% of total population),4.605602018,,,,,,
Aruba,ABW,Population density (people per sq. km of land area),579.2055556,582.6333333,585.7722222,588.6777778,591.3444444,592.1388889,
Aruba,ABW,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",,,,,,,
Aruba,ABW,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",,,,,,,
Aruba,ABW,"Access to electricity, urban (% of urban population)",100,100,100,100,100,100,
Aruba,ABW,Urban land area (sq. km),97.34080782,,,,,,
Aruba,ABW,Urban land area where elevation is below 5 meters (% of total land area),4.134336641,,,,,,
Aruba,ABW,Urban land area where elevation is below 5 meters (sq. km),7.530315255,,,,,,
Africa Eastern and Southern,AFE,Urban population (% of total population),34.42558069,34.89474989,35.3588983,35.84759569,36.33625755,36.8283008,37.32369749
Africa Eastern and Southern,AFE,Urban population,206556291,215083329,223732118,232922215,242451029,252315370,262376949
Africa Eastern and Southern,AFE,Urban population growth (annual %),4.282731819,4.128190896,4.02113406,4.107634202,4.090985482,4.068591105,3.9876996
Africa Eastern and Southern,AFE,"Mortality caused by road traffic injury (per 100,000 population)",28.54357735,28.97702025,28.95099882,28.98118266,29.41213272,,
Africa Eastern and Southern,AFE,Pump price for gasoline (US$ per liter),,0.95,,,,,
Africa Eastern and Southern,AFE,Pump price for diesel fuel (US$ per liter),,0.82,,,,,
Africa Eastern and Southern,AFE,Population in urban agglomerations of more than 1 million (% of total population),13.93429319,14.06590308,14.20787769,14.33700349,14.45516326,14.58105497,14.7213318
Africa Eastern and Southern,AFE,Population in urban agglomerations of more than 1 million,,,,,,,
Africa Eastern and Southern,AFE,Population in the largest city (% of urban population),28.40978954,28.42342082,28.47101877,28.44893084,28.40555771,28.37388549,28.37018858
Africa Eastern and Southern,AFE,Population in largest city,,,,,,,
Africa Eastern and Southern,AFE,Population living in slums (% of urban population),,55.34871112,,54.67294016,,54.38635113,
Africa Eastern and Southern,AFE,Urban population living in areas where elevation is below 5 meters (% of total population),0.418074265,,,,,,
Africa Eastern and Southern,AFE,Population density (people per sq. km of land area),40.41781925,41.52046001,42.62314177,43.76896614,44.94681121,46.15069209,
Africa Eastern and Southern,AFE,"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",100,100,100,,,,
Africa Eastern and Southern,AFE,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",35.72738435,35.49774718,35.50288778,,,,
Africa Eastern and Southern,AFE,"Access to electricity, urban (% of urban population)",66.93647887,68.97783822,70.7717296,71.69242679,73.16486287,73.77567524,
Africa Eastern and Southern,AFE,Urban land area (sq. km),63984.12438,,,,,,
Africa Eastern and Southern,AFE,Urban land area where elevation is below 5 meters (% of total land area),0.003958116,,,,,,
Africa Eastern and Southern,AFE,Urban land area where elevation is below 5 meters (sq. km),588.7284091,,,,,,
Afghanistan,AFG,Urban population (% of total population),24.803,25.02,25.25,25.495,25.754,26.026,26.314
Afghanistan,AFG,Urban population,8371880,8665979,8999963,9353296,9727157,10142913,10551772
Afghanistan,AFG,Urban population growth (annual %),3.996007967,3.452642906,3.781556617,3.850832833,3.919286985,4.185357062,3.951857289
Afghanistan,AFG,"Mortality caused by road traffic injury (per 100,000 population)",14.4,14.8,15.1,14.2,15.9,,
Afghanistan,AFG,Pump price for gasoline (US$ per liter),,0.7,,,,,
Afghanistan,AFG,Pump price for diesel fuel (US$ per liter),,0.7,,,,,
Afghanistan,AFG,Population in urban agglomerations of more than 1 million (% of total population),11.03157631,11.02095561,10.97901722,10.93519127,10.89246643,10.83215407,10.81253908
Afghanistan,AFG,Population in urban agglomerations of more than 1 million,3723543,3817241,3913297,4011770,4114030,4221532,4335770
Afghanistan,AFG,Population in the largest city (% of urban population),44.47678419,44.04858355,43.48125653,42.89151118,42.29426954,41.62050882,41.09044433
Afghanistan,AFG,Population in largest city,3723543,3817241,3913297,4011770,4114030,4221532,4335770
Afghanistan,AFG,Population living in slums (% of urban population),,72.12863,,73.3,,73.3,
Afghanistan,AFG,Urban population living in areas where elevation is below 5 meters (% of total population),0,,,,,,
