"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","allik big five extraversion",766,7.44125326370757,0.0974855895021605,0.154042294576743
"2","Courage","national courage",766,7.44125326370757,0.0974855895021605,0.154042294576743
"3","Control Education","oecd edu population to primary",48,4.16666666666667,0.204580827627613,0.205339423386844
"4","Control Education","oecd edu population to tertiary",48,43.75,0.34704286873595,0.240500689840318
"5","Control Education","oecd edu population to secondary",48,0,0.0378269828817118,0.201850177717561
"6","Control Education","un edu primary complete",48,10.4166666666667,0.191061933537843,0.219496134253475
"7","Control Education","un edu primary enroll",48,14.5833333333333,0.161495934822992,0.198407971439435
"8","Control Education","un edu secondary enroll",48,10.4166666666667,0.144845912813964,0.161172032593759
"9","Control Education","un edu tertiary enroll",48,8.33333333333333,0.173125260550196,0.212206380186415
"10","Control Education","wb edu literacy adult",47,6.38297872340426,-0.142167283407138,0.0777797230747509
"11","Control Education","wb edu literacy youth",47,4.25531914893617,-0.102724576891152,0.0725671158566389
"12","Control Education","wb edu primary complete",48,2.08333333333333,-0.0311046456061282,0.118231556440288
"13","Control Education","wb edu primary enroll",48,2.08333333333333,0.00874593173401991,0.0927643819162598
"14","Control Education","wb edu secondary enroll",48,4.16666666666667,0.176406722807976,0.192268712093747
"15","Control Education","wb edu tertiary enroll",48,4.16666666666667,0.149424154238254,0.154527872919325
"16","Control Education","ipums edu tertiary attain",48,0,0.0239282107164457,0.118201401406062
"17","Control Education","ipums edu adult literacy",48,0,0.0734189629068418,0.077972958597327
"18","Control Education","Not Controlling",48,4.16666666666667,0.134698421246377,0.118103978376063
"19","Control Economics","oecd gdp",96,18.75,0.239512369690427,0.115957808407987
"20","Control Economics","oecd gdp per cap",94,14.8936170212766,0.213275923841529,0.141424228635208
"21","Control Economics","un gdp per cap",96,3.125,0.00323080625050623,0.280021772928247
"22","Control Economics","wb gdp per cap",96,3.125,0.0742347298222671,0.0847484222331733
"23","Control Economics","wb gdp",96,2.08333333333333,-0.00888716463286148,0.208933361549115
"24","Control Economics","wb gdp per cap ppp",96,5.20833333333333,0.0825651427962024,0.184505829431457
"25","Control Economics","wb gdp ppp",96,7.29166666666667,0.102330905201979,0.109220462588296
"26","Control Economics","Not Controlling",96,5.20833333333333,0.0760343016793054,0.107263594466684
"27","Control Urbanisation","wb urban density",128,8.59375,0.1239442517642,0.256144319074365
"28","Control Urbanisation","wb urban largest city ratio",128,15.625,0.144347585847205,0.147953475403388
"29","Control Urbanisation","wb urban big city ratio",128,12.5,0.0152641542211329,0.228254392595942
"30","Control Urbanisation","wb urban population ratio",128,3.125,0.0528566337783624,0.166833730658472
"31","Control Urbanisation","ipums urbanisation",126,0,0.144521040876962,0.00948236470086704
"32","Control Urbanisation","Not Controlling",128,4.6875,0.104714799452831,0.113326736123117
