"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","GLOBE future orientation societal practices",803,61.145703611457,0.65965573669691,0.251541325804424
"2","y","GLOBE future orientation societal values",803,2.4906600249066,0.0579240031733656,0.152668927275161
"3","Courage","national courage",1606,31.8181818181818,0.358789869935138,0.202105126539792
"4","Control Education","oecd edu population to primary",96,37.5,0.416278914069552,0.218155342816428
"5","Control Education","oecd edu population to tertiary",96,8.33333333333333,0.2978014185782,0.151275349636752
"6","Control Education","oecd edu population to secondary",96,28.125,0.357431065391772,0.196226392367123
"7","Control Education","un edu primary complete",106,8.49056603773585,0.28504463042028,0.191690467950145
"8","Control Education","un edu primary enroll",108,15.7407407407407,0.249278721938161,0.140882385931321
"9","Control Education","un edu secondary enroll",108,11.1111111111111,0.241674334067978,0.125829758605042
"10","Control Education","un edu tertiary enroll",108,11.1111111111111,0.222722142741282,0.219629172452677
"11","Control Education","wb edu literacy adult",96,37.5,0.370895404524526,0.195953872680459
"12","Control Education","wb edu literacy youth",96,42.7083333333333,0.359617424012496,0.188364977478165
"13","Control Education","wb edu primary complete",96,58.3333333333333,0.507869171888005,0.200214018912041
"14","Control Education","wb edu primary enroll",96,58.3333333333333,0.513965819215383,0.188237938733822
"15","Control Education","wb edu secondary enroll",96,50,0.446761936462621,0.261214353142456
"16","Control Education","wb edu tertiary enroll",108,22.2222222222222,0.313206988589456,0.176912835262065
"17","Control Education","ipums edu tertiary attain",96,50,0.439964980434384,0.31129917593475
"18","Control Education","ipums edu adult literacy",96,50,0.435382119482418,0.346389542498874
"19","Control Education","Not Controlling",108,30.5555555555556,0.343384922862973,0.147466876053593
"20","Control Economics","oecd gdp",192,27.6041666666667,0.3462988818275,0.0983757310695169
"21","Control Economics","oecd gdp per cap",192,22.9166666666667,0.321871636801471,0.234977353310115
"22","Control Economics","un gdp per cap",202,31.6831683168317,0.401355667824269,0.305157736296562
"23","Control Economics","wb gdp per cap",204,37.2549019607843,0.397036589668068,0.165393926517147
"24","Control Economics","wb gdp",204,32.3529411764706,0.370431154453237,0.281081156704623
"25","Control Economics","wb gdp per cap ppp",204,30.8823529411765,0.314932507274612,0.24304975253071
"26","Control Economics","wb gdp ppp",204,32.843137254902,0.344728330122859,0.161336257263162
"27","Control Economics","Not Controlling",204,38.2352941176471,0.3711750784742,0.124311349582944
"28","Control Urbanisation","wb urban density",256,30.078125,0.338051203583906,0.210897718829957
"29","Control Urbanisation","wb urban largest city ratio",256,30.46875,0.36244593889467,0.185744299915526
"30","Control Urbanisation","wb urban big city ratio",256,32.03125,0.341517119479706,0.21061119455843
"31","Control Urbanisation","wb urban population ratio",256,30.46875,0.351354387351989,0.170474310140732
"32","Control Urbanisation","ipums urbanisation",256,47.265625,0.414470153610252,0.283805654696908
"33","Control Urbanisation","Not Controlling",256,29.296875,0.348347271416523,0.184004417003774
"34","Control Urbanisation","un urban ratio",70,0,0.346184229793541,0.081760126652897
