"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","GLOBE future orientation societal practices",803,61.145703611457,0.65965573669691,0.251541325804424
"2","Courage","national courage",803,61.145703611457,0.65965573669691,0.251541325804424
"3","Control Education","oecd edu population to primary",48,75,0.691038823694003,0.277571857943409
"4","Control Education","oecd edu population to tertiary",48,16.6666666666667,0.415501833144244,0.192761585184007
"5","Control Education","oecd edu population to secondary",48,56.25,0.690474153970759,0.246768410159129
"6","Control Education","un edu primary complete",53,16.9811320754717,0.542661289433696,0.198484374855866
"7","Control Education","un edu primary enroll",54,31.4814814814815,0.551975515731617,0.117878160268276
"8","Control Education","un edu secondary enroll",54,22.2222222222222,0.53174204640391,0.121164576454646
"9","Control Education","un edu tertiary enroll",54,22.2222222222222,0.503166938664452,0.190240312820648
"10","Control Education","wb edu literacy adult",48,75,0.730255417654996,0.379294263117689
"11","Control Education","wb edu literacy youth",48,85.4166666666667,0.723365450564715,0.369898517559108
"12","Control Education","wb edu primary complete",48,100,0.737991139309307,0.283975053087213
"13","Control Education","wb edu primary enroll",48,100,0.761934347736481,0.264945227140207
"14","Control Education","wb edu secondary enroll",48,95.8333333333333,0.732465912809985,0.321189248508248
"15","Control Education","wb edu tertiary enroll",54,44.4444444444444,0.537855121122965,0.197298948762501
"16","Control Education","ipums edu tertiary attain",48,100,0.958240932898189,0.385957103510038
"17","Control Education","ipums edu adult literacy",48,100,0.972061804602074,0.35190454391698
"18","Control Education","Not Controlling",54,57.4074074074074,0.562346989950484,0.186441221463222
"19","Control Economics","oecd gdp",96,55.2083333333333,0.639536148131338,0.138336570795781
"20","Control Economics","oecd gdp per cap",96,44.7916666666667,0.559355000838622,0.284750828529525
"21","Control Economics","un gdp per cap",101,54.4554455445545,0.614480586013448,0.352713078173017
"22","Control Economics","wb gdp per cap",102,74.5098039215686,0.743202996180043,0.183603041544408
"23","Control Economics","wb gdp",102,54.9019607843137,0.589125470739493,0.350589945639659
"24","Control Economics","wb gdp per cap ppp",102,61.7647058823529,0.655060361540548,0.313295553469428
"25","Control Economics","wb gdp ppp",102,65.6862745098039,0.742395681838479,0.181899453448897
"26","Control Economics","Not Controlling",102,76.4705882352941,0.726563206163641,0.203428411684352
"27","Control Urbanisation","wb urban density",128,57.03125,0.55475476597092,0.292986898307465
"28","Control Urbanisation","wb urban largest city ratio",128,55.46875,0.595352678749841,0.233160439856808
"29","Control Urbanisation","wb urban big city ratio",128,64.0625,0.629901056974588,0.247060870293512
"30","Control Urbanisation","wb urban population ratio",128,57.03125,0.586240204942456,0.20888814599019
"31","Control Urbanisation","ipums urbanisation",128,94.53125,0.925496640087987,0.345951460196069
"32","Control Urbanisation","Not Controlling",128,55.46875,0.578181153023029,0.222493130386005
"33","Control Urbanisation","un urban ratio",35,0,0.981513274279144,0.100526961631593
