"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","hofstede idg",844,51.0663507109005,0.365672306347429,0.22974344414938
"2","Courage","national courage",844,51.0663507109005,0.365672306347429,0.22974344414938
"3","Control Education","oecd edu population to primary",48,62.5,0.464204709415665,0.25610640540131
"4","Control Education","oecd edu population to tertiary",48,79.1666666666667,0.451174844004988,0.244136843030915
"5","Control Education","oecd edu population to secondary",48,62.5,0.447714766594189,0.245471531019041
"6","Control Education","un edu primary complete",54,37.037037037037,0.338682962257436,0.17045408903339
"7","Control Education","un edu primary enroll",54,68.5185185185185,0.360497295228951,0.235631348597765
"8","Control Education","un edu secondary enroll",54,72.2222222222222,0.35983650997288,0.28144836887043
"9","Control Education","un edu tertiary enroll",54,62.962962962963,0.363075138062514,0.23287107985359
"10","Control Education","wb edu literacy adult",54,12.962962962963,0.307629881284685,0.215016490891573
"11","Control Education","wb edu literacy youth",54,11.1111111111111,0.279662522883637,0.18814824778523
"12","Control Education","wb edu primary complete",54,14.8148148148148,0.28208400793637,0.166747077207869
"13","Control Education","wb edu primary enroll",54,64.8148148148148,0.396697901362754,0.225586379436147
"14","Control Education","wb edu secondary enroll",54,64.8148148148148,0.396802144892124,0.229781474381575
"15","Control Education","wb edu tertiary enroll",54,55.5555555555556,0.320640462966226,0.215394281200752
"16","Control Education","ipums edu tertiary attain",53,35.8490566037736,0.361417867161804,0.265046205607137
"17","Control Education","ipums edu adult literacy",53,54.7169811320755,0.417889398322897,0.300603450878852
"18","Control Education","Not Controlling",54,62.962962962963,0.333198842149246,0.211693860050179
"19","Control Economics","oecd gdp",96,77.0833333333333,0.504418034077016,0.26423409055603
"20","Control Economics","oecd gdp per cap",96,63.5416666666667,0.442514396405576,0.269892327224097
"21","Control Economics","un gdp per cap",107,31.7757009345794,0.310849092415782,0.249292879588734
"22","Control Economics","wb gdp per cap",109,55.9633027522936,0.353175744823263,0.192579456431059
"23","Control Economics","wb gdp",109,21.1009174311927,0.279243103806275,0.243558342365063
"24","Control Economics","wb gdp per cap ppp",109,44.954128440367,0.332349410593799,0.217945861728733
"25","Control Economics","wb gdp ppp",109,60.5504587155963,0.370273628132585,0.209423145798189
"26","Control Economics","Not Controlling",109,57.7981651376147,0.357261418537771,0.20028211697228
"27","Control Urbanisation","wb urban density",128,60.9375,0.373839123345417,0.174312894242041
"28","Control Urbanisation","wb urban largest city ratio",128,67.96875,0.388368909612241,0.175964911457817
"29","Control Urbanisation","wb urban big city ratio",128,15.625,0.238705089288122,0.210906328482772
"30","Control Urbanisation","wb urban population ratio",128,73.4375,0.348453828540336,0.352525702617175
"31","Control Urbanisation","ipums urbanisation",128,21.875,0.386307778135411,0.157096603560465
"32","Control Urbanisation","Not Controlling",128,58.59375,0.356372709644705,0.162605190495199
"33","Control Urbanisation","un urban ratio",76,64.4736842105263,0.537438873957269,0.474036554112856
