"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","global innovation index",846,21.6312056737589,0.170643973342109,0.46694014594495
"2","Courage","national courage",846,21.6312056737589,0.170643973342109,0.46694014594495
"3","Control Education","oecd edu population to primary",48,60.4166666666667,0.324659775437603,0.589670757542411
"4","Control Education","oecd edu population to tertiary",48,2.08333333333333,0.111443014200973,0.590621599640408
"5","Control Education","oecd edu population to secondary",48,29.1666666666667,0.302030624026481,0.414420289440455
"6","Control Education","un edu primary complete",54,27.7777777777778,0.159837414315466,0.4337705057076
"7","Control Education","un edu primary enroll",54,27.7777777777778,0.166166776579848,0.470090060081888
"8","Control Education","un edu secondary enroll",54,3.7037037037037,0.0991255436168942,0.375180133957063
"9","Control Education","un edu tertiary enroll",54,37.037037037037,0.153404053141659,0.484482101327437
"10","Control Education","wb edu literacy adult",54,24.0740740740741,0.131459065235554,0.418784566631512
"11","Control Education","wb edu literacy youth",54,5.55555555555556,0.0964685056885964,0.352111940801065
"12","Control Education","wb edu primary complete",54,9.25925925925926,0.128449329999139,0.359321964427671
"13","Control Education","wb edu primary enroll",54,14.8148148148148,0.158653989619312,0.431190383908544
"14","Control Education","wb edu secondary enroll",54,48.1481481481481,0.235529818155441,0.564252271082843
"15","Control Education","wb edu tertiary enroll",54,25.9259259259259,0.153591296536314,0.469809292535261
"16","Control Education","ipums edu tertiary attain",54,11.1111111111111,0.212162486415856,0.541554163641375
"17","Control Education","ipums edu adult literacy",54,14.8148148148148,0.201049868846527,0.61992709840167
"18","Control Education","Not Controlling",54,7.40740740740741,0.121405510951271,0.37739878474627
"19","Control Economics","oecd gdp",96,20.8333333333333,0.219600612166527,0.230823168189712
"20","Control Economics","oecd gdp per cap",96,12.5,0.145469705568936,0.634893457751336
"21","Control Economics","un gdp per cap",109,1.8348623853211,0.055321292740229,0.676402008199952
"22","Control Economics","wb gdp per cap",109,31.1926605504587,0.218178134570063,0.353563838015521
"23","Control Economics","wb gdp",109,3.6697247706422,0.0817757619952509,0.628752875804551
"24","Control Economics","wb gdp per cap ppp",109,27.5229357798165,0.15142040631738,0.602302753417416
"25","Control Economics","wb gdp ppp",109,23.8532110091743,0.220962400949041,0.341667749436208
"26","Control Economics","Not Controlling",109,50.4587155963303,0.275259902004364,0.25898570520972
"27","Control Urbanisation","wb urban density",128,15.625,0.122171553517726,0.466049983011524
"28","Control Urbanisation","wb urban largest city ratio",128,15.625,0.123289849348997,0.438419863906115
"29","Control Urbanisation","wb urban big city ratio",128,20.3125,0.189319569578101,0.472150020952275
"30","Control Urbanisation","wb urban population ratio",128,17.96875,0.139871284366866,0.44795127099216
"31","Control Urbanisation","ipums urbanisation",128,42.96875,0.288863310530787,0.578175015371625
"32","Control Urbanisation","Not Controlling",128,18.75,0.144252857389605,0.427860687186285
"33","Control Urbanisation","un urban ratio",78,19.2307692307692,0.197056962586125,0.419406253431664
