"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","hofstede lto",846,37.8250591016548,-0.241832413842989,0.118316652878915
"2","Courage","national courage",846,37.8250591016548,-0.241832413842989,0.118316652878915
"3","Control Education","oecd edu population to primary",48,27.0833333333333,-0.259840279027657,0.148761789862561
"4","Control Education","oecd edu population to tertiary",48,68.75,-0.392101612376368,0.163736278423205
"5","Control Education","oecd edu population to secondary",48,14.5833333333333,-0.234166627185247,0.135964618520982
"6","Control Education","un edu primary complete",54,57.4074074074074,-0.302287294401811,0.141975029804041
"7","Control Education","un edu primary enroll",54,64.8148148148148,-0.295121471200462,0.166135955603442
"8","Control Education","un edu secondary enroll",54,66.6666666666667,-0.302682305924159,0.17180336885409
"9","Control Education","un edu tertiary enroll",54,62.962962962963,-0.262370376565629,0.188304143308365
"10","Control Education","wb edu literacy adult",54,3.7037037037037,-0.117042324948276,0.107202321251023
"11","Control Education","wb edu literacy youth",54,11.1111111111111,-0.162963985184243,0.0775810061836599
"12","Control Education","wb edu primary complete",54,38.8888888888889,-0.217472260707563,0.0575191125261975
"13","Control Education","wb edu primary enroll",54,46.2962962962963,-0.260199511091753,0.0495130561333984
"14","Control Education","wb edu secondary enroll",54,22.2222222222222,-0.219388771112452,0.0634143824262573
"15","Control Education","wb edu tertiary enroll",54,61.1111111111111,-0.26856503102813,0.0836268173778953
"16","Control Education","ipums edu tertiary attain",54,0,-0.159494443930911,0.112533755760364
"17","Control Education","ipums edu adult literacy",54,0,-0.138066084924969,0.137593277277472
"18","Control Education","Not Controlling",54,59.2592592592593,-0.295401939329337,0.0977918358796821
"19","Control Economics","oecd gdp",96,42.7083333333333,-0.308460504697207,0.189551281764434
"20","Control Economics","oecd gdp per cap",96,41.6666666666667,-0.28206010265318,0.161879158785518
"21","Control Economics","un gdp per cap",109,36.697247706422,-0.246911260000042,0.0938406109281568
"22","Control Economics","wb gdp per cap",109,31.1926605504587,-0.232504749678694,0.129849258223639
"23","Control Economics","wb gdp",109,33.9449541284404,-0.209564197256797,0.0650079214965718
"24","Control Economics","wb gdp per cap ppp",109,42.2018348623853,-0.227596994119322,0.0977757919986774
"25","Control Economics","wb gdp ppp",109,41.2844036697248,-0.242054680179339,0.154836848402506
"26","Control Economics","Not Controlling",109,33.9449541284404,-0.198251089458754,0.0674837528290408
"27","Control Urbanisation","wb urban density",128,71.09375,-0.340447779717658,0.181856825083773
"28","Control Urbanisation","wb urban largest city ratio",128,60.9375,-0.346020410784697,0.18329640208897
"29","Control Urbanisation","wb urban big city ratio",128,8.59375,-0.123817290747177,0.17693928736173
"30","Control Urbanisation","wb urban population ratio",128,51.5625,-0.284739032394555,0.113561713651743
"31","Control Urbanisation","ipums urbanisation",128,0,-0.100198413917042,0.0257643771035593
"32","Control Urbanisation","Not Controlling",128,57.8125,-0.29861213968751,0.0911981889439941
"33","Control Urbanisation","un urban ratio",78,0,-0.171529916709523,0.0153966496620426
