"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","hofstede pwd",846,29.3144208037825,-0.235630723137751,0.231805500253618
"2","Courage","national courage",846,29.3144208037825,-0.235630723137751,0.231805500253618
"3","Control Education","oecd edu population to primary",48,54.1666666666667,-0.33955194068315,0.36595652448539
"4","Control Education","oecd edu population to tertiary",48,27.0833333333333,-0.233253076167437,0.355569602160284
"5","Control Education","oecd edu population to secondary",48,45.8333333333333,-0.390945195629518,0.314314781946
"6","Control Education","un edu primary complete",54,22.2222222222222,-0.217422290350895,0.198619755883062
"7","Control Education","un edu primary enroll",54,38.8888888888889,-0.229936096575975,0.251045339376821
"8","Control Education","un edu secondary enroll",54,24.0740740740741,-0.2130505195292,0.241394476787623
"9","Control Education","un edu tertiary enroll",54,44.4444444444444,-0.245451219487538,0.289470466384479
"10","Control Education","wb edu literacy adult",54,0,-0.0507294422727835,-0.0284845059586718
"11","Control Education","wb edu literacy youth",54,0,-0.039449704760903,-0.0245999911253551
"12","Control Education","wb edu primary complete",54,7.40740740740741,-0.201082827453503,0.188408753845737
"13","Control Education","wb edu primary enroll",54,20.3703703703704,-0.251574852779501,0.210882554051774
"14","Control Education","wb edu secondary enroll",54,51.8518518518518,-0.311209057099609,0.281817894300687
"15","Control Education","wb edu tertiary enroll",54,48.1481481481481,-0.240555582492947,0.276493188218763
"16","Control Education","ipums edu tertiary attain",54,20.3703703703704,-0.314299890348899,0.260184509892524
"17","Control Education","ipums edu adult literacy",54,33.3333333333333,-0.291752276735967,0.337383167095674
"18","Control Education","Not Controlling",54,35.1851851851852,-0.228367380399175,0.22825642091652
"19","Control Economics","oecd gdp",96,30.2083333333333,-0.319812128867253,0.195536896455212
"20","Control Economics","oecd gdp per cap",96,16.6666666666667,-0.214832687993479,0.345027485060466
"21","Control Economics","un gdp per cap",109,0,-0.120365918051373,0.3514673453167
"22","Control Economics","wb gdp per cap",109,53.2110091743119,-0.301217184739524,0.113690549267907
"23","Control Economics","wb gdp",109,0,-0.135131714606176,0.355788576153917
"24","Control Economics","wb gdp per cap ppp",109,23.8532110091743,-0.211511207384893,0.239243410998093
"25","Control Economics","wb gdp ppp",109,56.8807339449541,-0.305538179877625,0.137407524988474
"26","Control Economics","Not Controlling",109,52.2935779816514,-0.284196248146898,0.125460139963494
"27","Control Urbanisation","wb urban density",128,25,-0.205266449221238,0.209185939007818
"28","Control Urbanisation","wb urban largest city ratio",128,38.28125,-0.242179956176717,0.256348190358665
"29","Control Urbanisation","wb urban big city ratio",128,24.21875,-0.242967195331685,0.231813211750131
"30","Control Urbanisation","wb urban population ratio",128,25.78125,-0.186819168621996,0.228678421555186
"31","Control Urbanisation","ipums urbanisation",128,53.125,-0.367425712044859,0.356839725920997
"32","Control Urbanisation","Not Controlling",128,27.34375,-0.197801633998539,0.211554152758713
"33","Control Urbanisation","un urban ratio",78,0,-0.188573038512474,0.0618171682252231
