"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","GLOBE performance orientation societal practices",803,39.8505603985056,0.464782595630186,0.160948503717318
"2","y","GLOBE performance orientation societal values",803,11.0834371108344,0.159017262098648,-0.0263420835326913
"3","Courage","national courage",1606,25.46699875467,0.311899928864417,0.0673032100923135
"4","Control Education","oecd edu population to primary",96,33.3333333333333,0.431182328565904,0.109158993601809
"5","Control Education","oecd edu population to tertiary",96,40.625,0.373081289974914,0.0823564645447788
"6","Control Education","oecd edu population to secondary",96,25,0.403018217627402,0.113884499459101
"7","Control Education","un edu primary complete",106,0,0.140108575093486,0.0653063717385523
"8","Control Education","un edu primary enroll",108,7.40740740740741,0.22744504729896,-0.00161601576638369
"9","Control Education","un edu secondary enroll",108,8.33333333333333,0.226813897705587,-0.00348774319616932
"10","Control Education","un edu tertiary enroll",108,12.037037037037,0.222683016211877,0.0656325477561696
"11","Control Education","wb edu literacy adult",96,4.16666666666667,0.175231237709046,0.0184940851292715
"12","Control Education","wb edu literacy youth",96,3.125,0.203765975812704,0.0185299498596604
"13","Control Education","wb edu primary complete",96,22.9166666666667,0.406911566181157,0.0629852066046178
"14","Control Education","wb edu primary enroll",96,32.2916666666667,0.421584710324115,0.0927884029717242
"15","Control Education","wb edu secondary enroll",96,38.5416666666667,0.428665166350145,0.12700073451511
"16","Control Education","wb edu tertiary enroll",108,45.3703703703704,0.351644869531681,0.092389503718934
"17","Control Education","ipums edu tertiary attain",96,48.9583333333333,0.342932522187585,0.104466939195425
"18","Control Education","ipums edu adult literacy",96,46.875,0.325365998589798,0.0791197083311045
"19","Control Education","Not Controlling",108,42.5925925925926,0.350420868486698,0.0648883882241086
"20","Control Economics","oecd gdp",192,30.7291666666667,0.376967903264107,0.0671891023723817
"21","Control Economics","oecd gdp per cap",192,33.3333333333333,0.363938831645335,0.101639025681096
"22","Control Economics","un gdp per cap",202,18.8118811881188,0.299591324919427,0.0780386651595774
"23","Control Economics","wb gdp per cap",204,31.3725490196078,0.353074292687784,0.0610519957474748
"24","Control Economics","wb gdp",204,25,0.326815635962379,0.0755028760652276
"25","Control Economics","wb gdp per cap ppp",204,15.1960784313725,0.210717136406257,0.0527275275309686
"26","Control Economics","wb gdp ppp",204,17.156862745098,0.212845583084674,0.0544233469925863
"27","Control Economics","Not Controlling",204,32.843137254902,0.358016690191834,0.0499714323880233
"28","Control Urbanisation","wb urban density",256,25.390625,0.317059564912169,0.114626851084449
"29","Control Urbanisation","wb urban largest city ratio",256,25.390625,0.332365451474069,0.0674734313700704
"30","Control Urbanisation","wb urban big city ratio",256,34.375,0.34222095307397,0.0872682135887233
"31","Control Urbanisation","wb urban population ratio",256,22.265625,0.321021659528249,0.0514237391551724
"32","Control Urbanisation","ipums urbanisation",256,30.078125,0.256401577056451,0.0843682652526377
"33","Control Urbanisation","Not Controlling",256,22.265625,0.321504657678707,0.0602133127394137
"34","Control Urbanisation","un urban ratio",70,0,0.241776809185838,-0.157810582407198
