"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","global terrorism index",846,78.1323877068558,0.430374167483221,0.277179531606622
"2","Courage","national courage",846,78.1323877068558,0.430374167483221,0.277179531606622
"3","Control Education","oecd edu population to primary",48,70.8333333333333,0.465113631645325,0.266808322366999
"4","Control Education","oecd edu population to tertiary",48,83.3333333333333,0.467457723456908,0.223588057978845
"5","Control Education","oecd edu population to secondary",48,33.3333333333333,0.363055616635003,0.282998939569768
"6","Control Education","un edu primary complete",54,81.4814814814815,0.35861550426703,0.315098652772277
"7","Control Education","un edu primary enroll",54,85.1851851851852,0.385750242365081,0.293566556239373
"8","Control Education","un edu secondary enroll",54,96.2962962962963,0.422134829422051,0.272944923495366
"9","Control Education","un edu tertiary enroll",54,94.4444444444444,0.414954712772658,0.276003686997329
"10","Control Education","wb edu literacy adult",54,61.1111111111111,0.360031436407528,0.377517694363641
"11","Control Education","wb edu literacy youth",54,66.6666666666667,0.376542126525565,0.376696040479077
"12","Control Education","wb edu primary complete",54,87.037037037037,0.489317005170294,0.279580782076008
"13","Control Education","wb edu primary enroll",54,81.4814814814815,0.45491733543401,0.227319430522319
"14","Control Education","wb edu secondary enroll",54,79.6296296296296,0.432678432160214,0.25524366827103
"15","Control Education","wb edu tertiary enroll",54,87.037037037037,0.432976803971009,0.267345907040962
"16","Control Education","ipums edu tertiary attain",54,66.6666666666667,0.499956184946512,0.211695083268622
"17","Control Education","ipums edu adult literacy",54,75.9259259259259,0.529309779435828,0.254913477064068
"18","Control Education","Not Controlling",54,94.4444444444444,0.433675811704032,0.247090919322025
"19","Control Economics","oecd gdp",96,45.8333333333333,0.343640012423575,0.19735309922405
"20","Control Economics","oecd gdp per cap",96,57.2916666666667,0.41356044637599,0.248378815058973
"21","Control Economics","un gdp per cap",109,90.8256880733945,0.502571317153045,0.325246132817686
"22","Control Economics","wb gdp per cap",109,77.0642201834862,0.378947510067137,0.252950717318321
"23","Control Economics","wb gdp",109,83.4862385321101,0.472589663233153,0.294806342030907
"24","Control Economics","wb gdp per cap ppp",109,92.6605504587156,0.50124910336255,0.341723438773532
"25","Control Economics","wb gdp ppp",109,86.2385321100918,0.411424291199939,0.29270552096384
"26","Control Economics","Not Controlling",109,85.3211009174312,0.406661249351579,0.251316655141884
"27","Control Urbanisation","wb urban density",128,89.0625,0.411433901209522,0.272180003692667
"28","Control Urbanisation","wb urban largest city ratio",128,87.5,0.402421240746094,0.300164972766079
"29","Control Urbanisation","wb urban big city ratio",128,76.5625,0.4488804370428,0.25669542198641
"30","Control Urbanisation","wb urban population ratio",128,86.71875,0.414199369204871,0.27927682369691
"31","Control Urbanisation","ipums urbanisation",128,67.1875,0.498548766502851,0.229731571168908
"32","Control Urbanisation","Not Controlling",128,89.84375,0.417160382737214,0.267720285418573
"33","Control Urbanisation","un urban ratio",78,32.051282051282,0.413308989975081,0.371223611048982
