"","Construct","Variable Choice","n(Specification)","%Significant","Mean Effect","Mean R-squard"
"1","y","uz tightloose",798,4.01002506265664,0.14506691351398,0.220248823909964
"2","y","eriksson tightloose",822,0.24330900243309,-0.0540294720208766,0.0549046741818941
"3","Courage","national courage",1620,2.09876543209877,0.0440439327055529,0.136351977566462
"4","Control Education","oecd edu population to primary",96,3.125,0.126828871078909,0.138855223943051
"5","Control Education","oecd edu population to tertiary",96,3.125,0.151707184658759,0.0582479115963083
"6","Control Education","oecd edu population to secondary",96,2.08333333333333,0.0685412230540123,0.113175885403037
"7","Control Education","un edu primary complete",107,10.2803738317757,0.0109249423097419,0.199197635545272
"8","Control Education","un edu primary enroll",107,2.80373831775701,0.0180470085429604,0.126438087561142
"9","Control Education","un edu secondary enroll",107,4.67289719626168,0.0398934305449705,0.215188207090947
"10","Control Education","un edu tertiary enroll",107,1.86915887850467,0.099284296756722,0.181875456269388
"11","Control Education","wb edu literacy adult",102,1.96078431372549,-0.0744473138115506,0.215065294219575
"12","Control Education","wb edu literacy youth",102,0.980392156862745,-0.0233075574793635,0.0981078015913518
"13","Control Education","wb edu primary complete",102,0,0.0527765296023765,0.0472910384385303
"14","Control Education","wb edu primary enroll",96,0,-0.0252234194117574,0.06006422882333
"15","Control Education","wb edu secondary enroll",96,0,0.0271694920403878,0.150163317428771
"16","Control Education","wb edu tertiary enroll",107,0,0.0659798186530916,0.119634749104222
"17","Control Education","ipums edu tertiary attain",96,0,0.0395942637483616,0.109949828443214
"18","Control Education","ipums edu adult literacy",96,1.04166666666667,0.118042024727375,0.27072451055587
"19","Control Education","Not Controlling",107,0.934579439252336,0.0210072920262138,0.0699041351733296
"20","Control Economics","oecd gdp",192,6.25,0.191220124465719,0.104356633827654
"21","Control Economics","oecd gdp per cap",192,4.6875,0.139821759907077,0.0683516925057034
"22","Control Economics","un gdp per cap",201,0.497512437810945,-0.0569363583709481,0.177203144207504
"23","Control Economics","wb gdp per cap",207,1.93236714975845,0.0405228007690022,0.108548960089039
"24","Control Economics","wb gdp",207,0.483091787439614,-0.0311343036543987,0.176650999958627
"25","Control Economics","wb gdp per cap ppp",207,0.483091787439614,-0.000183235839223528,0.18762635055951
"26","Control Economics","wb gdp ppp",207,2.41545893719807,0.0354393015465804,0.13340606227573
"27","Control Economics","Not Controlling",207,0.483091787439614,0.0482797715547519,0.128610008836686
"28","Control Urbanisation","wb urban density",256,1.5625,0.0523963892918082,0.118716426110342
"29","Control Urbanisation","wb urban largest city ratio",256,2.34375,0.0618581455866618,0.105195792679365
"30","Control Urbanisation","wb urban big city ratio",256,0.390625,0.00778394230206828,0.0996865412347002
"31","Control Urbanisation","wb urban population ratio",256,3.515625,0.0860112507117685,0.214941659160665
"32","Control Urbanisation","ipums urbanisation",256,3.90625,0.0716570416960517,0.141897534787016
"33","Control Urbanisation","Not Controlling",256,1.171875,0.0530947233873909,0.106624946389168
"34","Control Urbanisation","un urban ratio",84,1.19047619047619,-0.164833466890431,0.230977394823657
