"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.552299324484517,0.0254301228253212,0.233942879228,0.0848924032646874,33
"3","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.517658065978812,0.0427854446754419,0.243475642356043,0.0427798609167898,32
"4","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.400493374378993,0.203078847997413,0.306058081048401,-0.0561697976686366,29
"5","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.466126332566495,0.067174881470446,0.244758543014337,0.112034406427322,33
"6","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.432766446446138,0.14492274048841,0.28238539583854,-0.0405674976586659,21
"7","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.568225562727402,0.0202193970231707,0.231243175578762,0.0985324708531946,33
"9","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.406188717340495,0.114139135205114,0.248461534527953,0.113721039305878,31
"10","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.406272528163199,0.134169412787053,0.262435836212984,0.0807141143169591,30
"11","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.281867938300543,0.385595943970488,0.318405200964355,-0.0419560788967046,27
"12","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.360901506142012,0.160360154596323,0.249732054554842,0.136875629809857,31
"13","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.30712811564121,0.31880041351776,0.297113411655739,0.137978238640406,19
"14","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.404890187195932,0.109336887555439,0.244525566169645,0.141427954628811,31
"16","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.165010014413549,0.579837491995121,0.294171321577033,0.146289848662204,30
"17","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.162694153063947,0.598891123454672,0.305205528534811,0.10423367728382,29
"18","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.00861648225202784,0.982750204772452,0.393805330928303,-0.00260214938794601,26
"19","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.125620770809894,0.674852844866669,0.295946464868765,0.157938799834968,30
"20","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.0859741776174665,0.823731012248536,0.378251886584926,-0.0203733404620434,18
"21","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.15921503748019,0.585006061854106,0.287925901619057,0.177064691124692,30
"23","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.566491045816386,0.0248017224033255,0.238823647796423,0.0779936197775551,33
"24","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.536047555603076,0.0388113192645185,0.246803491059481,0.0366709373571067,32
"25","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.406009835154167,0.200996029487085,0.30879477242562,-0.063662658057535,29
"26","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.477556552623971,0.0638069736932037,0.247451435622966,0.112859388696237,33
"27","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.435927303015658,0.149130956076661,0.287630320547989,-0.0416336936690727,21
"28","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.58345706593637,0.0193419895269745,0.235589628230198,0.0937359033081339,33
"30","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.235955640492354,0.370930756045572,0.259479379480861,0.165398430918686,33
"31","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.24830768107602,0.367368627440933,0.270844168520358,0.119977378881457,32
"32","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.142927446904691,0.661196476378984,0.322088126486531,0.0209118771946215,29
"33","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.220371935519515,0.403648635317141,0.259883515447428,0.170227080199524,33
"34","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.195134185511291,0.562058962927052,0.329563629985,0.0429820145967615,21
"35","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.236860824485074,0.362964723909919,0.256263472817382,0.185923277275586,33
"37","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.411455281974644,0.172548411443293,0.293008401048747,0.0800536978356511,30
"38","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.394042590933162,0.196054221325291,0.296295850666437,0.0516242482606818,29
"39","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.270231601479693,0.492962166557992,0.387267043999721,-0.096179832609415,26
"40","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.357802687950042,0.233784228559879,0.293239035886107,0.102858399635422,30
"41","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.28005419732322,0.408473450847288,0.328645137820256,-0.0948068722351256,19
"42","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.40470620500998,0.168826618254072,0.285936244509445,0.113794277010098,30
"44","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.595087880235348,0.0263689834101071,0.252120309888786,0.0767782990240836,30
"45","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.533160841758578,0.0537005371048969,0.26278171233665,0.0510417273873103,29
"46","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.366199958414357,0.323482212762016,0.36218342355584,-0.0851408419605917,26
"47","allik_big_five_agreeableness","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",0.491198019230359,0.0827082587970699,0.271732018068961,0.103473218195299,30
