"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.377174941622898,0.0837464585478365,0.210333435064738,0.128382532258807,33
"3","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.438900407210273,0.0580602534400677,0.221743076443711,0.120295349502679,32
"4","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.0501306237440089,0.842278862165027,0.249224162588231,0.341838836100465,29
"5","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.173710520279418,0.425466973005118,0.214783790872673,0.194287274579581,33
"6","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.322172708249356,0.265115688332508,0.278977832680055,0.00906346583508633,21
"7","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.345492903488165,0.120225425457703,0.215804089904517,0.0749006463984665,33
"9","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.136780238004818,0.506267713985659,0.202941804468765,0.239401012711414,31
"10","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.267686745101557,0.25268832538604,0.228620791127161,0.155270338551812,30
"11","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.153775006357084,0.518804758991673,0.234513926417727,0.419099684430584,27
"12","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0720679234275841,0.743847517029058,0.218213542848762,0.152287096641382,31
"13","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.251235824591361,0.454915763789924,0.326884997394188,-0.139739248129523,19
"14","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.143511399995478,0.523224716398591,0.221880345232466,0.0906596596875412,31
"16","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.000289666220872415,0.998841176140119,0.197459728388947,0.469897546497856,30
"17","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.168765289762112,0.457349132121223,0.223406821555829,0.380198777906779,29
"18","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.379567588344868,0.1253065170515,0.237742937265783,0.604179704358338,26
"19","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-2.41702292763778e-06,0.999991808980188,0.233099352024255,0.280066409384834,30
"20","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.279816933048777,0.362941246365045,0.296771773187319,-0.00772989183621076,18
"21","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.0513187770589643,0.826497086978047,0.231773709388651,0.265104598633278,30
"23","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.377950108611331,0.090182334261247,0.215345694380233,0.116699545570276,33
"24","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.432366899732262,0.0642374411998803,0.224080680094786,0.120133348508742,32
"25","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.060493301361803,0.811673793719599,0.251107058405173,0.338990358974638,29
"26","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.168752693053835,0.444929001708571,0.217790500866343,0.190257061803368,33
"27","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.306597695035173,0.295222121744931,0.283320238439374,0.0138986731816988,21
"28","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.341872218842513,0.132461590759961,0.220844307527454,0.0616353110900363,33
"30","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.0346917782745842,0.876404888971559,0.221026976246805,0.286455838537428,33
"31","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.140559757943708,0.549365489362163,0.231823741847492,0.285657245354629,32
"32","allik_big_five_extraversion","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",-0.300076292994427,0.217366516238071,0.236868581238047,0.502362398119103,29
