"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.296651530921699,0.236149194078868,0.245034459896501,0.101325906983534,33
"3","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.378576710785695,0.169874646638864,0.268441124718762,-0.0209091209885746,32
"4","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.374108340660548,0.28868695579381,0.344790248778555,-0.0466724316591227,29
"5","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.381006885507378,0.184473181909213,0.280015611061446,-0.0403519879249379,33
"6","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.435874353156276,0.300343498996372,0.40722612239426,-0.0595572692771695,21
"7","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.344037738057876,0.193863041986755,0.258662157571152,-0.00965598353068486,33
"9","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.207571961456838,0.43505260054804,0.26181161602914,0.123950261704845,31
"10","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.219779078038396,0.445111024452793,0.283272320525704,0.0632351490243281,30
"11","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.236357124272108,0.505585820529904,0.349226097155013,0.0262306421821714,27
"12","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.252498810088944,0.37147642415517,0.277644786354268,0.05026449922645,31
"13","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.0351362953578887,0.930565078142224,0.396058608237665,0.255674983371196,19
"14","allik_big_five_openness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.201370289656958,0.46590962019514,0.272259652388662,0.052468629951033,31
