"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.695986166089879,0.000121292091540726,0.161527827635337,0.313718484452196,41
"3","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.65130645367851,0.00076072177876129,0.176087542034541,0.228462312172631,39
"4","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.330052051028113,0.120967915319207,0.20679792064943,0.188797120601015,35
"5","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.500718371073272,0.00111179335784334,0.141268897941995,0.487011126973579,41
"6","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.627870740443317,0.0141216724496197,0.234574118334261,0.158909781751424,26
"7","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.63772238889914,0.000458392564274281,0.165842368189476,0.253654947601665,41
"9","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.522045066565567,0.00478423770295173,0.172920979895369,0.318694615370931,39
"10","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.503944953704755,0.0163565012832211,0.198844191455344,0.210505471135894,37
"11","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.125125451280735,0.577375664150618,0.221930701881763,0.139273239070418,33
"12","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.370809789074612,0.0195859418877049,0.151347269828899,0.481839313907803,39
"13","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.50285144280887,0.0529809552451775,0.243669149498385,0.176440767340589,24
"14","hofstede_idg","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.470041239954158,0.0138121187855599,0.181310017433597,0.237634224430092,39
"16","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.416527714195398,0.0569543906355267,0.210651019585309,0.343100557662272,36
"17","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.492551780129327,0.0537569725590248,0.244987236827143,0.264353617583228,34
"18","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.00898875352802625,0.970298208499892,0.239097912371879,0.335230110378496,31
"19","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.417564290170952,0.0234484090454683,0.175175443313799,0.545280744409812,36
"20","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.42463651497108,0.182101790823667,0.305950755066251,0.133438672176665,23
"21","hofstede_idg","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.43126078118589,0.0581248079337954,0.219451629456562,0.286140813065969,36
"23","hofstede_idg","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.691101575990016,0.000227486447664585,0.168719250196971,0.272646916134022,41
