"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.348811950376693,0.0119326781620532,0.132079379349321,0.539003983273017,43
"3","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.433487652291325,0.00439454607704145,0.142609517519962,0.478906267895892,41
"4","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.518933931581054,0.00681705204540027,0.179392792528431,0.543676460959321,37
"5","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.384361322855235,0.00969986252469955,0.141120244649643,0.479146824740269,43
"6","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.576901359321558,0.0119617876521354,0.211391391314321,0.546631670094413,28
"7","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.420626827815264,0.00395381500234991,0.137297571954466,0.477078889059175,43
"9","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.220576085961389,0.0580309683307551,0.112555399916337,0.685931215543739,40
"10","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.281955973858287,0.0330765683159526,0.126756716254396,0.628297686941568,38
"11","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.403471407024674,0.0211640694330031,0.165539838021041,0.633039549167969,34
"12","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.269049525029935,0.0396783691929989,0.125910346727361,0.606358194232718,40
"13","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.453399203620389,0.0147815460735666,0.169951623939984,0.729826765737051,25
"14","global_innovation_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.288888204326236,0.024507639336244,0.123054184313237,0.609827180286419,40
"16","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.0402521610191243,0.734745637613073,0.117800864964615,0.781869486864862,38
"17","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.0225669503235189,0.870172345723125,0.136936447221395,0.749200602913676,36
"18","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.22792596319957,0.172534910675687,0.162819262497908,0.767283430724171,33
"19","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.0581866143357481,0.661860977960741,0.131847372696003,0.726104028354137,38
"20","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.164418686524557,0.300959000133136,0.1548419326701,0.847287401918816,25
"21","global_innovation_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.0578431245331627,0.658989740093374,0.129923228371428,0.733965251382516,38
"23","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.324867343992538,0.0200717172875165,0.133852098871986,0.539589196752362,43
"24","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.418292423027465,0.00678738039763048,0.145620297207927,0.468620198209125,41
"25","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.511862316643323,0.00783122918753822,0.180403333843899,0.541732409952772,37
"26","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.380910829965428,0.0120152463309814,0.144385547053804,0.462525876165431,43
"27","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.542654305336419,0.0224758399332097,0.221787371596604,0.514647745931061,28
"28","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.406450502415129,0.00609253281752723,0.140129163921589,0.46754500120998,43
"30","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.0454080907603501,0.710807356955379,0.121554829127479,0.707274019891956,43
"31","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.0832750210237618,0.539529233132979,0.134436593926946,0.670448717904893,41
"32","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.231727514853931,0.199357794310123,0.176824771037401,0.651923161151012,37
"33","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.119169076613757,0.381332983639816,0.134543070849115,0.631248798205172,43
"34","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.133535788096527,0.525109042578659,0.206931251685522,0.687969651118844,28
"35","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.117174435654559,0.381315547636281,0.132326054953756,0.64044257915042,43
"37","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.141381905941653,0.312106683077849,0.137790617935325,0.665658492202057,39
"38","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.154503576643768,0.305838547584622,0.148468775631546,0.652011503450233,37
"39","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.32567035097725,0.122909427006214,0.204736020590747,0.636836806553049,33
"40","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.1553800009654,0.304570142825045,0.149056184291507,0.618585693843326,39
"41","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.329210091690865,0.155355332136045,0.223367482545559,0.627363578326675,26
"42","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.163202692168481,0.267617684920252,0.144875599243641,0.628487055857704,39
"44","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.382918459025743,0.00802387008446566,0.135950958399895,0.57574517150222,39
"45","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.445799112627108,0.00518115002520802,0.148549031274705,0.525815961461639,37
"46","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.532673970903105,0.00765895353975649,0.185362617973833,0.625614581121782,33
"47","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",0.402152201582486,0.0106698904964683,0.148826018839118,0.51178584804531,39
"48","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",0.531478934134084,0.0226613130654218,0.216072150191594,0.587193713595913,26
"49","global_innovation_index","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",0.436287382406142,0.00448064165251955,0.143606289645727,0.514289595253322,39
"51","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",0.412837498040491,0.00535639676123681,0.139965762182944,0.464995072459739,43
"52","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",0.475701241434154,0.00271237049659453,0.147999490790865,0.427922491549002,41
"53","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",0.60202090231804,0.00325998860667473,0.189755531378562,0.47125031445926,37
"54","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",0.468826479391404,0.00306240486836421,0.148453897136414,0.394136786801116,43
"55","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",0.650145257024271,0.0110822985851198,0.236197084535014,0.424722168753344,28
"56","global_innovation_index","national_courage","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",0.486494554665358,0.00162910671812153,0.143938029466854,0.404379273334794,43
"58","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_density",0.0962178149313858,0.405300463509824,0.114365932309411,0.507105461614511,44
"59","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_largest_city_ratio",0.107941005199631,0.395573638514423,0.125578881700044,0.45134928735939,42
"60","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_big_city_ratio",0.136986418652042,0.325228614855226,0.137170882929322,0.552273750814313,38
"61","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_population_ratio",0.119935756626315,0.329109157747822,0.121358465037156,0.442761409743341,44
"62","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","ipums_urbanisation",0.425167521060182,0.0624278529041283,0.217107178389531,0.552140042888861,28
"63","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","Not_Controlling",0.123314262327354,0.308708081325571,0.119599789708238,0.45510010953556,44
"65","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_density",0.0566087706801694,0.530973755674659,0.0894817348225825,0.672725904554758,41
"66","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.0635009175654392,0.542326283103283,0.10317048957018,0.606314530628514,39
"67","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.107073401078684,0.402254770202373,0.126022012359145,0.597699309851607,35
"68","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0879136771432099,0.388948082430676,0.100810048957937,0.580544108291163,41
"69","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","ipums_urbanisation",0.378347081477832,0.0329641611248302,0.165153532918014,0.736507618067468,25
"70","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","Not_Controlling",0.0935756496024786,0.354675411328371,0.0998338374222239,0.586077722389872,41
"72","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_density",-0.0946088272379759,0.313603963051227,0.0924957428358256,0.754926759497059,39
"73","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.132326526765227,0.207364985265047,0.102826764683303,0.732242353202846,37
"74","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.0574475055586963,0.627761153973243,0.117219484338808,0.727750389164904,34
"75","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_population_ratio",-0.0964809265273454,0.349028045949557,0.101603994107571,0.704818307920849,39
"76","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","ipums_urbanisation",0.121480998542077,0.402087803586401,0.141901855597167,0.846260099138371,25
"77","global_innovation_index","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","Not_Controlling",-0.096192007711529,0.342955027628223,0.100055912885079,0.713215146438044,39
