"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.0307851788093155,0.844020750412663,0.155400131429524,0.454955992707253,43
"3","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.0708960476294915,0.710019730209263,0.189164910816521,0.347708742162606,41
"4","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.0891042907428094,0.648960257686572,0.193903030006702,0.42812373116137,37
"5","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.0348513128168722,0.834982265596506,0.166155357195126,0.378187472693349,43
"6","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.04904982088413,0.831092146137289,0.227356086397602,0.40103503399818,28
"7","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.0212243414118689,0.900977764018022,0.169470806661494,0.351493592671163,43
"9","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.0493969709988949,0.689342660746186,0.122549430058848,0.653079603747894,40
"10","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.111295436220116,0.452641153499314,0.146438360902061,0.579919020387996,38
"11","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.0905272424009291,0.594998757283106,0.168411555168485,0.562231788830524,34
"12","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.060203654951034,0.668614773871924,0.139460535232571,0.557360944421318,40
"13","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.185388888885704,0.333613817049811,0.18710793157567,0.65082210598097,25
"14","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.0389338038225967,0.781561489154955,0.139364040391396,0.551066479655,40
"16","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.0692895513056831,0.527204737438943,0.108426698765857,0.783773550195966,38
"17","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.0469313031713441,0.720875583751258,0.130163169123727,0.75002916000236,36
"18","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0133923118975206,0.929862876398834,0.150792558125111,0.751066398596686,33
"19","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-0.103414686611687,0.40204543879572,0.121819963245967,0.730375598679022,38
"20","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.0656316921611127,0.618406627412508,0.129713599709872,0.840716957285946,25
"21","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",-0.0986455003966803,0.41245720832726,0.118882965089714,0.737725528649454,38
"23","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",-0.010967763957356,0.944008890645443,0.155135450878911,0.46828782619382,43
"24","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.0318706938731698,0.870466364925799,0.194057784783,0.347317225710698,41
"25","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.0575045272739985,0.770346022101738,0.195321202296371,0.427993185424834,37
"26","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",-0.00678491828484816,0.96835521656897,0.169905420309158,0.36411220906289,43
"27","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",-0.0528356745794724,0.82102111771353,0.230891742337193,0.389708490520967,28
"28","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",-0.0194171426845804,0.910237433842926,0.171116353669708,0.352896596473148,43
"30","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",-0.112169466988622,0.336271251054679,0.115176982406077,0.713353567508581,43
"31","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",-0.0694729324527271,0.61216667666025,0.135838209144899,0.669338755009719,41
"32","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",-0.0908326222074713,0.572698456534097,0.159372279996924,0.636927956678249,37
"33","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",-0.13258405192767,0.318319164677485,0.131116307685237,0.633497760807114,43
"34","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",-0.192824417047992,0.252621590001382,0.164321603952689,0.700265150421029,28
"35","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",-0.129124291100287,0.321162475131884,0.128500860515874,0.64247017198924,43
"37","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",-0.0453983469355413,0.735087113129672,0.133072941042728,0.656481549930761,39
"38","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.0221177488302072,0.8848253356159,0.151475659168857,0.640474393321978,37
"39","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",-0.0166692247456697,0.929493602781684,0.186703702758226,0.604131534180169,33
"40","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",-0.0569523216615424,0.691388022026142,0.142248906665189,0.608242549686308,39
"41","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",-0.107495595843177,0.590460560385887,0.196686686582545,0.594584692972028,26
"42","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",-0.0614665916127247,0.663968977465687,0.140286194106257,0.617117110302062,39
"44","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",4.22893147539426e-05,0.999795417990028,0.163723259223852,0.476754028097366,39
"45","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.0724958262054774,0.718302683714145,0.199201764630252,0.394865194895241,37
"46","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.115813633793525,0.567515082951236,0.200177700437402,0.520923620476817,33
"47","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",-0.00446838743129652,0.979701859970307,0.17433830172095,0.406950464804038,39
"48","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",-0.076442840993092,0.736960408033615,0.224588569584919,0.471178077875135,26
"49","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",-0.0147693684722012,0.934050959084784,0.177204570239632,0.38632347028623,39
"51","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",0.0715917600362698,0.674532158140875,0.169199799833842,0.348639169015689,43
"52","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",0.162694116198817,0.405802754735742,0.193474940069199,0.281910745413148,41
"53","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",0.136138836975711,0.522877281200419,0.210807895509215,0.318585732585902,37
"54","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",0.0766189111244308,0.677355843753713,0.1827656001135,0.242614246035513,43
"55","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",0.0191622161109052,0.940778256141507,0.255245006448438,0.243290553316537,28
"56","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",0.0638607811321281,0.729159242001132,0.183150809638765,0.236595523269841,43
"58","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_density",-0.185100178659318,0.130322800748002,0.119773780717566,0.527118530998814,44
"59","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_largest_city_ratio",-0.160691358829698,0.247884833025518,0.136871652209138,0.460491813533628,42
"60","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_big_city_ratio",-0.101676827728784,0.479719521683177,0.142232202102016,0.545776773106433,38
"61","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_population_ratio",-0.177905690634433,0.174791778321912,0.128716862732308,0.455478505648201,44
"62","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","ipums_urbanisation",-0.104752344053274,0.614821417956996,0.205344498192683,0.483309230752235,28
"63","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp","Not_Controlling",-0.180432842982509,0.163433270009023,0.127089517526089,0.467453770575386,44
"65","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_density",-0.0505847669928005,0.605534237172415,0.0970855344383874,0.671564255138324,41
"66","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.015574627536919,0.890062567254568,0.111834629452878,0.60215496047654,39
"67","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.0181916442232023,0.890905001171218,0.131510275541142,0.588281368341493,35
"68","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.0265728442818231,0.813214000977349,0.111640520956668,0.572355975416372,41
"69","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","ipums_urbanisation",0.129925812620156,0.46732296868553,0.175345552809014,0.676252884265639,25
"70","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","Not_Controlling",-0.0373300910017076,0.736293486347683,0.110017156098221,0.577563710664723,41
"72","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_density",-0.17336361686602,0.0449194102796267,0.0832594435251854,0.775955261351096,39
"73","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.149548550034001,0.121767884147134,0.0940820595523829,0.738993956670662,37
"74","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.117240892379557,0.305081923494192,0.112292978476532,0.735439983562053,34
"75","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_population_ratio",-0.169151404945514,0.0785106517132315,0.093247511768724,0.723728257621965,39
"76","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","ipums_urbanisation",-0.0687469756313053,0.568780845928668,0.118649530061741,0.84325742300922,25
"77","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","un_gdp_per_cap","Not_Controlling",-0.165795417026231,0.0775654590705341,0.0911752449327428,0.731051225030379,39
"79","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_density",-0.190441167345884,0.113581796736687,0.117654016315821,0.543215912410795,44
"80","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_largest_city_ratio",-0.16250957055569,0.237922313464158,0.13547039405627,0.467482037123098,42
"81","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_big_city_ratio",-0.0994163158147235,0.481004764580541,0.139480963083596,0.560681539661979,38
"82","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_population_ratio",-0.179989506545984,0.168356735180787,0.128236044661786,0.459879002582149,44
"83","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","ipums_urbanisation",-0.188555482309652,0.371212553146644,0.20674206423279,0.47789408495043,28
"84","global_innovation_index","national_courage_unweighted","oecd_edu_population_to_tertiary","wb_gdp_per_cap","Not_Controlling",-0.18119249871634,0.15916477707541,0.126298947088887,0.473166662183324,44
