"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.537886412337824,0.00172578462273274,0.159184922869682,0.40074128729383,42
"3","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.399073006125923,0.0421953767790821,0.189247939262559,0.159713298992068,40
"4","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.00705279866441169,0.976237539937987,0.234877283310048,0.175310617967274,36
"5","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.31486690026014,0.108169133872475,0.191256079935406,0.149817720092868,42
"6","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.148429136163933,0.597486523107562,0.277033945869088,-0.0420741031301728,27
"7","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.389202891641528,0.0459346138791751,0.188604096717779,0.118113666755497,42
"9","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.387939418691508,0.0211765954313689,0.160745206144794,0.44903180323385,40
"10","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.295239300496922,0.1489887557477,0.199806270841029,0.188033817646774,38
"11","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.201040623895254,0.407207095269848,0.239038087633866,0.202136659706621,34
"12","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.185612742266091,0.355145328503348,0.198078313383359,0.162064476207051,40
"13","hofstede_lto","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.0368125392211874,0.889825868557866,0.262383330888234,0.0773300626766733,25
