"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.0780404709463546,0.770081082739932,0.265063399043006,-0.0582393304713731,42
"3","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.0900142127213034,0.72524673705067,0.254125575880757,-0.0261890090473669,41
"4","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.127655256776078,0.664314197434757,0.291436845588791,-0.0602847119558727,37
"5","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.181116050346419,0.48009336810122,0.253888479579399,0.0209422168838124,42
"6","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.0516005633364247,0.865911258486328,0.302194249030627,-0.108240245585087,28
"7","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.0840826545096618,0.74251140209905,0.254075873502621,-0.0306466471415379,42
"9","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.174905783407324,0.547165865018211,0.287629375403409,-0.0810044687462097,39
"10","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.167648075318019,0.55400184165056,0.280404624838814,-0.0306491755848688,38
"11","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.244405398750786,0.444166227761996,0.315049202972327,-0.0882748318848392,34
"12","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.266347863656331,0.33891116825262,0.274593738501785,0.00560888990219355,39
"13","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.00687938659554735,0.983373905206799,0.32601625890494,-0.18261743251404,25
"14","hofstede_mas","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.179598547492202,0.521610613305706,0.277424160274171,-0.0503119979567099,39
"16","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.589402275143846,0.0670026818375221,0.310844187411268,0.00449216695618504,37
"17","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.671154557198326,0.0426097464219077,0.317397383215566,0.0568097400393304,36
"18","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.514534486601104,0.182038098893457,0.375985523236173,-0.0178502131915683,33
"19","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.59728303573183,0.0596517088234446,0.305879088606801,0.0339089925467558,37
"20","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.0466580009869514,0.909827756273433,0.406788012656731,-0.171971896203772,25
"21","hofstede_mas","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.591585732130758,0.0616562464343438,0.305799220712727,0.0340764043868926,37
"23","hofstede_mas","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.061324404001141,0.821204107079523,0.269429959876093,-0.061106953772174,42
"24","hofstede_mas","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.0838396481952534,0.746191037539971,0.257049844981919,-0.0268516088068842,41
"25","hofstede_mas","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.127937999946365,0.665817704926514,0.293486076511516,-0.0677651042636422,37
