"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.514545804688272,0.00884091827242406,0.186412436036776,0.209590387207856,43
"3","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.558078604819701,0.00170838283041396,0.164626070954573,0.376839497520588,41
"4","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.493936982232605,0.0344072069999926,0.223539898415226,0.268869349033225,37
"5","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.415771086963484,0.0267120616659685,0.180365067209241,0.267653102194437,43
"6","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.620092647294131,0.0134768664233922,0.231677778822013,0.370027384306956,28
"7","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.493998517050622,0.00918596590591145,0.180199223666789,0.22466103855622,43
"9","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.283673125156088,0.12768415490859,0.181805550210892,0.318572741890305,40
"10","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.38936282172798,0.0222429015555633,0.162295843833251,0.46902251439721,38
"11","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.25159914773918,0.253759105258664,0.216079574813541,0.362658013548693,34
"12","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.203786236704338,0.251093993249352,0.174621749052521,0.370366005836584,40
"13","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.46916435439318,0.0474873386509265,0.222168867998215,0.457806507509511,25
"14","hofstede_pwd","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.263604192015772,0.14432769535583,0.17664052049458,0.331412833341615,40
"16","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.0790614021415891,0.693309990075897,0.198726502743898,0.39494420280426,38
"17","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.109761719759311,0.560035845927284,0.186308059145904,0.521718661181021,36
"18","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.0159915888328553,0.950201966708864,0.2537728061169,0.422194960020249,33
"19","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.0853418814255251,0.666799368492145,0.196442900662943,0.407375303767131,38
"20","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.120609618870982,0.65300839871199,0.264253502914005,0.482972036185508,25
"21","hofstede_pwd","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.0823940122022873,0.676606810085419,0.195840344349053,0.410839703365187,38
"23","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",-0.513365849220883,0.0109322397002869,0.191837317847193,0.185977071564478,43
"24","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",-0.548909994571507,0.00222973300396928,0.166698954589746,0.375099556431796,41
"25","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",-0.479219560687347,0.0442277088743624,0.228807229076058,0.239338368549674,37
"26","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",-0.408547482165642,0.0318001867772853,0.183282955666283,0.254530996478653,43
"27","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",-0.628509319218004,0.0138405146583136,0.235860382518024,0.365005820060741,28
"28","hofstede_pwd","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",-0.488327109647219,0.0119266716946136,0.185131587893024,0.200051156115672,43
