"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.0784379534065618,0.587393790910775,0.14332608446661,0.458659763152781,43
"3","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.119065960132166,0.495841253406502,0.173052493296987,0.353662822060008,41
"4","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.348005098204473,0.0625731010563831,0.180358364597683,0.484344041578002,37
"5","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.112026191033984,0.476833221477735,0.155912941150942,0.385811902566728,43
"6","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.380312919290123,0.0944651560036084,0.218036652600823,0.469939524011403,28
"7","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.0545316124223662,0.729224921179878,0.156406452398439,0.353248638944024,43
"9","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.0370946539548151,0.748423144948212,0.114752357923669,0.652506656742546,40
"10","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.094064844735663,0.50463445968375,0.139439776778073,0.578380207489816,38
"11","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.264400777169638,0.141290136279244,0.174838279995578,0.590187661107959,34
"12","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.054891783330863,0.68442939407406,0.133938402409815,0.557129399299085,40
"13","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.283222532139029,0.167575404072132,0.197775028679473,0.667750566572603,25
"14","global_terrorism_index","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.0109855335513615,0.933260748752206,0.130267347688929,0.55018207303509,40
"16","global_terrorism_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.00307830542208444,0.975799159118729,0.100707550459373,0.781103921570181,38
"17","global_terrorism_index","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.0267002051776327,0.831391280219308,0.124348471674206,0.749353657582209,36
