"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.363495172064264,0.0882716823547352,0.206306436320967,0.0567678492659666,35
"3","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.413536760572438,0.0590538995475099,0.210140061193942,0.0895530424299861,33
"4","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.305039340676027,0.282671844327367,0.277561385264206,0.0595080871407684,29
"5","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.256385255147301,0.187544722764586,0.190105869101412,0.19722962926092,35
"6","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.579010668046612,0.0396174114780249,0.260990365978715,0.231661557840346,23
"7","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.350241688448528,0.0872521287533188,0.1983302841492,0.0845657685198868,35
"9","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.163434891267068,0.441845504136897,0.209490455363832,-0.0185645212400329,33
"10","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.184856685807552,0.421943804941417,0.22655507122326,-0.0106379641209948,31
"11","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.11564697342033,0.684061468656911,0.280447012605807,-0.0765319127809425,27
"12","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0987666250100636,0.615614636546011,0.19452339496646,0.109563954696974,33
"13","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.4451302003901,0.0947805013046817,0.250660571298773,0.0706100949894175,21
"14","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.14692902682101,0.476647832622828,0.20376905926095,0.00872384639962931,33
"16","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.085941236645492,0.738752121785494,0.254838142691799,0.025549361400746,30
"17","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.172801362196101,0.542994760845856,0.279856946044184,0.075883660050838,28
"18","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.218818766193674,0.481423276414957,0.305016552343111,0.155730300305393,25
