"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.274185741081862,0.191758270799002,0.206302817506184,0.0553621496901704,43
"3","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.236655010549185,0.258295710390535,0.206037755866188,0.0601811346104327,41
"4","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.673553093058928,0.0115761763522517,0.251463951587437,0.214857824300738,37
"5","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.280752859225048,0.18192474059301,0.206474769416565,0.058829939025681,43
"6","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.59370377142472,0.0231894162036779,0.244078890956238,0.320927220563074,28
"7","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.247841605839793,0.222056666522858,0.199727816701295,0.0711442791371667,43
"9","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.156485947054173,0.449848340343802,0.204761214849953,0.154540746016453,40
"10","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.114492878099308,0.587643282412186,0.209076585979709,0.15203460361126,38
"11","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.527952861226081,0.0448337971478254,0.251774811066314,0.279868039420092,34
"12","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.153467700972992,0.458154961111298,0.204572233946913,0.153092191154223,40
"13","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.524442791969169,0.0359068061895206,0.233145520831655,0.385939999471161,25
"14","hofstede_una","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.129283994847289,0.521034016560973,0.199482158425508,0.166802743026536,40
"16","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.0221021313499111,0.921258742124524,0.221892651582888,0.292522884627222,38
"17","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.0703252286708165,0.772205115537681,0.240810653483235,0.268489077121231,36
"18","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.313036324156494,0.263020434820626,0.274050200352047,0.359048401310795,33
"19","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.0317141217236333,0.885475872798558,0.218493004083841,0.31231174163237,38
"20","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.268525554569755,0.30084121347803,0.252821664892908,0.413035146046866,25
"21","hofstede_una","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.0325529137672255,0.883886135341291,0.221229155744648,0.294974690499601,38
"23","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",-0.262271684795366,0.222789318422763,0.211607920809312,0.0328130476509965,43
"24","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",-0.227380623596258,0.286016883420306,0.20995785017714,0.0443710480744828,41
"25","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",-0.670575694399706,0.0126005363123381,0.253668555560167,0.206372174992245,37
"26","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",-0.277890016065277,0.192182436921543,0.209294200294382,0.0463806212064245,43
"27","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",-0.559444767244994,0.0353170077467427,0.250157106080821,0.306067666411861,28
"28","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",-0.239168187551828,0.248209512128345,0.204025615009288,0.0518917085487516,43
"30","hofstede_una","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.0494293940715401,0.818996871991707,0.214513177229158,0.225405642507519,43
