"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.329843227132784,0.140062771911978,0.217195248275771,0.0193960255514398,33
"3","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.397050703182999,0.0854628416419311,0.222408080045429,0.0671396170948728,32
"4","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.144081861878642,0.600543942435666,0.271524237622002,0.142229020760747,29
"5","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.301747871601423,0.200880075543006,0.230361916404337,0.0221273585711068,33
"6","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.0418889656399911,0.880228866062523,0.273594311660611,-0.125302252157784,21
"7","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.326989055677776,0.13492190092871,0.212625067280605,0.0524946364509727,33
"9","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.416431214883443,0.085218655218268,0.232730470125754,0.0453995681596157,31
"10","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.499205149043889,0.051508726393299,0.244100346994144,0.0834475266703304,30
"11","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.199998831309825,0.488712876613506,0.284019732994316,0.163864310567117,27
"12","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.381880589806078,0.115441982787795,0.234474298028134,0.0659324023996792,31
"13","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.171627728299163,0.605132264747521,0.324474653844267,-0.143766375904746,19
"14","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.416051682412825,0.0796476230334846,0.228426641196784,0.080218383920466,31
"16","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.342234373432662,0.171150138623653,0.242890202005453,0.0632653796363533,30
"17","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.445227056740573,0.0851141643239162,0.247914884435588,0.109496148782458,29
"18","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0497835598747872,0.869548865678594,0.299446258541584,0.235762568518194,26
"19","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.348498874772272,0.173977590136028,0.249033494802408,0.0403349756405489,30
"20","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.0321094302238482,0.893672486428334,0.235579656078355,-0.080279456840074,18
"21","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.357712121714936,0.148999707274439,0.240533236746678,0.075639852207906,30
"23","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.325785637705241,0.151350552937596,0.220861102489794,0.0197016914364602,33
"24","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.385672305610285,0.0975328950561614,0.224691570167443,0.0674752549345119,32
"25","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.152714476539365,0.580413557236738,0.272518987603634,0.145158361833716,29
"26","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.298011890008015,0.211315684619917,0.232961755722964,0.0224875959538173,33
"27","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.022974284386312,0.935185442860316,0.278101613434368,-0.121816891962063,21
"28","allik_big_five_conscientiousness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.322687062813751,0.146012888312567,0.216008238578012,0.0528394899518405,33
