"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.526576757983047,0.0436283216919273,0.249186590697646,0.0249545670820791,33
"3","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.549999971940743,0.0457192186148215,0.262572760296342,0.017984729102592,32
"4","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.412712548626113,0.227457205601808,0.333198033825525,0.0589797048281664,29
"5","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.354971695053718,0.169957356480998,0.252000514810669,0.116012157278293,33
"6","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.510799177840625,0.156737306659867,0.34375906743238,-0.0722845836091144,21
"7","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.513289269841036,0.045308868712504,0.245363230068226,0.0468654430820314,33
"9","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.435577799374154,0.114092323305087,0.266402364431533,0.0440635477596076,31
"10","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.51576061480757,0.0822182683262452,0.28483625199121,0.0462588347050173,30
"11","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.314670233237134,0.366542226756276,0.341299853779839,0.106996238804866,27
"12","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.349218618847044,0.188423207162627,0.258541726700018,0.132065707748716,31
"13","allik_big_five_neuroticism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.695203981430188,0.0966142960300664,0.39034725349385,-0.023523394614346,19
