"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.705726501148016,0.0103078945391294,0.257800878424356,0.174412622035543,35
"3","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.828003540268733,0.00341674782420709,0.259679103272424,0.17317896002297,34
"4","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.892552253476294,0.00290495714280374,0.274466596870937,0.172742647379161,34
"5","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.768084147652034,0.00620416942123979,0.260910227131808,0.12840121933236,35
"6","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",1.03223833549209,0.00340477473766358,0.31452078260094,0.219868632090104,27
"7","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.769072349777394,0.00520922955805085,0.255847923297434,0.156454774460922,35
"9","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.549966868520682,0.0402271286637414,0.255185308570283,0.31805237175344,32
"10","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.625329375872824,0.0220639683052573,0.256818823645921,0.313811430082562,31
"11","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.650394829989738,0.0342968507554838,0.291131326408764,0.279207063704005,31
"12","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.587549651208695,0.0315180324181362,0.25902183661468,0.28622430487672,32
"13","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.905674032516413,0.0128972180314803,0.330037012412268,0.326522017637721,24
"14","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.600748601857821,0.0252563405329815,0.254135057620887,0.305503497541636,32
"16","GLOBE_future_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.329752418944298,0.250694096650193,0.280670969945842,0.424505620220046,31
