"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.257430744393276,0.258871586528819,0.224189831577841,-0.0448307603357698,39
"3","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.118677021489875,0.599481893997876,0.22374113450952,-0.0399597558334193,37
"4","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.0697376645196295,0.818701845672811,0.301398322416118,-0.124757003788088,33
"5","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.1410406005603,0.533177189974638,0.224023126925612,-0.0730859238352879,39
"6","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.268630225748246,0.429031940036018,0.333109194214665,-0.0644761600661459,26
"7","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.180327102062413,0.412047188127455,0.217206527659228,-0.0614327991068144,39
"9","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.227425496609845,0.352593925662413,0.240980045968269,0.00493541376944429,36
"10","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.103993485749612,0.671633729000176,0.24283410129899,-0.0063178019936545,34
"11","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.0994309858985005,0.75446807320916,0.314445916681714,-0.0669312042695394,30
"12","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.0959516888814095,0.689266220279741,0.237730468748859,-0.00425594896460657,36
"13","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.207691876325404,0.56756083960815,0.356650173139192,-0.0794364237108112,23
"14","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.1481017918595,0.529002367348319,0.232695583947962,-0.00688098675956006,36
"16","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.084475913109028,0.78022306934387,0.299947765775223,-0.0169069102962502,34
"17","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.0243458358214276,0.940040005149165,0.320664104438716,-0.0259232752577847,32
"18","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.23235575830572,0.55249132415365,0.385651917263005,-0.11664936062078,29
"19","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-0.0345862990028318,0.909123586699014,0.300371049449506,-0.0407191505885725,34
"20","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.31275278410453,0.461382613001363,0.415527765877476,-0.0346140605407392,23
"21","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",-0.0396674366472229,0.89469506857902,0.297150204411283,-0.0192831699786111,34
"23","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",-0.254833461312697,0.26552275293464,0.225102315142862,-0.048735519892483,39
"24","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",-0.122482809911865,0.588074982090369,0.223858067873105,-0.037820329193897,37
"25","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.0640160662423197,0.833696533148164,0.302061824934932,-0.128390251068737,33
"26","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",-0.145003854317431,0.523438147079665,0.224911407559405,-0.0770344592768164,39
"27","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.266380129008396,0.43231190186048,0.332713796917067,-0.0627724439369699,26
"28","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",-0.180787757394406,0.412816868334213,0.218123790595369,-0.0628672385535434,39
"30","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",-0.0812599470399733,0.751972621370351,0.255046580722665,0.00277162971788181,39
"31","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.0457286952272589,0.860415111007673,0.257963474329658,0.00330230912743346,37
"32","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.18433187636641,0.579096134193944,0.32843476642254,-0.098593934918064,33
"33","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.0108232953207293,0.965764120565732,0.250314446112717,-0.0264229482569516,39
"34","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.277070029630646,0.471575857682992,0.37792012301303,-0.0646480561580347,26
"35","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",-0.00271883748505176,0.991259028276577,0.246406891079646,-0.00523236415913231,39
"37","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",-0.15296859003303,0.576079601291033,0.27078786374853,-0.0500410539210776,37
"38","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",-0.0921821360940858,0.741875677170027,0.277297166685255,-0.0207925778709979,35
"39","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.141060751952096,0.703170190573579,0.366133272888078,-0.120253401041227,31
"40","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",-0.0855220126611623,0.756630864377815,0.273604002114771,-0.0531143642067946,37
"41","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.238951855819494,0.536019475182228,0.379469822205281,-0.0703689331608992,25
"42","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",-0.123099646929383,0.647005828438775,0.266362548233252,-0.0371805776552094,37
"44","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",-0.270291047455267,0.264352651392529,0.237911714214757,-0.0669175693067345,37
"45","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",-0.173986368646486,0.470923351266109,0.238267513184584,-0.0313207410933325,35
"46","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.0647296014111181,0.844133100326348,0.325956327116126,-0.121663409727762,31
"47","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",-0.183920440322962,0.447110537022846,0.238944329398276,-0.0642214448969771,37
"48","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",0.242864518381476,0.494807272222378,0.349245324068891,-0.0702010237501773,25
"49","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",-0.230800291039774,0.324374901420388,0.230697562149687,-0.0533093754685192,37
"51","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",-0.259976433212271,0.248770709463128,0.221659269915117,-0.0219415612900227,39
"52","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",-0.118083787453757,0.595867118592911,0.22049448174407,-0.0101303777526778,37
"53","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",0.055164952621043,0.85264790827179,0.294361735758563,-0.0913278633282086,33
"54","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",-0.152667417660337,0.49194433790609,0.219818849931833,-0.048194289886168,39
"55","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",0.267732159549515,0.419328759026873,0.325304501903815,-0.0163869273367379,26
"56","global_giving_index_rank","national_courage","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",-0.184725589860867,0.393281644283146,0.213790595697904,-0.0341057426103175,39
