"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.242765188579189,0.44668289390658,0.314832591502504,-0.091847401567825,35
"3","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.297179643371702,0.358769539494971,0.318686035930502,-0.0978133791689126,34
"4","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.159478314539629,0.634172207841993,0.331601308062586,-0.0645328015596744,34
"5","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.25924367017228,0.409520729969785,0.309936934142639,-0.0906600140188081,35
"6","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.245001463025494,0.413716058197497,0.294067628499505,0.168043433524145,27
"7","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.272371424530103,0.379216495177927,0.305317796312912,-0.0652637166843333,35
"9","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.215668263696088,0.521613983302592,0.332142052142129,-0.0994814936075887,32
"10","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.258566118975995,0.447548453988553,0.335283322749032,-0.108013924800687,31
"11","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.141424353427158,0.703992720283618,0.368150830004452,-0.0919826838346185,31
"12","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.227190651144957,0.496848168992885,0.329852724378885,-0.101614531973048,32
"13","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.202994911202935,0.523588605184887,0.312386805014782,0.0863649842783643,24
"14","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.241798491444426,0.46071786774035,0.323275234867827,-0.0695135281254637,32
"16","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.716724552717279,0.0704881168780579,0.379986844392716,0.00722116707661946,31
"17","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.779018618403458,0.0581642261724361,0.392358927763537,0.0197154218307302,30
"18","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.737160936288056,0.104259529802954,0.437252766517035,0.0148134290301828,30
"19","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.703450023058938,0.0768018059157781,0.381746431339267,-0.00159358736361104,31
"20","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.581637712504519,0.14475327955179,0.382430197663556,0.122092718764509,24
"21","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.708922920628449,0.0696613130122865,0.375266913735296,0.0306084315513784,31
"23","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.207437523372213,0.518685614192212,0.317634770557326,-0.0846710711987086,35
"24","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.25375346578417,0.437749884625413,0.322490542103596,-0.0970772037521894,34
"25","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.136293777833126,0.684710846432583,0.332302901703693,-0.0611828383437334,34
"26","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.230159427208645,0.465826316985135,0.311571311594553,-0.0836620454304315,35
"27","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.220467726086515,0.465592588946037,0.2968949119044,0.17564752622153,27
"28","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.241272544898626,0.438508111040242,0.307418744089437,-0.059381635944129,35
"30","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.447890770635964,0.19453888830835,0.337535474859677,-0.0277367048832371,35
"31","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.515226605429352,0.143527443278557,0.342688405796501,-0.0275208049941476,34
"32","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.401438135827725,0.291746773739902,0.373832693215539,-0.00952008795129244,34
"33","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.471968271662505,0.167795525361526,0.333895311952393,-0.026396456643007,35
"34","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.44002071903543,0.202923129084513,0.335286961360484,0.196310030758135,27
"35","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.476683581676104,0.159265334513337,0.330518411673225,-0.00625267572012822,35
"37","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.466854663259895,0.1990715469836,0.354273840652386,0.0343350615445619,31
"38","GLOBE_assertiveness","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.533323834596085,0.142484781071313,0.352185548800837,0.0847153103228617,30
