"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.705058745157944,0.0103654220213333,0.257773373465113,0.174377450364244,35
"3","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.827371598893665,0.00343994248480882,0.25969692677043,0.172856645679592,34
"4","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.892018790254946,0.00291912538832235,0.274462442118439,0.172558807272228,34
"5","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.76751102594141,0.00623793626585633,0.260908254494443,0.128191249742542,35
"6","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",1.03132944999332,0.00342733269940407,0.314510959610282,0.219558707763211,27
"7","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.768518248931538,0.00523767813882301,0.255846357665178,0.156249130958333,35
"9","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.549274872273113,0.0403822300808775,0.255078150270613,0.318454650648712,32
"10","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.624722083045508,0.0221474030882617,0.256747309541659,0.314025161799892,31
"11","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.64966607948453,0.0344348019957617,0.291048097921757,0.279442267493113,31
"12","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.586920618674294,0.0316349926004427,0.258938366694717,0.28650594279267,32
"13","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.904747622004426,0.0129427225697966,0.329894837315446,0.326796258218687,24
"14","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.600152820516021,0.0253493688072596,0.254059631474303,0.305742173673048,32
"16","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.328792925547152,0.25175407557125,0.280497087237272,0.425046884350683,31
"17","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.317247470288186,0.274718135702245,0.28408005335304,0.450715308185439,30
"18","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.435139243703652,0.194570919591018,0.326449553914894,0.413029287691024,30
"19","GLOBE_future_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.323419847709217,0.266581929887472,0.284860526464716,0.407256988684924,31
