"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.529762239951887,0.0329194190569574,0.236892211796727,0.323978052934349,35
"3","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.632581817811115,0.017875159758158,0.251948933103243,0.204137413596517,34
"4","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.627315622509064,0.0261056674383905,0.267559480421106,0.196144742860182,34
"5","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.637065464666816,0.0180346859239184,0.254629974493452,0.194958197127808,35
"6","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.649717058799056,0.0132204283727787,0.241065205413957,0.339256777174701,27
"7","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.637406031935242,0.0158264215819679,0.24968142198591,0.220920084775705,35
"9","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.476020731477284,0.072197837535492,0.254399543482071,0.31876002288916,32
"10","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.593962553679229,0.0377010285493634,0.271232689409613,0.189826598253647,31
"11","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.496711045545698,0.106818132349398,0.297343691300759,0.204107803278271,31
"12","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.561152857140619,0.0509214234486896,0.274665710750347,0.193274709032816,32
"13","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.530098515594859,0.0166359889796149,0.201867941215685,0.6088818394576,24
"14","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.568461767300631,0.0433368029491078,0.268605699074482,0.220171447531115,32
"16","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.516197191778347,0.037133418896975,0.234958643962256,0.445413665838158,31
"17","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.572865860370926,0.0270359854829623,0.243884757021433,0.405863912020437,30
"18","GLOBE_gender_egalitarianism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.678504322856525,0.0175545756913788,0.266805952277403,0.424591987662295,30
