"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.21364477052915,0.425200287853922,0.264266839107505,-0.0310789857407108,35
"3","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.146083067367401,0.582928423817158,0.263056735453792,-0.00519591714888912,34
"4","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.143826222194495,0.614727453160747,0.282665802012486,-0.0394952963662913,34
"5","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.201696790965607,0.443382549275323,0.259664433938091,-0.0260574594947229,35
"6","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.10410784513039,0.722004782644235,0.28888878881585,0.188124911205945,27
"7","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.188533534154159,0.467509009161284,0.256302091487596,-0.00614648893752934,35
"9","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.212391965614151,0.405304919880418,0.251225785034878,0.0646807780514906,32
"10","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.181516221148555,0.478094940987607,0.252190773010305,0.0693008929479423,31
"11","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.0104364842333417,0.969161961839103,0.267373370565175,0.144874057070775,31
"12","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.196004273539978,0.440727361905665,0.250483193929813,0.055421771364048,32
"13","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.0532182368724904,0.843080078022127,0.265187342855365,0.274953346249692,24
"14","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.187288801553777,0.451308314005158,0.245170083867446,0.0853233279900553,32
"16","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.142499023850677,0.658552462067391,0.318765639251963,0.107999386502142,31
"17","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.155049577210417,0.646825286823555,0.334324280461429,0.0882438930403904,30
"18","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.327544511220081,0.377877794527189,0.364845871488246,0.1213215498267,30
"19","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-0.124292968844574,0.699915906229061,0.318926806923101,0.107454475136088,31
"20","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.192983731344413,0.567159511919161,0.331371863876211,0.373017227833916,24
"21","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",-0.134010834041718,0.675138908342923,0.316284850300713,0.120811029933005,31
"23","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.214099085421052,0.431320702586164,0.268399622909737,-0.0380297590740355,35
"24","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.148944935138539,0.583246498443228,0.268437957618128,-0.0215049854914029,34
"25","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.149924289053547,0.602455727786091,0.284686157496049,-0.0466562339675534,34
"26","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.200501801761585,0.450511338851147,0.262247769170793,-0.0289791189094861,35
"27","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.088657521372074,0.764600486046086,0.292424577403875,0.191357054778563,27
"28","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.188724747111281,0.472546454276075,0.259514511509609,-0.0118568280391076,35
"30","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",-0.053515250868793,0.843449359537277,0.268649256042654,0.127393742110561,35
"31","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",-0.09154121014657,0.741271152096245,0.274612995996416,0.113286364556316,34
"32","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",-0.22807607258533,0.448946715395447,0.29713987733098,0.142899599451003,34
"33","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",-0.074751241453192,0.779249258383939,0.26429706859695,0.138047739916674,35
"34","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",-0.279951143927189,0.352213694909363,0.294548701583211,0.372821636323658,27
"35","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",-0.0802712470500678,0.762782718489407,0.263617590680471,0.14203706540172,35
"37","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.14580562384318,0.638790853071371,0.306994066753403,0.154144509763196,31
"38","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.105736443783864,0.738212853898039,0.312864184291943,0.155753497266316,30
"39","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",-0.163807619908684,0.63248079373932,0.338327676888055,0.224325842997681,30
"40","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.138597460972063,0.659133994058367,0.310604844392462,0.136210699598497,31
"41","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.00665615163056321,0.983184477406895,0.311883111524425,0.339136588856825,25
"42","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.128680956611858,0.676067135793572,0.304631590478702,0.163415702715384,31
"44","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.350252675734167,0.287099088128211,0.322279296940644,-0.0123488171464481,31
"45","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.283301937146138,0.38555310085429,0.320774754178537,0.0296059275794848,30
"46","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.260728864668767,0.457099885856743,0.34517846620876,-0.0132459182708933,30
"47","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",0.344576845821476,0.292082018537486,0.320422624672979,-0.010291723139114,31
"48","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",0.190250949005522,0.547467955849331,0.310895032254458,0.255983401433383,25
"49","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",0.33280866308801,0.300237601736125,0.315100917981328,0.0177184666103575,31
"51","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",0.241434135619669,0.356944621643346,0.258179996377751,-0.0114392939210446,35
"52","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",0.21137760429837,0.417755386022197,0.257258195304387,-0.0125387970464272,34
"53","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",0.172102987301947,0.537735581689536,0.276073353780539,-0.0181362152176074,34
"54","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",0.226560756851059,0.376781791767498,0.252656133658454,-0.00268967133423259,35
"55","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",0.106012966959574,0.709487088005262,0.281056528327362,0.223279666993204,27
"56","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",0.216310231202736,0.394091692806112,0.250398404557564,0.0120751097367542,35
"58","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_density",0.0749645481325053,0.722159375674396,0.208917503855401,-0.0676170477103544,36
"59","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_largest_city_ratio",0.0755411236846639,0.718485843485455,0.207588350566923,-0.0290170318638148,35
"60","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_big_city_ratio",0.0669355839017512,0.752472303222597,0.210299299607845,-0.0521572656714939,35
"61","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_population_ratio",0.051756694455538,0.803971672794932,0.206740797436239,-0.0342349248794007,36
"62","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","ipums_urbanisation",-0.0295287376240357,0.916284969197248,0.277711136087311,0.296988218669878,27
"63","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","Not_Controlling",0.0740984707629871,0.721010225831776,0.205673159813499,-0.0352892180670439,36
"65","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_density",0.111676010811401,0.571869217674116,0.195229151809249,-0.014751250181138,33
"66","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.122030368338456,0.537946576125457,0.195601218175859,0.0115794748259299,32
"67","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.0627032834594224,0.742914491810063,0.189217634660949,0.0926326794752982,32
"68","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0939156934171068,0.631555386053742,0.193701062792557,0.0106503658217808,33
"69","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","ipums_urbanisation",0.00163985786221794,0.994744496573105,0.245706575420889,0.360651674719945,24
"70","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","Not_Controlling",0.110998693011252,0.56718413345447,0.191769498499905,0.0198464333213205,33
"72","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_density",0.0929787841830442,0.69901009910415,0.237917721567144,-0.08321264044082,32
"73","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.100311292330158,0.679197323832752,0.23983451705973,-0.0783519840318943,31
"74","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0409252934792266,0.866162831937994,0.240440522586657,-0.0410487025705868,31
"75","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","wb_urban_population_ratio",0.0630165903936971,0.789221800239837,0.23340446471987,-0.0451474582556246,32
"76","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","ipums_urbanisation",-0.134572077028304,0.656856388959626,0.298163647218889,0.391668387528527,24
"77","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","un_gdp_per_cap","Not_Controlling",0.0877390875533523,0.708388202228801,0.232203507671755,-0.0459171413871979,32
"79","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_density",0.0878392231270325,0.680257755709655,0.211139233305812,-0.0926207659585481,36
"80","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.0910567646978673,0.669878424909607,0.21149301457647,-0.0709135603924493,35
"81","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.0807282018086049,0.706317630375045,0.212210840188203,-0.0747512450465095,35
"82","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","wb_urban_population_ratio",0.0587511307228705,0.779823982282317,0.208343504393325,-0.0496262496760143,36
"83","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","ipums_urbanisation",-0.0389045707101306,0.890906923875294,0.280385448279682,0.298116205893418,27
"84","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap","Not_Controlling",0.0871226232970068,0.67773096573156,0.207734918792876,-0.0588343336965784,36
"86","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","wb_urban_density",0.0600909459091058,0.783149068729345,0.216452275863543,-0.0863156797442353,36
"87","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","wb_urban_largest_city_ratio",0.0713270675496059,0.747952358779118,0.219933513064171,-0.0861580825419097,35
"88","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","wb_urban_big_city_ratio",0.0103121627089498,0.962552444916609,0.217811233698609,-0.0336843453717861,35
"89","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","wb_urban_population_ratio",0.0297584133182438,0.890017647133529,0.21343952987993,-0.0416912518404342,36
"90","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","ipums_urbanisation",-0.205678268331826,0.476082077672646,0.283686889717999,0.370817742182971,27
"91","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp","Not_Controlling",0.0594259204139934,0.782088902123504,0.213045169716054,-0.0529581728525264,36
"93","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","wb_urban_density",0.1919691253691,0.44487590829332,0.24759291829267,-0.106689922755811,32
"94","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.200848278373032,0.430712332429765,0.250923854353273,-0.103331989075032,31
"95","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.153436219466318,0.539213000655707,0.24659290070709,-0.0522034227142136,31
"96","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.161593222091961,0.509899274009666,0.241960931550033,-0.0506225973768617,32
"97","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","ipums_urbanisation",-0.0871950276828069,0.771174489456676,0.295762931464654,0.39567704502421,25
"98","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_per_cap_ppp","Not_Controlling",0.189862044027484,0.440822344779046,0.242814294807368,-0.0680085751861224,32
"100","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","wb_urban_density",0.152041080063358,0.533652616062414,0.241134403372909,-0.0583517157940856,32
"101","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.163154107775616,0.500584106769541,0.238842650861875,-0.0136821279487189,31
"102","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","wb_urban_big_city_ratio",0.154214419548686,0.527186310796838,0.240615457172369,-0.0299480975107049,31
"103","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","wb_urban_population_ratio",0.124874520513995,0.60330714598631,0.237486254747344,-0.0188826597341565,32
"104","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","ipums_urbanisation",-0.0733681046207786,0.810531844479463,0.302010331648232,0.37466768648078,25
"105","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","wb_gdp_ppp","Not_Controlling",0.151558905609606,0.526397429461628,0.236247061024457,-0.0205862487577051,32
"107","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","Not_Controlling","wb_urban_density",0.108695228006552,0.604133528417865,0.207574330483474,-0.0762310217884139,36
"108","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","Not_Controlling","wb_urban_largest_city_ratio",0.116978155430917,0.581323516583403,0.209901030846423,-0.0709311573337166,35
"109","GLOBE_humane_orientation","national_courage","oecd_edu_population_to_tertiary","Not_Controlling","wb_urban_big_city_ratio",0.0958127348170166,0.648358746194646,0.208054263387982,-0.050584378592115,35
