"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.218900770902224,0.396684687166834,0.254576659408704,0.253149352613676,35
"3","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.289716120898696,0.240896707933797,0.241980602783609,0.329081661764757,34
"4","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.376483353937548,0.146794141308648,0.252526260869238,0.345596252847258,34
"5","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.184004372537042,0.439237704156677,0.234725856855247,0.345576915173636,35
"6","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.708245986849582,0.00172863716028004,0.198629095644887,0.536494460467256,27
"7","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.222842069161563,0.371818104480412,0.245907236239945,0.277081176601336,35
"9","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.12096783580507,0.656554656130651,0.269028903532195,0.234333518586205,32
"10","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.165476153804229,0.524277790015208,0.256364879466479,0.300430064456567,31
"11","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.283765736147477,0.32786600971575,0.284567147619232,0.295426232751723,31
"12","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.0640004953175239,0.795216679339622,0.244162721995981,0.359307295118701,32
"13","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.713588358563004,0.00370296102979188,0.215754048753219,0.516038658647356,24
"14","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.12184031788567,0.643870575228047,0.260708047168022,0.26166774544091,32
"16","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.159068986456532,0.576236764282525,0.281033162911219,0.394341182559266,31
"17","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.0973363048044688,0.730990244128872,0.279958850124211,0.431811790127498,30
"18","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0182029190897095,0.954778603645679,0.317796005802236,0.407526481459031,30
"19","GLOBE_ingroup_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.185956448577843,0.478428443957829,0.258557661403494,0.487547164356059,31
