"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.283239664186438,0.351625826656875,0.299356885946309,-0.00530792617484144,35
"3","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.360295796892456,0.249706569874953,0.306736855935903,-0.0342327178463253,34
"4","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.375829361812406,0.256011916249849,0.324340762223116,-0.0356512696099138,34
"5","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.346181263407132,0.255841645346359,0.298845651792457,-0.0326535291293866,35
"6","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.12343242486381,0.65756369318233,0.274681474790865,0.176474517008105,27
"7","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.338118572889906,0.258257433900452,0.293587105674017,-0.00310149370630164,35
"9","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.320403411402945,0.311129977878935,0.310404174846513,0.0319883020593493,32
"10","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.380399607131769,0.241964078779037,0.317695071334428,0.00110671712015731,31
"11","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.348640306415989,0.330406888575879,0.351501088762375,0.000473400252629652,31
"12","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.368229358073121,0.249625169112866,0.312960887498956,0.000333960984023718,32
"13","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.145884587982268,0.62772349294387,0.295965158204296,0.112536262693113,24
"14","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.367566627475327,0.239261017952332,0.305682350105525,0.0360212926627669,32
"16","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.0131081353583487,0.970506254852836,0.351132828304433,0.0351072496839465,31
"17","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.0234045834433488,0.949153707077836,0.363352095670343,0.0449117306420124,30
"18","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0607093911858361,0.882223230265838,0.405612377018085,0.0368834874246374,30
"19","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-0.00254541291008944,0.994249167106484,0.34977494290612,0.042938734731729,31
"20","GLOBE_institutional_collectivism","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.101975943184732,0.768742825678844,0.341904178387929,0.200919275167945,24
