"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",-0.0348203577612592,0.914926458871392,0.323216151416614,-0.0503618080409884,35
"3","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",-0.1061666066139,0.745023390854352,0.323356269037358,-0.0378259453075576,34
"4","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.19291609870635,0.572826186186307,0.338235335315323,-0.0170072117549698,34
"5","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.0398457508594464,0.900252472012195,0.315215700152705,-0.0296950927325619,35
"6","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.566352576363386,0.0541620944041052,0.278415037682158,0.0395448247424983,27
"7","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",-0.0626565161512405,0.842767225025622,0.313243001640839,-0.0234482477876301,35
"9","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",-0.0323878435837581,0.924239763843495,0.337418866621592,0.0285329039966782,32
"10","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",-0.0872562079907834,0.797284798530176,0.336233106031087,0.0426236761817153,31
"11","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.179172087778339,0.6342024561424,0.372127032400386,0.0414229076531671,31
"12","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.0239593284330624,0.94271745149788,0.330352326318066,0.0539950243983477,32
"13","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.644911457124387,0.035187470962409,0.284365299748365,0.17369598471953,24
"14","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",-0.056921503384352,0.863558145781034,0.328202915470735,0.0562098160809227,32
"16","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.23776878824258,0.543509383569699,0.386238267086416,0.0780376866088719,31
"17","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.211310666039442,0.609001019817528,0.407922590351085,0.0380945014829085,30
"18","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.158318082018348,0.730964178017902,0.455308735766852,0.0302559607911388,30
"19","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.267387229139214,0.496329667920146,0.387537799988256,0.072194623324831,31
"20","GLOBE_power_distance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",-0.303115961454736,0.409587644766602,0.359467921731321,0.059908862618686,24
