"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.615016329062354,0.018409529111441,0.246690029384385,0.177311439735438,35
"3","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.702276325102269,0.00763446800029832,0.244919724657036,0.176376929076488,34
"4","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.704851159057842,0.0112505149606221,0.260347400486474,0.16648849927466,34
"5","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.660381687794561,0.0118569373994409,0.246465419568151,0.153582951522627,35
"6","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.66911680352223,0.0335422929341575,0.295114575347147,0.180160656439048,27
"7","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.65876479086649,0.0104613716847489,0.241701298158179,0.180704534450185,35
"9","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.651623090281531,0.0149221747601103,0.250592458334947,0.247809496919813,32
"10","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.727423292286505,0.0062331205998129,0.244402960897389,0.270689111089435,31
"11","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.663696560551238,0.0230257035589235,0.274731146109115,0.246716531341082,31
"12","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.684600340686312,0.0114601367618845,0.252325056955568,0.225249396029257,32
"13","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.636179879402288,0.0479053977579849,0.300848783059222,0.267742038416519,24
"14","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.688629688376281,0.00931291055913539,0.246564020068027,0.252256798256655,32
"16","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.285865885346494,0.336448339148112,0.291903196438091,0.278179608852626,31
"17","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.328984342396711,0.268956727868069,0.290983913466214,0.31213884146929,30
"18","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.351876856386398,0.304115179311709,0.335370374861415,0.260598243943022,30
"19","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.289860377341763,0.32867597448325,0.291175320944183,0.282062319418507,31
"20","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.257856585910197,0.460893810491948,0.342605571333835,0.348804831171869,24
"21","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.285533561143976,0.327440622498118,0.286286809465023,0.304883780241367,31
"23","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.591521016298804,0.0240595628575251,0.248905665879984,0.18258757181643,35
"24","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.693018322620114,0.00907710033914589,0.247824205407324,0.177058055618975,34
"25","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.697936788253981,0.0122446298562909,0.261216182166469,0.167085095949643,34
"26","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.646337863858269,0.0142329266369809,0.248324891440024,0.155209279446679,35
"27","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.631741217696342,0.0452849475628175,0.297631591506891,0.189399791675897,27
"28","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.64306798035142,0.0129834511400097,0.243946569443309,0.181326239271895,35
"30","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.383322777121469,0.14342276196935,0.255123629395357,0.279433483348618,35
"31","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.447295060874826,0.0841993755828969,0.250138614540819,0.304604606862871,34
"32","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.42757658924584,0.145339139724142,0.285725534687122,0.250904752844607,34
"33","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.416742942028088,0.112318402355356,0.254754071963666,0.266725708940369,35
"34","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.230427254705639,0.438884864982092,0.29227764796727,0.40243156671557,27
"35","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.414298512650545,0.109326643087458,0.251301409314816,0.286103470202952,35
"37","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.57430115485226,0.0561723378657076,0.287306199435284,0.204121645588911,31
"38","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.620751932008815,0.0346524556464891,0.277845762553446,0.25402116761711,30
"39","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.597112750940767,0.0794582781351926,0.326590340910748,0.1902101696961,30
"40","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.576744257389084,0.0553857553589269,0.287535932634782,0.204763856084222,31
"41","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.459416155523876,0.150765233612691,0.307491097574083,0.284486991002363,25
"42","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.572876099738759,0.0516457146681487,0.281341931199092,0.233434531796355,31
"44","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.683243057563715,0.0233714261265436,0.28360733306686,0.157789276364247,31
"45","GLOBE_performance_orientation","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.739168636027263,0.0130274316098286,0.276463300718181,0.19242265313766,30
