"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.480221935492139,0.132613346547246,0.310641955407288,-0.00322349052941751,35
"3","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.527155401417941,0.0988068908542823,0.30910576808903,0.013986939487013,34
"4","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.760604966746632,0.0165185531458874,0.298892796776026,0.174297739836875,34
"5","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.477537441354278,0.128582427643488,0.305560468169769,-0.000488158647422354,35
"6","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.916675100092246,0.0120288605667397,0.334895215096298,0.175325893394899,27
"7","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.484821945529686,0.116282137342648,0.300060439916825,0.0289417693817621,35
"9","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.314933534789948,0.283776915555203,0.287969714622597,0.242224043308224,32
"10","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.338030303169613,0.247618345052812,0.285804581308015,0.254716289072723,31
"11","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.543343856695917,0.0852237377266952,0.303663237736214,0.312281728800786,31
"12","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.28594402559603,0.31873976997146,0.281495451539313,0.264404160720293,32
"13","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.826813483088832,0.0164810347955487,0.314337302634444,0.391122524517618,24
"14","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.312217070308349,0.272756248107342,0.279078548712713,0.269195324502205,32
"16","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.0524097398226942,0.863183408309197,0.301139163307955,0.397923927320898,31
"17","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",-0.0419080553582571,0.892780360093915,0.307771070733004,0.409401686195406,30
"18","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.223206441529231,0.501610100029349,0.327360058162855,0.459300149730567,30
"19","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",-0.0564027395636253,0.852955028441338,0.301292591833021,0.397551436942948,31
"20","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.412175892648641,0.260248351560075,0.355192983371394,0.420306761517591,24
"21","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",-0.0545015433550951,0.855084352493205,0.295575230596038,0.419294066548941,31
"23","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.478439066096555,0.139658434353052,0.315321999012193,-0.00884725968573363,35
"24","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.5380569962725,0.0964120042169447,0.313142580868481,0.0124627699525265,34
"25","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.756686973779968,0.0174049704915488,0.300004042538554,0.174262206795193,34
"26","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.481017308501603,0.13033720691235,0.309255298983973,-0.00759993544586601,35
"27","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.910630608570221,0.0145372033042051,0.343278911006312,0.157713302797597,27
"28","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.485445152466161,0.120255670914678,0.303841053244378,0.0233036795413945,35
"30","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",-0.0327895030891027,0.902623458047028,0.265744786201731,0.398760619580816,35
"31","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",-0.0369612929005404,0.888466715445506,0.261242031210589,0.429909369520368,34
"32","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.202328903504257,0.473649658511116,0.278684771635947,0.464384816503825,34
"33","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",-0.0395905307509681,0.881435849967729,0.263190439222217,0.398120415410909,35
"34","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.420644953011378,0.215215590132059,0.329623616084787,0.406323148675236,27
"35","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",-0.0396217019707748,0.879334122330178,0.258844816391448,0.417535351119316,35
"37","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.279973656799827,0.371799809888101,0.308067309001928,0.256653244278464,31
"38","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.32374283831001,0.295660219819103,0.303088211629996,0.294977757860918,30
"39","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",0.551604539921709,0.115207151738227,0.337986474557868,0.311173149238894,30
"40","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.273597608619505,0.381970945603673,0.307638314408678,0.260503320444674,31
"41","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.58019872042016,0.100359398586588,0.336783383169455,0.280623770974461,25
"42","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.284507567022237,0.354386913592306,0.30192392438044,0.282835307732114,31
"44","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.518626654736347,0.132443796890635,0.33388985098532,0.0517216987122034,31
"45","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.604433452408461,0.0771028305717003,0.327826065478191,0.0981342531539395,30
"46","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",0.814508512734853,0.0170362673346124,0.318627291630981,0.23175352870053,30
"47","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",0.536967464688779,0.120155629766566,0.334164689334592,0.0410729420319014,31
"48","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",0.777365490540459,0.0326218306311288,0.338585170495963,0.176207742052384,25
"49","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",0.542307314740506,0.109151689361067,0.327336481222224,0.0748983115892008,31
"51","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",0.512611239555624,0.101203966251196,0.303452482066037,0.0161091904363185,35
"52","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",0.542266828955636,0.0772525192870996,0.296372995613792,0.0452996526547069,34
"53","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",0.79046016125461,0.0110735495847609,0.291916183397181,0.191295549275091,34
"54","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",0.513803023166653,0.0947283984529462,0.298086159276972,0.0172086015938857,35
"55","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",0.946982853850892,0.00891260117390113,0.331431190029849,0.183604305423309,27
"56","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",0.517160773512467,0.0872286454334207,0.293127143207036,0.0466689063539107,35
"58","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_density",0.317288284091084,0.199747391129379,0.242164276613089,-0.0284409529356486,36
"59","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_largest_city_ratio",0.325691971348228,0.190571668187801,0.243202972562374,-0.0208287434845233,35
"60","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_big_city_ratio",0.354452456211945,0.131013445122399,0.228300801161952,0.103772217624238,35
"61","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_population_ratio",0.328400995882782,0.186281343294159,0.242970383733973,-0.0241577779806663,36
"62","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","ipums_urbanisation",0.91790402401925,0.0151883948445131,0.348605630388162,0.162699325108126,27
"63","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","Not_Controlling",0.31820591934322,0.191346740403427,0.238384027615801,0.00286463363142808,36
"65","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_density",0.244390905454014,0.258337039383141,0.211814386157773,0.241768112967032,33
"66","GLOBE_uncertainty_avoidance","national_courage","oecd_edu_population_to_tertiary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.245432701377102,0.258882767830547,0.212803387837149,0.249724024775049,32
