"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.212991712348472,0.426681786832276,0.264313055563026,-0.0315537406185622,35
"3","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.145524681409966,0.584385496018074,0.263073238175135,-0.00543462927430283,34
"4","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.143559602817089,0.615435859805912,0.28271019702219,-0.0399382957396193,34
"5","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.20120184527089,0.44454532951243,0.259695667251852,-0.0264178233306325,35
"6","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.103236112822262,0.724353016325136,0.289022825171392,0.187233195014232,27
"7","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.188034420087327,0.468732561369874,0.256333580158572,-0.00650504118958262,35
"9","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.211557498984139,0.40697935776181,0.251144670424536,0.0651328825693217,32
"10","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.180803840932828,0.479624175621272,0.252084793504653,0.0699309939801239,31
"11","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.0110919951430891,0.967212858681411,0.267264852903006,0.145428423741863,31
"12","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.195285333408513,0.442213118231565,0.250386775387743,0.0559955602551671,32
"13","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.0521263166140386,0.846192492447217,0.265076503617779,0.275353194158673,24
"14","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.186581754340823,0.452827182305384,0.245074704407714,0.0858864583805471,32
"16","GLOBE_humane_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",-0.144105107606791,0.654821088958133,0.31862196958977,0.108694518521062,31
