"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.147607144509711,0.367784276631345,0.160926322175028,0.191394501690395,30
"3","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.117117359799497,0.487361201286491,0.166033261140358,0.158948913826425,29
"4","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.039417287546144,0.841710965032038,0.195157851667396,0.155447393720505,28
"5","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.142502600314438,0.408504409496841,0.169511752211218,0.157485517687413,30
"6","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.0440293490386299,0.820292300922786,0.191613421696728,0.158805357975577,28
"7","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.128597462980259,0.429945155454863,0.160389076102106,0.186877257599613,30
"9","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.0188808479624377,0.910238392302112,0.165559594927004,0.268180841826648,27
"10","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.00465628908900991,0.979688768101586,0.180727889640506,0.169236059190767,26
"11","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.127858544198855,0.54670567643295,0.208536945097755,0.215939147613426,25
"12","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0292629017558414,0.877207155351509,0.187199883563549,0.176115940950011,27
"13","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",-0.0866287048744795,0.669055161494329,0.199683254211735,0.210986706791883,25
"14","ipums_idv","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.0159315153294408,0.926986464985492,0.171959756420153,0.210417230247722,27
