"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.615854651145298,0.0182401220591314,0.246632523887061,0.177562431859129,35
"3","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.703013439667474,0.00755772015679263,0.244824988139421,0.17686807094865,34
"4","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.705258148564744,0.0111860285233222,0.26026690721434,0.166856148903289,34
"5","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.661046042646736,0.0117550155353442,0.246382588535286,0.154015468050784,35
"6","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.670200765864789,0.0331616357305894,0.294886800723275,0.181188696408567,27
"7","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.659432561767156,0.0103680615570016,0.241619972822842,0.18112383862706,35
"9","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.652671507461088,0.0147894077813409,0.250624263942105,0.247477831089088,32
"10","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.728340986296018,0.00617544740876803,0.244396100385145,0.270581895573101,31
"11","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.664525570962236,0.0228702031235888,0.274728814071522,0.24657628449283,31
"12","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.685520991245449,0.0113627249211814,0.252328031157638,0.225086229425942,32
"13","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.637504526669946,0.0474760378803974,0.300830522052394,0.267576507653092,24
"14","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.689536688698394,0.00923135191473513,0.246566185253218,0.252103815505339,32
"16","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.287710017526622,0.333612046235132,0.292035925310813,0.277375589380916,31
"17","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.330978402833138,0.266338849188537,0.291110147018717,0.311389160385966,30
"18","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.353691969890065,0.301877945768536,0.33551042235771,0.259816400358244,30
"19","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.291724078568049,0.325854429442306,0.291311104636512,0.28124591735803,31
"20","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.260869886252586,0.455944901744476,0.342757235443701,0.348016778694569,24
"21","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.287407497936648,0.324546891369242,0.28641592392717,0.304114659835623,31
"23","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.592358928591978,0.0238440530416949,0.248843276325758,0.182865638382121,35
"24","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.693722566995558,0.00898979072641571,0.247723290150734,0.177582357672967,34
"25","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.698328942362915,0.0121754312032852,0.261130281173366,0.167485250979129,34
"26","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.646982532479105,0.0141140152848395,0.248234812479824,0.155686018796569,35
"27","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.632840607669396,0.044785462373155,0.297389904094295,0.190481414675115,27
"28","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.643718479577317,0.0128709681536771,0.243857598939612,0.181791459561757,35
"30","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.38509446112413,0.141787685054664,0.255217077904688,0.278789313946536,35
"31","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.44900675824582,0.0831496124222412,0.250199500641474,0.304142693245103,34
"32","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",0.429179885588254,0.143976005202946,0.285788747510098,0.250440402706894,34
"33","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.418386300513528,0.111063766411483,0.254825636147165,0.266195442531844,35
"34","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",0.233164715355415,0.433733885491383,0.292401412299603,0.40175221894692,27
"35","GLOBE_performance_orientation_societal_practices","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.41594731960162,0.108070032736321,0.251368230238735,0.285608664797961,35
