"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.0781736193058318,0.686827869699583,0.191740556149928,-0.0859767742922704,31
"3","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.0717789082178351,0.669379802226994,0.166120131810998,0.156909794397303,30
"4","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",-0.282947476931091,0.243037514643636,0.235549214176124,-0.0247987998247128,26
"5","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",-0.0509119086055453,0.786409095322219,0.185952152611697,-0.0363775814131839,31
"6","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",-0.128703258361893,0.632871526654638,0.264284623602875,-0.117952280985562,21
"7","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.023450493614268,0.899185696986809,0.18336798098829,-0.0846254157261159,31
"9","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.0761206192960435,0.706699721265091,0.199990722757078,-0.0713897152206111,30
"10","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.0783083941588998,0.686643204951034,0.191771717475987,0.052834398929643,29
"11","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",-0.246653200119515,0.324321100985048,0.244087908779801,-0.0611625369956155,25
"12","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",-0.00552903113353494,0.977981851036973,0.198338948778896,-0.0559201953217752,30
"13","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.0121287847193521,0.966020122131796,0.279999838953677,-0.134916537610503,20
"14","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.0374468879604206,0.850874639141248,0.197209160280016,-0.0771407269454036,30
"16","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.184345618763493,0.480721857175177,0.256990736538171,-0.144871632041794,27
"17","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.255523563208825,0.345798976962155,0.264943865198975,-0.0155892232393757,26
"18","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",0.0327839139336166,0.913747045249175,0.298453844067451,-0.00200418471553787,23
"19","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.18207531758504,0.474812013804695,0.250401840353477,-0.0916874231345566,27
"20","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.0565338161963318,0.874348612099315,0.351014867647937,-0.187589171558227,19
"21","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.182032025081516,0.47544989726466,0.250898009011808,-0.0960180741398604,27
"23","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.056601381033108,0.76966054942408,0.191288590546322,-0.0715601126849612,31
"24","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.0612401156103005,0.710662752843575,0.163211970427659,0.187154344254696,30
"25","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",-0.287850410028901,0.224790302014723,0.230146325014757,-0.00600620046948053,26
"26","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",-0.0586272651519895,0.750333772872266,0.182303831900022,-0.0230346270757418,31
"27","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",-0.14719263058317,0.583982721365804,0.263371376130673,-0.096747573264441,21
"28","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.00197253697090276,0.991385529886356,0.181012015305435,-0.0646510733065759,31
"30","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_density",0.0716984287732143,0.754806533029181,0.227163105828397,-0.0907983467969093,31
"31","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_largest_city_ratio",0.068588747604029,0.760156864264943,0.22223297159068,0.056704857683514,30
"32","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_big_city_ratio",-0.258401610919966,0.342995764851619,0.266342025409017,-0.0512325059231167,26
"33","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","wb_urban_population_ratio",0.0185766481885893,0.933813545935081,0.221531338022921,-0.0537834807923423,31
"34","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","ipums_urbanisation",-0.00919553809686228,0.976674688633661,0.309628179341528,-0.12890529661847,21
"35","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp","Not_Controlling",0.038799115994747,0.864502082312863,0.225209303462722,-0.0935769114081304,31
"37","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_density",0.240421239591221,0.306873970046425,0.230281889557761,-0.113583831622591,29
"38","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_largest_city_ratio",0.249524849423638,0.268256812902681,0.219935924817188,0.0744287734666179,28
"39","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_big_city_ratio",-0.0771857478775812,0.781416230008841,0.274254251484743,-0.019100769491462,24
"40","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","wb_urban_population_ratio",0.193702667373569,0.397833254441607,0.225010227207349,-0.0375295473371273,29
"41","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","ipums_urbanisation",0.0219340052278136,0.945610159612231,0.316181108262047,-0.175056699681317,20
"42","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap_ppp","Not_Controlling",0.241790654371333,0.294000449566325,0.225570345695152,-0.0700893776915488,29
"44","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_density",0.149946408284746,0.453575320364022,0.196820388684163,-0.118299715720001,29
"45","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_largest_city_ratio",0.18276841406275,0.293173526722826,0.169890998842287,0.177064229217196,28
"46","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_big_city_ratio",-0.170303878069274,0.494003138315531,0.244200803830413,-0.00231703582048537,24
"47","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","wb_urban_population_ratio",0.0574965811914352,0.770929445725114,0.195253294171192,-0.0452401899266408,29
"48","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","ipums_urbanisation",-0.12291385413438,0.675251157878109,0.287671170389527,-0.17524798386171,20
"49","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","wb_gdp_ppp","Not_Controlling",0.136897855975186,0.475276710997099,0.188864783611623,-0.0779611839830185,29
"51","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_density",0.105832871276603,0.55564649665201,0.177349186473048,-0.0528736347500542,31
"52","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_largest_city_ratio",0.148336107638549,0.384599300736433,0.167729886904805,0.0817234776628708,30
"53","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_big_city_ratio",-0.22624572081375,0.318664215653532,0.221738891049318,-0.00597544560830787,26
"54","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","wb_urban_population_ratio",-0.00519901114815611,0.9760817013743,0.17180724260705,-0.0159496630569307,31
"55","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","ipums_urbanisation",-0.0901549089445275,0.725068839532525,0.252135076941514,-0.0773760456726222,21
"56","rosenberg_self_esteem","national_courage","oecd_edu_population_to_primary","Not_Controlling","Not_Controlling",0.0535822957713791,0.755039455699894,0.170061007235013,-0.0549321579560476,31
"58","rosenberg_self_esteem","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_density",0.430088798299917,0.0220702136443148,0.177058502285857,0.147840377480257,32
"59","rosenberg_self_esteem","national_courage","oecd_edu_population_to_tertiary","oecd_gdp","wb_urban_largest_city_ratio",0.479842566499382,0.0113252425770709,0.176035787017717,0.214701296786589,31
