"","y","x","Control_EDU","Control_ECN","Control_URB","Effect_Size","P_Value","Standard_Error","R_Squared","n"
"2","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_density",0.345419883541815,0.10399015529738,0.206009978422413,0.048345330152106,35
"3","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_largest_city_ratio",0.396899576853294,0.0695203313988716,0.210295211506722,0.0805934031762149,33
"4","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_big_city_ratio",0.279832863684737,0.318972480630064,0.274966983868444,0.0530433330591674,29
"5","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","wb_urban_population_ratio",0.240901236117056,0.212468245255184,0.189100299808238,0.19225566944523,35
"6","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","ipums_urbanisation",0.545552314353098,0.0517118742265564,0.261817224686936,0.211717485487267,23
"7","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp","Not_Controlling",0.332332501325359,0.102976527251642,0.197797358081349,0.0765645238494203,35
"9","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_density",0.148631289177791,0.481842970172976,0.208505480493972,-0.0221552145902717,33
"10","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_largest_city_ratio",0.1695550793443,0.460125353628947,0.226143338501169,-0.0145803282119894,31
"11","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_big_city_ratio",0.0956877598502918,0.732936755401395,0.2768857398871,-0.0789953799087628,27
"12","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","wb_urban_population_ratio",0.0860670024174581,0.659326307880722,0.193156868418016,0.107692867393354,33
"13","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","ipums_urbanisation",0.419954406232683,0.112195670498955,0.249838666260132,0.0544104838173611,21
"14","uz_tightloose","national_courage","oecd_edu_population_to_primary","oecd_gdp_per_cap","Not_Controlling",0.131937860372403,0.519995237269737,0.202583127029127,0.00549776732349105,33
"16","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_density",0.0604184577011158,0.812281507393419,0.251735710570545,0.0233667014846092,30
"17","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_largest_city_ratio",0.149693729499521,0.595016035493617,0.277686794789842,0.0722864835486998,28
"18","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_big_city_ratio",-0.22647845343713,0.455024662920097,0.297263778783137,0.158429376571202,25
"19","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","wb_urban_population_ratio",0.0923755025588114,0.675858858792276,0.218343833499102,0.266968819033397,30
"20","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","ipums_urbanisation",0.161382050056014,0.649178849181337,0.347665657331894,-0.060172178369807,20
"21","uz_tightloose","national_courage","oecd_edu_population_to_primary","un_gdp_per_cap","Not_Controlling",0.0555332707163349,0.825093031138606,0.248759881309149,0.0454480610553375,30
"23","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_density",0.348320002793242,0.109660505287136,0.211279845185058,0.0314635890122739,35
"24","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_largest_city_ratio",0.40336200239026,0.0706166290829646,0.214608136616782,0.0648192693604097,33
"25","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_big_city_ratio",0.277182796866689,0.330685687117978,0.279177369098605,0.0341401725114452,29
"26","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","wb_urban_population_ratio",0.244165277970657,0.212047949927201,0.191481679885167,0.187687959868308,35
"27","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","ipums_urbanisation",0.570098751406245,0.0477909997172781,0.268416134892709,0.198235705447472,23
"28","uz_tightloose","national_courage","oecd_edu_population_to_primary","wb_gdp_per_cap","Not_Controlling",0.33194766281071,0.111020755050266,0.202351408598728,0.0593298871284047,35
